,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
0,Other,3-Methylhistidine,C7H11N3O2,[M+H]+,1.0,170.0924,1.0,134.5
1,Other,3-Methylhistidine,C7H11N3O2,[M+Na]+,1.0,192.0744,1.0,138.8
10,Other,N-Acetylputrescine,C6H14N2O,[M+H]+,1.0,131.1179,1.0,129.1
11,Other,N-Acetylputrescine,C6H14N2O,[M+Na]+,1.0,153.0999,1.0,135.3
20,Other,Hydroxyproline,C5H9NO3,[M+H]+,1.0,132.0655,1.0,128.7
21,Other,Hydroxyproline,C5H9NO3,[M+Na]+,1.0,154.0475,1.0,139.5
39,Other,N-acetyl-D-glucosamine-6-phosphate,C8H16NO9P,[M+Na]+,1.0,324.0456,1.0,164.3
48,Other,Leukotriene B4,C20H32O4,[M+Na]+,1.0,359.2194,1.0,196.0
57,Other,Thymidine-5'-Triphosphate,C10H17N2O14P3,[M+Na]+,1.0,504.9786,1.0,207.4
65,Other,Itaconate,C5H6O4,[M+Na]+,1.0,153.0159,1.0,132.1
74,Other,Mevalonic acid,C6H12O4,[M+Na]+,1.0,171.0629,1.0,132.9
336,Other,2-Oxoadipic acid,C6H8O5,[M+Na]+,1.0,183.0265,1.0,137.1
346,Other,Pidolic Acid,C5H7NO3,[M+H]+,1.0,130.0499,1.0,130.4
355,Other,ATP,C10H16N5O13P3,[M+H]+,1.0,508.003,1.0,196.8
356,Other,ATP,C10H16N5O13P3,[M+Na]+,1.0,529.985,1.0,204.5
374,Other,5'-Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.1091,1.0,162.1
375,Other,5'-Deoxyadenosine,C10H13N5O3,[M+Na]+,1.0,274.0911,1.0,168.8
384,Other,Uridine,C9H12N2O6,[M+Na]+,1.0,267.0588,1.0,161.8
393,Other,Reduced nicotinamide adenine dinucleotide (NADH),C21H29N7O14P2,[M+H]+,1.0,666.1321,1.0,233.9
402,Other,Oleic acid,C18H34O2,[M+Na]+,1.0,305.2452,1.0,181.4
411,Other,2-Isopropylmalic acid,C7H12O5,[M+Na]+,1.0,199.0578,1.0,140.9
428,Other,Nicotinamide ribotide,C11H15N2O8P,[M+H]+,1.0,335.0639,1.0,165.8
436,Other,3-Hydroxy-L-kynurenine,C10H12N2O4,[M-H2O+H]+,1.0,207.0764,1.0,137.5
445,AminoAcids,Serine,C3H7NO3,[M+H]+,1.0,106.0499,1.0,140.1
446,AminoAcids,Serine,C3H7NO3,[M+Na]+,1.0,128.0319,1.0,138.0
447,AminoAcids,Serine,C3H7NO3,[M+NH4]+,1.0,123.0765,1.0,136.6
448,AminoAcids,Serine,C3H7NO3,[M-H2O+H]+,1.0,88.0393,1.0,145.3
452,AminoAcids,L-Tryptophan,C11H12N2O2,[M+H]+,1.0,205.0972,1.0,152.0
453,AminoAcids,L-Tryptophan,C11H12N2O2,[M+Na]+,1.0,227.0792,1.0,147.7
457,AminoAcids,L-Tryptophan,C11H12N2O2,[M+NH4]+,1.0,222.1238,1.0,147.3
458,AminoAcids,L-Tryptophan,C11H12N2O2,[M-H2O+H]+,1.0,187.0866,1.0,141.3
462,Other,Trehalose-6-Phosphate,C12H23O14P,[M+Na]+,1.0,445.0718,1.0,192.4
471,Other,Fumaric Acid,C4H4O4,[M+Na]+,1.0,139.0003,1.0,133.6
480,Other,L-Homoserine,C4H9NO3,[M+H]+,1.0,120.0655,1.0,126.2
