,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
0,YMDB00002,HMDB00641,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,C5H10N2O3,169.0589,[M+Na]+,137.2,7,Experimental,CCS Compendium
1,YMDB00002,HMDB00641,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,C5H10N2O3,145.0628,[M-H]-,127.7,8,Experimental,CCS Compendium
2,YMDB00002,HMDB00641,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Glutamine,C5H10N2O3,147.0762,[M+H]+,130.9,8,Experimental,CCS Compendium
3,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose-1-phosphate,C6H13O9P,259.024,[M-H]-,148.2,8,Experimental,CCS Compendium
4,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose-1-phosphate,C6H13O9P,298.9924,[M+K]+,158.3,8,Experimental,CCS Compendium
5,YMDB00004,HMDB00645,HXXFSFRBOHSIMQ-FPRJBGLDSA-N,Galactose-1-phosphate,C6H13O9P,283.0183,[M+Na]+,157.5,8,Experimental,CCS Compendium
6,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic Acid,C7H5NO4,166.015,[M-H]-,128.0,"7, 8",Experimental,CCS Compendium
7,YMDB00007,HMDB00232,GJAWHXHKYYXBSV-UHFFFAOYSA-N,Quinolinic Acid,C7H5NO4,168.0277,[M+H]+,134.9,"7, 8",Experimental,CCS Compendium
8,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,D-(+)-Trehalose,C12H22O11,341.1084,[M-H]-,169.9,8,Experimental,CCS Compendium
9,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,D-(+)-Trehalose,C12H22O11,381.0754,[M+K]+,179.7,8,Experimental,CCS Compendium
10,YMDB00008,HMDB00975,HDTRYLNUVZCQOY-LIZSDCNHSA-N,D-(+)-Trehalose,C12H22O11,365.106,[M+Na]+,176.1,"7, 8",Experimental,CCS Compendium
