,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
0,CCS Compendium-7,Glutamine,C5H10N2O3,[M+Na]+,1.0,169.0589,1.0,137.2
2,CCS Compendium-8,Glutamine,C5H10N2O3,[M+H]+,1.0,147.0762,1.0,130.9
4,CCS Compendium-8,Galactose 1-phosphate,C6H13O9P,[M+K]+,1.0,298.9924,1.0,158.3
5,CCS Compendium-8,Galactose 1-phosphate,C6H13O9P,[M+Na]+,1.0,283.0183,1.0,157.5
7,CCS Compendium-78,Quinolinic acid,C7H5NO4,[M+H]+,1.0,168.0277,1.0,134.9
9,CCS Compendium-8,Trehalose,C12H22O11,[M+K]+,1.0,381.0754,1.0,179.7
10,CCS Compendium-78,Trehalose,C12H22O11,[M+Na]+,1.0,365.106,1.0,176.1
12,CCS Compendium-8,Cyclic AMP,C10H12N5O6P,[M+H]+,1.0,330.0609,1.0,172.7
13,CCS Compendium-8,Cyclic AMP,C10H12N5O6P,[M+H]+,1.0,330.0609,1.0,177.0
14,CCS Compendium-8,Cyclic AMP,C10H12N5O6P,[M+Na]+,1.0,352.0403,1.0,181.3
15,CCS Compendium-8,Cyclic AMP,C10H12N5O6P,[M+Na]+,1.0,352.0437,1.0,189.0
17,CCS Compendium-8,Isocitric acid,C6H8O7,[M+Na]+,1.0,215.0168,1.0,142.8
20,CCS Compendium-8,Purine,C5H4N4,[M+H]+,1.0,121.0519,1.0,121.7
21,CCS Compendium-8,Pyridoxine,C8H11NO3,[M+Na]+,1.0,192.0625,1.0,144.2
23,CCS Compendium-78,Pyridoxine,C8H11NO3,[M+H]+,1.0,170.0832,1.0,134.5
25,CCS Compendium-6,Isoleucine,C6H13NO2,[M+H]+,1.0,132.1019,1.0,133.3
27,CCS Compendium-478,Isoleucine,C6H13NO2,[M+H]+,1.0,132.1024,1.0,134.3
29,CCS Compendium-7,L-Cysteine,C3H7NO2S,[M+H]+,1.0,122.0276,1.0,148.6
30,CCS Compendium-7,L-Cysteine,C3H7NO2S,[M+Na]+,1.0,144.0095,1.0,150.4
33,CCS Compendium-78,Uridine 5'-monophosphate,C9H13N2O9P,[M+H]+,1.0,325.0437,1.0,167.0
34,CCS Compendium-78,Uridine 5'-monophosphate,C9H13N2O9P,[M+Na]+,1.0,347.0256,1.0,172.8
36,CCS Compendium-8,Cytidine,C9H13N3O5,[M+H]+,1.0,244.0927,1.0,151.6
37,CCS Compendium-8,Cytidine,C9H13N3O5,[M+Na]+,1.0,266.0743,1.0,159.5
38,CCS Compendium-8,Protoporphyrin IX,C34H34N4O4,[M+H]+,1.0,563.2629,1.0,241.7
40,CCS Compendium-8,Adenosine,C10H13N5O4,[M+H]+,1.0,268.1041,1.0,161.6
41,CCS Compendium-8,Adenosine,C10H13N5O4,[M+Na]+,1.0,290.0875,1.0,165.6
42,CCS Compendium-78,Adenosine,C10H13N5O4,[M+H]+,1.0,268.1046,1.0,155.5
44,CCS Compendium-8,Citrulline,C6H13N3O3,[M+H]+,1.0,176.1028,1.0,137.7
45,CCS Compendium-8,Citrulline,C6H13N3O3,[M+Na]+,1.0,198.0844,1.0,139.2
48,CCS Compendium-8,CDP,C9H15N3O11P2,[M+H]+,1.0,404.0233,1.0,175.6
49,CCS Compendium-8,CDP,C9H15N3O11P2,[M+Na]+,1.0,426.0052,1.0,179.9
52,CCS Compendium-8,N-Acetyl-L-glutamic acid,C7H11NO5,[M+Na]+,1.0,212.054,1.0,142.5
55,CCS Compendium-78,Palmitic acid,C16H32O2,[M+Na]+,1.0,279.2309,1.0,177.8
56,CCS Compendium-8,D-Galactose,C6H12O6,[M+Na]+,1.0,203.0528,1.0,142.0
59,CCS Compendium-78,Fructose 6-phosphate,C6H13O9P,[M+Na]+,1.0,283.0195,1.0,155.2
60,CCS Compendium-8,5-Aminolevulinic acid,C5H9NO3,[M+H]+,1.0,132.0652,1.0,130.7
62,CCS Compendium-7,Flavin mononucleotide,C17H21N4O9P,[M+H]+,1.0,457.1124,1.0,200.2
63,CCS Compendium-7,Flavin mononucleotide,C17H21N4O9P,[M+Na]+,1.0,479.0944,1.0,209.3
64,CCS Compendium-8,Citric acid,C6H8O7,[M+Na]+,1.0,215.0161,1.0,143.0
68,CCS Compendium-8,,C14H26N4O11P2,[M+H]+,1.0,489.1105,1.0,198.5
69,CCS Compendium-8,,C14H26N4O11P2,[M+Na]+,1.0,511.0926,1.0,208.1
71,CCS Compendium-7,,C14H26N4O11P2,[M+H]+,1.0,489.1152,1.0,197.6
72,CCS Compendium-7,,C14H26N4O11P2,[M+Na]+,1.0,511.0971,1.0,207.7
74,CCS Compendium-8,Adenosine monophosphate,C10H14N5O7P,[M+Na]+,1.0,370.0489,1.0,177.1
76,CCS Compendium-78,Adenosine monophosphate,C10H14N5O7P,[M+H]+,1.0,348.0686,1.0,171.5
77,CCS Compendium-7,Uracil,C4H4N2O2,[M+H]+,1.0,113.0351,1.0,126.2
79,CCS Compendium-78,Fumaric acid,C4H4O4,[M+Na]+,1.0,139.0007,1.0,132.8
81,CCS Compendium-8,L-Homoserine,C4H9NO3,[M+H]+,1.0,120.0654,1.0,126.1
83,CCS Compendium-8,Pyroglutamic acid,C5H7NO3,[M+H]+,1.0,130.0492,1.0,130.6
86,CCS Compendium-8,Adenosine triphosphate,C10H16N5O13P3,[M+H]+,1.0,508.0034,1.0,196.7
87,CCS Compendium-78,Adenosine triphosphate,C10H16N5O13P3,[M+Na]+,1.0,529.9854,1.0,204.2
90,CCS Compendium-78,,C21H27N7O14P2,[M+H]+,1.0,664.1143,1.0,227.7
91,CCS Compendium-78,,C21H27N7O14P2,[M+Na]+,1.0,686.0963,1.0,223.5
93,CCS Compendium-7,,C5H11O8P,[M+Na]+,1.0,253.0089,1.0,153.4
95,CCS Compendium-8,L-Tryptophan,C11H12N2O2,[M+Na]+,1.0,227.0786,1.0,147.2
97,CCS Compendium-78,L-Tryptophan,C11H12N2O2,[M+H]+,1.0,205.0964,1.0,151.3
98,CCS Compendium-7,Uridine,C9H12N2O6,[M+H]+,1.0,245.0774,1.0,161.1
100,CCS Compendium-78,Uridine,C9H12N2O6,[M+Na]+,1.0,267.0581,1.0,162.5
102,CCS Compendium-7,Oleic acid,C18H34O2,[M+Na]+,1.0,305.2456,1.0,180.2
105,CCS Compendium-7,Trehalose 6-phosphate,C12H23O14P,[M+Na]+,1.0,445.0723,1.0,191.2
106,CCS Compendium-78,,C11H15N2O8P,[M+H]+,1.0,335.0628,1.0,165.8
109,CCS Compendium-8,Oxoadipic acid,C6H8O5,[M+Na]+,1.0,183.0261,1.0,137.5
110,CCS Compendium-7,D-Glucose,C6H12O6,[M+Na]+,1.0,203.0532,1.0,146.8
112,CCS Compendium-8,5'-Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.108,1.0,159.6
113,CCS Compendium-78,5'-Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.108,1.0,152.3
114,CCS Compendium-78,5'-Deoxyadenosine,C10H13N5O3,[M+Na]+,1.0,274.0895,1.0,168.0
116,CCS Compendium-8,L-Valine,C5H11NO2,[M+H]+,1.0,118.0868,1.0,120.8
117,CCS Compendium-8,L-Valine,C5H11NO2,[M+Na]+,1.0,140.0687,1.0,133.1
120,CCS Compendium-8,Glutathione,C10H17N3O6S,[M+H]+,1.0,308.0911,1.0,167.9
122,CCS Compendium-78,Glutathione,C10H17N3O6S,[M+Na]+,1.0,330.0712,1.0,167.1
123,CCS Compendium-7,5-Thymidylic acid,C10H15N2O8P,[M+H]+,1.0,323.0644,1.0,162.8
126,CCS Compendium-8,5-Thymidylic acid,C10H15N2O8P,[M+Na]+,1.0,345.0467,1.0,173.5
130,CCS Compendium-8,myo-Inositol,C6H12O6,[M+Na]+,1.0,203.0532,1.0,148.7
131,CCS Compendium-8,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,1.0,298.0974,1.0,162.0
133,CCS Compendium-78,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,1.0,298.0992,1.0,171.0
134,CCS Compendium-78,5'-Methylthioadenosine,C11H15N5O3S,[M+Na]+,1.0,320.0793,1.0,173.5
135,CCS Compendium-78,Phosphorylcholine,C5H14NO4P,[M+H]+,1.0,184.0732,1.0,137.1
138,CCS Compendium-8,S-Adenosylhomocysteine,C14H20N6O5S,[M+H]+,1.0,385.1274,1.0,183.0
139,CCS Compendium-8,S-Adenosylhomocysteine,C14H20N6O5S,[M+Na]+,1.0,407.1089,1.0,189.3
142,CCS Compendium-8,Deoxyuridine triphosphate,C9H15N2O14P3,[M+Na]+,1.0,490.9617,1.0,185.1
145,CCS Compendium-8,Guanosine diphosphate mannose,C16H25N5O16P2,[M+H]+,1.0,606.0812,1.0,227.7
146,CCS Compendium-8,Guanosine diphosphate mannose,C16H25N5O16P2,[M+Na]+,1.0,628.0629,1.0,222.5
149,CCS Compendium-8,Pantothenic acid,C9H17NO5,[M+H]+,1.0,220.118,1.0,129.8
150,CCS Compendium-8,Pantothenic acid,C9H17NO5,[M+Na]+,1.0,242.1005,1.0,150.8
151,CCS Compendium-8,L-Sorbose,C6H12O6,[M+Na]+,1.0,203.0532,1.0,139.3
152,CCS Compendium-8,L-Sorbose,C6H12O6,[M+Na]+,1.0,203.0532,1.0,144.2
153,CCS Compendium-7,dCMP,C9H14N3O7P,[M+H]+,1.0,308.0648,1.0,164.5
154,CCS Compendium-8,dCMP,C9H14N3O7P,[M+Na]+,1.0,330.0446,1.0,156.6
156,CCS Compendium-78,dCMP,C9H14N3O7P,[M+Na]+,1.0,330.0446,1.0,164.9
158,CCS Compendium-78,Allantoin,C4H6N4O3,[M+Na]+,1.0,181.0325,1.0,143.3
160,CCS Compendium-78,L-Threonine,C4H9NO3,[M+H]+,1.0,120.0661,1.0,127.3
