	AllCCS ID	Name	Structure	Formula	Type	Adduct	m/z	CCS	Confidence level	Update date
515	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+H]+	223.2057	152.4	4	2023-04-30
516	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+Na]+	245.1877	162.7	4	2023-04-30
517	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+NH4]+	240.2323	161.0	4	2023-04-30
518	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M-H2O+H]+	205.1951	147.5	4	2023-04-30
519	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M-H]-	221.1911	155.5	4	2023-04-30
520	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+Na-2H]-	243.1731	159.4	4	2023-04-30
521	AllCCS00002615	(2E,6E)-Farnesol	CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C	C15H26O	Predicted CCS	[M+HCOO]-	267.1966	160.9	4	2023-04-30
2027	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+H]+	1032.3678	310.0	4	2023-04-30
2028	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+Na]+	1054.3498	318.1	4	2023-04-30
2029	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+NH4]+	1049.3944	315.7	4	2023-04-30
2030	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M-H2O+H]+	1014.3572	311.8	4	2023-04-30
2031	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M-H]-	1030.3532	304.6	4	2023-04-30
2032	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+Na-2H]-	1052.3352	311.4	4	2023-04-30
2033	AllCCS00012223	(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C39H68N7O17P3S	Predicted CCS	[M+HCOO]-	1076.3587	323.9	4	2023-04-30
3398	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+H]+	91.039	120.6	4	2023-04-30
3399	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+Na]+	113.021	130.1	4	2023-04-30
3400	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M+NH4]+	108.0656	127.3	4	2023-04-30
3401	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M-H2O+H]+	73.0284	121.7	4	2023-04-30
3402	AllCCS00002362	(2r)-2,3-Dihydroxypropanal	C([C@H](C=O)O)O	C3H6O3	Predicted CCS	[M-H]-	89.0244	116.2	4	2023-04-30
