	AllCCS ID	Name	Structure	Formula	Type	Adduct	m/z	CCS	Confidence level	Update date
5767	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M+H]+	205.1951	150.8	4	2023-04-30
5768	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M+Na]+	227.1771	158.8	4	2023-04-30
5769	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M+NH4]+	222.2217	158.0	4	2023-04-30
5770	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M-H2O+H]+	187.1845	146.8	4	2023-04-30
5771	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M-H]-	203.1805	153.0	4	2023-04-30
5772	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M+Na-2H]-	225.1625	157.1	4	2023-04-30
5773	AllCCS00145270	(-)-alpha-Alasken|(-)-alpha-alaskene|4,7(11)-Acoradiene|alaskene|alpha-Alasken|beta-Alasken|gamma-Acoradien|gamma-Acoradien = alpha-Alasken|??-Acoradiene	CC1CCC(=C(C)C)C12CCC(=CC2)C	C15H24	Predicted CCS	[M+HCOO]-	249.186	160.6	4	2023-04-30
1188	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M+H]+	205.1951	150.3	4	2023-04-30
1189	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M+Na]+	227.1771	159.0	4	2023-04-30
1190	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M+NH4]+	222.2217	157.3	4	2023-04-30
1191	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M-H2O+H]+	187.1845	145.5	4	2023-04-30
1192	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M-H]-	203.1805	152.8	4	2023-04-30
1193	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M+Na-2H]-	225.1625	156.0	4	2023-04-30
1194	AllCCS00030209	(-)-Aromadendrene	CC1CCC2C1C1C(CCC2=C)C1(C)C	C15H24	Predicted CCS	[M+HCOO]-	249.186	158.6	4	2023-04-30
1321	AllCCS00877752	(-)-Citronellol	OCCC(CCC=C(C)C)C	C10H20O	Predicted CCS	[M+H]+	157.1587	134.6	4	2023-04-30
1322	AllCCS00877752	(-)-Citronellol	OCCC(CCC=C(C)C)C	C10H20O	Predicted CCS	[M+Na]+	179.1407	143.9	4	2023-04-30
1323	AllCCS00877752	(-)-Citronellol	OCCC(CCC=C(C)C)C	C10H20O	Predicted CCS	[M+NH4]+	174.1853	142.7	4	2023-04-30
1324	AllCCS00877752	(-)-Citronellol	OCCC(CCC=C(C)C)C	C10H20O	Predicted CCS	[M-H2O+H]+	139.1481	130.9	4	2023-04-30
1325	AllCCS00877752	(-)-Citronellol	OCCC(CCC=C(C)C)C	C10H20O	Predicted CCS	[M-H]-	155.1441	137.2	4	2023-04-30
