Name,Monoisotopic Mass,InChI Key,Chemical Formula,CCS Type,Adduct Type,Data Source / Predictor,m/z,CCS Value (Å²),Reference
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+H]+,Predicted,DarkChem,315.0587926,172.573,31661259,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M-H]-,Predicted,DarkChem,313.0442406,166.448,31661259,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+H]+,Predicted,AllCCS,315.0587926,165.428,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M-H]-,Predicted,AllCCS,313.0442406,162.781,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+H]+,Predicted,DeepCCS,315.0587926,162.196,30932474,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M-H]-,Predicted,DeepCCS,313.0442406,159.838,30932474,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M-2H]-,Predicted,DeepCCS,156.5221203,193.078,30932474,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+Na]+,Predicted,DeepCCS,337.0407346,168.305,30932474,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+H]+,Predicted,AllCCS,315.0587926,165.4,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+H-H2O]+,Predicted,AllCCS,297.0482276,162.4,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+NH4]+,Predicted,AllCCS,332.0853396,168.2,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+Na]+,Predicted,AllCCS,337.0407346,169.0,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M-H]-,Predicted,AllCCS,313.0442406,162.8,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+Na-2H]-,Predicted,AllCCS,335.0261826,162.7,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
5'-Phosphoribosyl-N-formylglycinamide,314.0515166,[M+HCOO]-,Predicted,AllCCS,359.0497176,162.8,32859911,VDXLUNDMVKSKHO-XVFCMESISA-N,C8H15N2O9P
Glutamine,146.069142196,[M+H]+,Predicted,DarkChem,147.076418196,130.644,31661259,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,DarkChem,145.061866196,125.029,31661259,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H]+,Predicted,AllCCS,147.076418196,134.195,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M-H]-,Predicted,AllCCS,145.061866196,127.544,32859911,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
Glutamine,146.069142196,[M+H]+,Predicted,DeepCCS,147.076418196,128.949,30932474,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3
