2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]]	D-Glucose [[M+Na]]	D-Mannose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Threonine [[M+NH4]]	L-Tryptophan [[M-H2O+H]]	L-Valine [[M+H]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N1-Acetylspermine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	Palatinose [[M+Na]]	Pidolic Acid [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	Xanthurenic acid [[M+H]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group	Well	Unnamed: 0	Summary_x	Treatment	Supplement	mu	AUC	MaxOD	Summary_y
1039.1369294605809	1178.091286307054	983.2531120331952	182.0	0.7551867219917012	667.9655258754959	1643.286307053942	3587.892116182573	9609.751037344398	1011.195020746888	916.7966804979252	240.149377593361	1650.838174273859	62.68049792531121	6.04149377593361	70.98755186721992	13.215767634854773	146.90099171453025	542.2240663900415	942.4730290456432	391.94190871369295	1468.0829875518673	3319.045643153527	18665.195020746887	475.0124481327801	169.9170124481328	888.8547717842324	67032.63900414939	1126.7385892116183	1.887966804979253	77.02904564315352	107038.65560165976	957.5767634854772	13.215767634854773	435.7427385892116	57.38221927444173	1216.6058091286309	1366.1327800829877	13.215767634854773	4093.112033195021	13.215767634854773	268.091286307054	13.215767634854773	0.7551867219917012	122.3402489626556	1322.331950207469	Growth with alanine supplementation and lithium chloride treatment as a negative control.	B6	41	Growth with alanine supplementation and lithium chloride treatment as a negative control.	Yes	NegHigh	0.083399394660035	4910.29851068743	0.1440216201269319	Growth with alanine supplementation and lithium chloride treatment as a negative control.
2965.269607843137	1217.7843137254902	1381.4460784313726	6.159313725490197	413.55392156862746	10.558823529411764	179.5	8522.730392156864	12596.676470588236	2542.916666666667	1325.1323529411766	49.274509803921575	3378.823529411765	95.02941176470588	14.07843137254902	341.40196078431376	1402.5637254901962	1402.5637254901962	439.9509803921569	1325.1323529411766	177.74019607843138	1733.406862745098	160.1421568627451	23444.10784313725	26.397058823529413	580.7352941176471	1296.9754901960785	28322.284313725493	183.0196078431373	4.3995098039215685	123.18627450980392	17634.995098039217	2372.21568627451	1402.5637254901962	1569.7450980392157	4.3995098039215685	119.66666666666669	2154.0	1402.5637254901962	311.4852941176471	1402.5637254901962	571.936274509804	1402.5637254901962	156.393565989016	2901.916666666667	674.0049019607843	Growth with physiological level of arginine supplementation.	E11	84	Growth with physiological level of arginine supplementation.	None	PosLow	0.2199020172841193	53723.61846022828	2.020740796825134	Growth with physiological level of arginine supplementation.
15015.914204133502	9252.62248612724	1144.3504132009648	111.21906826192046	3682.289151611535	1965.763531810088	5008.878038109141	6039.329405499705	59606.720644518165	13651.805631957175	83.07930400288035	4597.501484417459	8274.430680932035	293.4575415585612	2755.0169198374515	5020.937937077301	2477.6392435697703	2477.6392435697703	83.07930400288035	83.07930400288035	83.07930400288035	2023.3830491024084	3659.5093424494553	41999.26815100449	1863.924384967848	92.45922542256038	28.13976425904012	37949.8220752512	2828.716302420652	227.79809162080093	195.6383610390408	21.43982038784009	2086.3625214916888	2461.55937827889	1385.548392564166	178.21850697392074	373.8568680129616	1498.1074496003262	2477.6392435697703	4621.621282353779	2407.95982730929	92.45922542256038	2477.6392435697703	481.055969952162	782.5534441561632	1799.6049238043274	Growth with physiological level of arginine supplementation.	C1	2	Growth with physiological level of arginine supplementation.	None	PosLow	0.2061373431692583	56145.90027294947	1.992764186980093	Growth with physiological level of arginine supplementation.
4243.303225806451	1965.5225806451613	329.2903225806451	35.2	428.0774193548387	631.3290322580644	2004.1290322580644	2106.322580645161	12564.129032258064	4169.496774193548	176.0	187.3548387096774	4479.4838709677415	7.948387096774193	9.083870967741936	160.1032258064516	19.870967741935484	19.870967741935484	147.61290322580643	176.0	88.56774193548387	1068.4903225806452	4514.683870967741	12675.406451612902	583.6387096774193	282.7354838709677	176.0	38366.86451612903	1313.7548387096774	434.8903225806452	6.812903225806451	5071.070967741935	868.6451612903226	19.870967741935484	1130.9419354838708	57.90967741935484	825.4967741935484	1563.5612903225806	19.870967741935484	5118.76129032258	19.870967741935484	176.0	19.870967741935484	86.89268009054835	920.8774193548388	371.3032258064516	Growth with lithium chloride treatment without arginine supplementation.	B11	81	Growth with lithium chloride treatment without arginine supplementation.	Yes	None	0.4028882147428204	11057.424415956311	0.3296676630173674	Growth with lithium chloride treatment without arginine supplementation.
2764.0	1737.7019297837712	1179.889328063241	173.5131364798884	34.70262729597768	427.6810343955849	367.5907928388747	3822.430132527319	12387.552662171587	2682.3845617298302	149.09276912345965	250.4247968782902	1929.2090211578704	120.81655428970006	10.282259939548942	416.7371337845553	22.49244361776331	222.5489982473904	55.26714717507557	149.09276912345965	26.99093234131597	97.68146942571497	6453.403394559405	11184.528249244362	988.382236689142	118.24598930481282	149.09276912345965	248722.72680771915	3157.939083933969	122.10183678214368	38.55847477330853	3674.622645896303	776.3106254359451	143.78173341426992	2341.784701232272	20.564519879097883	6844.129272262265	960.1060218553824	209.04581999224249	6887.828877005348	168.60740545482386	118.24598930481282	212.9039726646729	132.2944033783235	2015.3229481515923	900.983027202976	Growth with supraphysiological level of arginine and lithium chloride treatment.	E9	68	Growth with supraphysiological level of arginine and lithium chloride treatment.	Yes	PosHigh	0.0852001769828436	7130.989733393961	0.2084712166629244	Growth with supraphysiological level of arginine and lithium chloride treatment.
3366.767272727273	1251.9309090909092	445.16	9.13818181818182	263.70181818181817	104.43636363636364	908.5963636363635	5669.589090909091	6789.669090909091	3519.5054545454545	118.79636363636364	101.82545454545456	1084.8327272727272	595.2872727272727	140.98909090909092	248.03636363636363	89.497959900155	195.09705694218465	116.633418047759	118.79636363636364	77.3444800669963	499.9890909090909	4349.774545454546	9946.258181818182	2840.6690909090908	244.12	118.79636363636364	138781.5672727273	2681.4036363636365	330.28000000000003	44.38545454545454	20489.109090909093	1755.8363636363638	147.36724277575337	1505.189090909091	104.43636363636364	1310.6763636363637	2154.0	201.84923207756347	5125.214545454545	167.77671325151326	267.6181818181818	189.18710795289877	144.92841168561975	180.15272727272728	199.73454545454547	Growth with physiological level of arginine and lithium chloride treatment.	D2	11	Growth with physiological level of arginine and lithium chloride treatment.	Yes	PosLow	0.0995822676162727	7439.725468215064	0.214552555920533	Growth with physiological level of arginine and lithium chloride treatment.
2759.567307692308	943.298076923077	391.3846153846154	284.36538461538464	642.1153846153846	504.5192307692308	2054.769230769231	3699.807692307693	8879.538461538463	2759.567307692308	427.0093821768488	131.48076923076923	2187.778846153846	139.125	12.230769230769232	29.048076923076923	26.754807692307693	108.23172121327384	138.57358998320962	451.5346813592586	96.51743099754913	1184.8557692307693	4705.788461538462	8445.346153846154	223.21153846153848	103.96153846153848	411.26355776737626	226223.3653846154	3085.2115384615386	24.461538461538463	27.51923076923077	1166.5096153846157	1593.0576923076924	86.7275954833163	795.0	238.5	5587.932692307692	1842.2596153846157	112.50181449905034	4993.211538461539	123.7267093338646	103.96153846153848	111.08471705322096	171.24750007275958	2374.298076923077	298.125	Growth with supraphysiological level of arginine and lithium chloride treatment.	C11	82	Growth with supraphysiological level of arginine and lithium chloride treatment.	Yes	PosHigh	0.1338855675322633	6203.5465112321	0.1989755745502515	Growth with supraphysiological level of arginine and lithium chloride treatment.
6371.663644605621	10471.066787549107	371.976427923844	405.4125113327289	1088.0658809307947	257.7364762768208	1838.984587488667	13407.869446962828	60409.25052886068	5647.911755817468	141.3047568073262	4610.0	11235.917195527349	164.39407676035054	1095.0317316409792	6350.06950740405	360.8310667875491	387.3012994862496	32.04291326684799	146.98997810614782	32.04291326684799	2295.94439407676	490.3958899969779	56837.16228467815	419.3442127530976	271.6681776971895	154.62819728088672	284542.46297975216	2672.100332426715	352.47204593532786	250.77062556663645	2.7863402840737383	6.965850710184346	334.3608340888485	1340.2296766394682	6.965850710184346	5887.537020247809	816.3977032336053	334.3608340888485	2517.4584466606225	387.3012994862496	300.9247506799637	334.3608340888485	1720.5651254155332	554.4817165306739	68.26533695980659	Growth with supraphysiological level of arginine supplementation.	A4	24	Growth with supraphysiological level of arginine supplementation.	None	PosHigh	0.2400721813716179	53123.79158513277	2.07331338992057	Growth with supraphysiological level of arginine supplementation.
2368.660645801768	2386.499931000275	1807.7142334487128	17.83928519850704	63.42856959469169	472.1679134893584	664.0178379444286	3404.330258715093	13528.124608867836	2263.60707741056	484.6339145594412	276.5089205768591	1875.1070886430728	86.22321179278401	98.1160685917887	247.7678499792644	76.16592668258316	233.76884212437005	36.66964179693113	493.55355715869473	104.03737524870527	1824.5624472473032	2712.5624215729868	23636.061816621903	855.2946181284208	55.49999839535523	502.4731997579482	71341.28365162948	1291.3660340919262	2.477678499792644	141.72321018813923	10126.767564352494	821.5981905312408	115.17949228252604	870.1606891271766	141.72321018813923	2129.8124384217567	966.2946149191312	166.73263527846288	2599.580281982442	155.0522813319008	55.49999839535523	173.26744939053307	39.64285599668231	1582.7410256675412	2270.5445772099797	Growth with alanine supplementation and lithium chloride treatment as a negative control.	E5	36	Growth with alanine supplementation and lithium chloride treatment as a negative control.	Yes	NegHigh	0.1354279763342544	6709.987544453232	0.2250472614181341	Growth with alanine supplementation and lithium chloride treatment as a negative control.
7609.562624254473	10068.677932405566	599.0	194.1093439363817	1248.0159045725648	157.19284294234592	2602.017892644136	12864.805168986084	58490.02783300199	6951.019880715706	102.41351888667992	3658.306163021869	7401.163021868788	1724.3578528827038	2810.417495029821	7844.161033797217	217.331013916501	223.88071570576545	34.53479125248509	102.41351888667992	47.94948121226386	3274.8508946322067	864.5606361829026	52110.61829025845	8.93141153081511	270.324055666004	102.41351888667992	269783.407554672	3872.660039761432	73.83300198807157	210.7813121272366	13.099403578528827	1986.3459244532803	210.7813121272366	1375.4373757455269	2.9771371769383697	6836.697813121273	1780.3280318091452	210.7813121272366	2659.178926441352	210.7813121272366	278.6600397614314	210.7813121272366	363.2107355864811	22.62624254473161	441.8071570576541	Growth with supraphysiological level of arginine supplementation.	G5	38	Growth with supraphysiological level of arginine supplementation.	None	PosHigh	0.240158560875275	43963.2028047852	1.9520729206977416	Growth with supraphysiological level of arginine supplementation.
