From	To
A5Z2X5	sce:YPR010C-A
D6VTK4	sce:YFL026W
O13297	sce:YPL228W
O13516	sce:YPL081W
O13563	sce:YLR421C
O14455	sce:YPL249C-A
O14467	sce:YOR298C-A
O43137	sce:YBR085C-A
O74700	sce:YEL020W-A
P00044	sce:YJR048W
P00128	sce:YDR529C
P00330	sce:YOL086C
P00358	sce:YJR009C
P00359	sce:YGR192C
P00360	sce:YJL052W
P00410	sce:Q0250
P00425	sce:YIL111W
P00427	sce:YHR051W
P00431	sce:YKR066C
P00445	sce:YJR104C
P00447	sce:YHR008C
P00498	sce:YER055C
P00546	sce:YBR160W
P00549	sce:YAL038W
P00560	sce:YCR012W
P00572	sce:YJR057W
P00724	sce:YIL162W
P00729	sce:YMR297W
P00815	sce:YCL030C
P00817	sce:YBR011C
P00830	sce:YJR121W
P00890	sce:YNR001C
P00899	sce:YER090W
P00912	sce:YDR007W
P00924	sce:YGR254W
P00925	sce:YHR174W
P00927	sce:YER086W
P00931	sce:YGL026C
P00937	sce:YKL211C
P00942	sce:YDR050C
P00950	sce:YKL152C
P00958	sce:YGR264C
P01094	sce:YMR174C
P01097	sce:YDL181W
P01098	sce:YDL130W-A
P01120	sce:YNL098C
P01123	sce:YFL038C
P02309	sce:YBR009C
P02309	sce:YNL030W
P02400	sce:YDR382W
P02406	sce:YGL103W
P02557	sce:YFL037W
P02829	sce:YPL240C
P02992	sce:YOR187W
P02994	sce:YBR118W
P02994	sce:YPR080W
P03962	sce:YEL021W
P03965	sce:YJR109C
P04037	sce:YGL187C
P04039	sce:YLR395C
P04046	sce:YMR300C
P04050	sce:YDL140C
P04051	sce:YOR116C
P04076	sce:YHR018C
P04147	sce:YER165W
P04161	sce:YDR408C
P04173	sce:YCL018W
P04449	sce:YGL031C
P04456	sce:YOL127W
P04650	sce:YJL189W
P04786	sce:YOL006C
P04801	sce:YIL078W
P04802	sce:YLL018C
P04806	sce:YFR053C
P04807	sce:YGL253W
P04817	sce:YEL063C
P04821	sce:YLR310C
P04840	sce:YNL055C
