Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
A1	20241010_hplc_growth_experiment	1	0	0	1	0.006933333333333319	-0.0002000000000000057	0.006933333333333319	0.0024611111111111036	
A2	20241010_hplc_growth_experiment	1	0	0	1	0.1557333333333333	0.15159999999999998	0.36916666666666653	0.20642777777777777	
A3	20241010_hplc_growth_experiment	1	0	0	1	0.14433333333333334	0.13410000000000002	0.4015666666666667	0.20947777777777782	
A4	20241010_hplc_growth_experiment	1	0	0	1	0.14986666666666668	0.1332333333333333	0.39316666666666666	0.19515000000000005	
A5	20241010_hplc_growth_experiment	1	0	0	1	0.15723333333333336	0.14433333333333334	0.35760000000000003	0.20117222222222225	
A6	20241010_hplc_growth_experiment	1	0	0	1	0.15813333333333335	0.13853333333333331	0.3553000000000001	0.1971888888888889	
A7	20241010_hplc_growth_experiment	1	0	0	1	0.01733333333333334	0.01733333333333334	0.04519999999999999	0.03662222222222222	
A8	20241010_hplc_growth_experiment	1	0	0	1	0.14793333333333336	0.14403333333333332	0.3715000000000001	0.2036555555555556	
A9	20241010_hplc_growth_experiment	1	0	0	1	0.14623333333333333	0.12883333333333333	0.5999	0.24422222222222223	
A10	20241010_hplc_growth_experiment	1	0	0	1	0.12733333333333333	0.12733333333333333	0.41536666666666666	0.24220000000000003	
A11	20241010_hplc_growth_experiment	1	0	0	1	0.14016666666666666	0.14016666666666666	0.2401333333333333	0.17702777777777778	
A12	20241010_hplc_growth_experiment	1	0	0	1	-0.001333333333333353	-0.01813333333333333	-0.001333333333333353	-0.010205555555555556	
B1	20241010_hplc_growth_experiment	1	0	0	1	-0.010600000000000012	-0.010600000000000012	0.008066666666666666	0.0018555555555555478	
B2	20241010_hplc_growth_experiment	1	0	0	1	0.11279999999999997	0.11279999999999997	0.2881	0.16820555555555558	
B3	20241010_hplc_growth_experiment	1	0	0	1	0.12969999999999998	0.12969999999999998	0.3047	0.18485555555555558	
