	plateID	well	CONCuM	Summary
0	plate_1	A01	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
1	plate_1	A02	Media control	
2	plate_1	A03	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
3	plate_1	A04	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
4	plate_1	A05	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
5	plate_1	A06	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
6	plate_1	A07	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
7	plate_1	A08	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
8	plate_1	A09	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
9	plate_1	A10	Media control	
10	plate_1	A11	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
11	plate_1	A12	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
12	plate_1	B01	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
13	plate_1	B02	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
14	plate_1	B03	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
15	plate_1	B04	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
16	plate_1	B05	Media control	
17	plate_1	B06	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
18	plate_1	B07	Media control	
19	plate_1	B08	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
20	plate_1	B09	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
21	plate_1	B10	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
22	plate_1	B11	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
23	plate_1	B12	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
24	plate_1	C01	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
25	plate_1	C02	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
26	plate_1	C03	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
29	plate_1	C06	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
30	plate_1	C07	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
33	plate_1	C10	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
34	plate_1	C11	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
35	plate_1	C12	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
36	plate_1	D01	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
37	plate_1	D02	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
38	plate_1	D03	Media control	
39	plate_1	D04	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
40	plate_1	D05	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
41	plate_1	D06	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
42	plate_1	D07	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
43	plate_1	D08	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
44	plate_1	D09	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
45	plate_1	D10	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
46	plate_1	D11	Media control	
47	plate_1	D12	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
48	plate_1	E01	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
49	plate_1	E02	Media control	
50	plate_1	E03	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
51	plate_1	E04	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
52	plate_1	E05	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
53	plate_1	E06	None: 0 mM & Caffeine: 0 mM	Baseline condition with no supplementation or treatment.
54	plate_1	E07	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
55	plate_1	E08	None: 0 mM & Caffeine: 5 mM	Caffeine treatment without arginine supplementation.
56	plate_1	E09	Arginine: 1 mM & Caffeine: 5 mM	High arginine supplementation with caffeine treatment.
57	plate_1	E10	Alanine: 1 mM & Caffeine: 0 mM	Negative control with alanine supplementation without caffeine.
58	plate_1	E11	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
59	plate_1	E12	Media control	
60	plate_1	F01	Arginine: 0.1 mM & Caffeine: 5 mM	Low arginine supplementation with caffeine treatment.
61	plate_1	F02	Arginine: 1 mM & Caffeine: 0 mM	High arginine supplementation without caffeine treatment.
62	plate_1	F03	Alanine: 1 mM & Caffeine: 5 mM	Negative control with alanine supplementation and caffeine treatment.
63	plate_1	F04	Media control	
64	plate_1	F05	Arginine: 0.1 mM & Caffeine: 0 mM	Low arginine supplementation without caffeine treatment.
