	mu	AUC	MaxOD	Summary
A1	0.18522036225971147	14704.508	0.71806	Caffeine treatment without arginine supplementation.
A3	0.2496592557325351	47759.96000000001	2.04352	Low arginine supplementation without caffeine treatment.
A4	0.2406373751426806	41058.871999999996	1.85378	High arginine supplementation without caffeine treatment.
A5	0.22860680448732784	37493.532	1.7801733333333332	Negative control with alanine supplementation without caffeine.
A6	0.20179890416347906	11860.5	0.5300933333333333	High arginine supplementation with caffeine treatment.
A7	0.24741758821717896	40431.052	1.8681066666666666	Negative control with alanine supplementation without caffeine.
A8	0.24046365277891274	38660.416000000005	1.8038866666666666	Baseline condition with no supplementation or treatment.
A9	0.25470371787499213	37243.304	1.8142466666666663	Negative control with alanine supplementation without caffeine.
A10	0.0	98.32799999999986	0.0	Media control
A11	0.18007010450975539	15775.48	0.7496933333333333	Negative control with alanine supplementation and caffeine treatment.
A12	0.15658853177570992	16074.068	0.6260733333333334	Low arginine supplementation with caffeine treatment.
B1	0.25777917572285536	38766.912	1.7804066666666665	High arginine supplementation without caffeine treatment.
B2	0.18265011000058382	14176.220000000001	0.6757000000000001	High arginine supplementation with caffeine treatment.
B3	0.18929030302179758	19011.584	0.9406000000000001	Caffeine treatment without arginine supplementation.
B4	0.25970331823516246	41657.524	1.95518	Negative control with alanine supplementation without caffeine.
B5	0.0	325.47999999999996	0.0	Media control
B7	0.0	245.8119999999998	0.0	Media control
B8	0.23874061183149037	42476.836	1.9290266666666667	High arginine supplementation without caffeine treatment.
B9	0.2308261880353868	30241.023999999998	1.5201666666666667	Low arginine supplementation without caffeine treatment.
B10	0.17591182247681914	19307.895999999997	0.9037933333333334	Low arginine supplementation with caffeine treatment.
B11	0.1808299019103385	9527.596	0.4421733333333334	Caffeine treatment without arginine supplementation.
B12	0.22946674142305154	43494.452000000005	1.9198733333333333	Baseline condition with no supplementation or treatment.
C1	0.2403789142956121	45117.759999999995	1.9093666666666667	Low arginine supplementation without caffeine treatment.
C2	0.2520334034376086	38702.53199999999	1.8202466666666666	Negative control with alanine supplementation without caffeine.
C3	0.2499674777158884	38201.096000000005	1.80912	Baseline condition with no supplementation or treatment.
C4	0.0	60.527999999999984	0.0	Media control
C5	0.1902525158424011	16883.007999999998	0.8330533333333333	Caffeine treatment without arginine supplementation.
C6	0.16446493554132652	13940.076000000003	0.6187733333333334	Low arginine supplementation with caffeine treatment.
C7	0.24840491322669728	35222.727999999996	1.6613866666666666	High arginine supplementation without caffeine treatment.
C8	0.0	54.1199999999999	0.0	Media control
C9	0.19648646810389647	16628.896	0.8491666666666665	Low arginine supplementation with caffeine treatment.
C10	0.26085609264807547	33907.024	1.6761933333333332	High arginine supplementation without caffeine treatment.
C11	0.17853722690280785	15653.168	0.7587533333333333	High arginine supplementation with caffeine treatment.
C12	0.19073781170969245	13321.400000000001	0.6585933333333334	Negative control with alanine supplementation and caffeine treatment.
D1	0.20344001320417307	18977.028	1.0167933333333334	Negative control with alanine supplementation and caffeine treatment.
D2	0.17367550388047046	13826.947999999999	0.6446333333333334	Low arginine supplementation with caffeine treatment.
D3	0.0	643.2199999999999	0.0	Media control
D4	0.25390161850229054	37346.292	1.7963533333333335	Baseline condition with no supplementation or treatment.
D5	0.2383480527238926	43278.38	1.9474733333333334	Baseline condition with no supplementation or treatment.
D6	0.2673444930925378	36604.231999999996	1.9981133333333332	Negative control with alanine supplementation without caffeine.
D7	0.2402990028967004	44664.312	2.1359266666666663	Low arginine supplementation without caffeine treatment.
D9	0.2427194245525684	46986.155999999995	2.047833333333333	High arginine supplementation without caffeine treatment.
D10	0.17895023150419057	17820.096	0.8525333333333334	Caffeine treatment without arginine supplementation.
D11	0.0	21.888000000000034	0.0	Media control
D12	0.18122478857794905	12785.764	0.5965133333333335	High arginine supplementation with caffeine treatment.
E1	0.1835294297435208	15217.463999999996	0.7543933333333334	High arginine supplementation with caffeine treatment.
E2	0.0	0.0	0.0	Media control
E3	0.2650189277416644	47506.064	2.0254400000000006	High arginine supplementation without caffeine treatment.
E4	0.18204377918372083	10314.967999999999	0.51166	Caffeine treatment without arginine supplementation.
E5	0.19267907706476328	14345.632000000001	0.7324333333333334	Negative control with alanine supplementation and caffeine treatment.
E6	0.25306866375555376	33732.628	1.6619599999999999	Baseline condition with no supplementation or treatment.
E7	0.1851269752542248	13487.124	0.6628266666666666	Low arginine supplementation with caffeine treatment.
E8	0.18530592690424844	16156.376	0.7832333333333333	Caffeine treatment without arginine supplementation.
