	Well	Summary	Treatment	Supplement
0	A1	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
1	B1	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
2	C1	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
3	D1	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
4	E1	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
5	F1	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
6	G1	Media control	None	None
7	H1	Baseline growth without any supplementation or treatment.	None	None
8	A2	Media control	None	None
9	B2	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
10	C2	Growth with proline supplementation without formic acid treatment.	None	NegHigh
11	D2	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
12	E2	Media control	None	None
13	F2	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
14	G2	Baseline growth without any supplementation or treatment.	None	None
15	H2	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
16	A3	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
17	B3	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
18	C3	Baseline growth without any supplementation or treatment.	None	None
19	D3	Media control	None	None
20	E3	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
21	F3	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
22	G3	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
23	H3	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
24	A4	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
25	B4	Growth with proline supplementation without formic acid treatment.	None	NegHigh
26	C4	Media control	None	None
27	D4	Baseline growth without any supplementation or treatment.	None	None
28	E4	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
29	F4	Media control	None	None
30	G4	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
31	H4	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
32	A5	Growth with proline supplementation without formic acid treatment.	None	NegHigh
33	B5	Media control	None	None
34	C5	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
35	D5	Baseline growth without any supplementation or treatment.	None	None
36	E5	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
37	F5	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
38	G5	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
39	H5	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
40	A6	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
41	B6	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
42	C6	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
43	D6	Growth with proline supplementation without formic acid treatment.	None	NegHigh
44	E6	Baseline growth without any supplementation or treatment.	None	None
45	F6	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
46	G6	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
47	H6	Media control	None	None
48	A7	Growth with proline supplementation without formic acid treatment.	None	NegHigh
49	B7	Media control	None	None
50	C7	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
51	D7	Growth with low aminoadipate supplementation without formic acid treatment.	None	PosLow
52	E7	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
53	F7	Baseline growth without any supplementation or treatment.	None	None
54	G7	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
55	H7	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
56	A8	Baseline growth without any supplementation or treatment.	None	None
57	B8	Growth with high aminoadipate supplementation without formic acid treatment.	None	PosHigh
58	C8	Media control	None	None
59	D8	Growth with high aminoadipate supplementation and formic acid treatment.	Yes	PosHigh
60	E8	Growth with formic acid treatment without aminoadipate supplementation.	Yes	None
61	F8	Growth with low aminoadipate supplementation and formic acid treatment.	Yes	PosLow
62	G8	Growth with proline supplementation and formic acid treatment.	Yes	NegHigh
