well	AUC	log_auc	final_value	TV	outlier
A1	22731.24	10.031495468856182	0.4578	0.2972	False
A2	12094.679999999998	9.400520965563086	0.16595	0.18010000000000007	False
A3	54983.369999999995	10.91478605487533	1.83635	1.63895	False
A4	23425.410000000003	10.06157660966423	0.5828	0.47745	False
A5	74150.48999999998	11.213851955784298	2.28015	2.2286500000000005	False
A6	13104.840000000002	9.48073690667878	0.20245000000000002	0.09500000000000006	False
A7	72914.66999999998	11.197045132333406	2.26395	2.24555	False
A8	67250.58	11.11618092197708	2.13375	2.0693	False
A9	64907.100000000006	11.080712295799447	2.1253	2.0890999999999997	False
A10	12429.600000000002	9.427836003858244	0.17830000000000001	0.16880000000000012	False
A11	15315.78	9.63663894849559	0.30585	0.1814	False
A12	16102.5	9.686729818483148	0.3024	0.16910000000000008	False
B1	27139.44	10.208743299461906	0.73085	0.5831000000000001	False
B2	12957.48	9.469428506632225	0.18725	0.08390000000000006	False
B3	27279.870000000006	10.213904346586807	0.87585	0.74325	False
B4	69289.47	11.146048225595203	2.1707	2.0197499999999997	False
B5	10715.730000000001	9.279468034471751	0.14865	0.12284999999999996	False
B6	27631.59	10.226714962443431	0.8283499999999999	0.68665	False
B7	11533.86	9.353042336161689	0.1632	0.14589999999999995	False
B8	25210.530000000002	10.135017043404055	0.6897	0.56445	False
B9	56147.60999999999	10.935739394719286	1.8704999999999998	1.7042499999999998	False
B10	17548.86	9.772744269576224	0.37405	0.246	False
B11	22220.76	10.008782266074043	0.6534500000000001	0.5317000000000001	False
B12	67398.81000000001	11.11838264097302	2.19595	2.0485500000000005	False
C1	59725.83	10.997519869142236	1.9278	1.76315	False
C2	75063.54	11.226090233860413	2.23935	2.1309	False
C3	81557.70000000001	11.309066024204935	2.3407999999999998	2.2986999999999997	True
C4	11720.100000000002	9.369060595603134	0.1623	0.18110000000000015	False
C5	15382.92	9.641013082061178	0.32715	0.2041	False
C6	19863.539999999997	9.896641169499405	0.43525	0.30700000000000005	False
C7	28903.889999999996	10.271731467153199	0.8062	0.6738500000000001	True
C8	10755.630000000001	9.283184617485073	0.1562	0.10094999999999998	False
C9	17731.56	9.783101381717689	0.35735	0.2363	False
C10	25462.26	10.144952634903992	0.64165	0.5228	False
C11	14942.189999999997	9.611944034356386	0.24855	0.12845	False
C12	30225.420000000006	10.316438571201171	1.1301	1.0075000000000003	False
D1	28593.929999999997	10.260949736555057	0.8566499999999999	0.71315	False
D2	15139.739999999998	9.625078353858513	0.26854999999999996	0.153	False
D3	9992.579999999998	9.209598096658008	0.1406	0.1019	False
D4	71807.45999999999	11.181743649374488	2.30405	2.2592999999999996	False
D5	71755.92	11.181025638942948	2.3094	2.1598	False
D6	68677.35	11.137174729540735	2.2813	2.13875	False
D7	50258.82	10.824941332927027	1.7147000000000001	1.5663	False
D8	12426.960000000001	9.427623585083506	0.19335000000000002	0.08309999999999998	False
D9	21051.809999999998	9.954741821209685	0.5237	0.41405000000000003	True
D10	21200.76	9.961792309121314	0.6055	0.48380000000000006	False
D11	10709.279999999999	9.278865934384587	0.1521	0.146	False
D12	13305.6	9.495940278298795	0.21039999999999998	0.10300000000000002	False
E1	15784.08	9.666757116176681	0.24745	0.14090000000000003	False
E2	10901.370000000003	9.296643748484277	0.1544	0.11964999999999984	False
E3	25291.920000000002	10.138240256157529	0.6624	0.5347999999999999	False
E4	13274.7	9.493615247060056	0.2379	0.13190000000000002	False
E5	76620.59999999999	11.246621249090593	1.80785	1.8454999999999995	True
E6	70975.8	11.170094252866235	2.2951499999999996	2.1534999999999997	False
E7	20316.87	9.919206854443892	0.4162	0.27215	False
E8	25671.9	10.153152287526575	0.76615	0.6394	False
E9	15197.67	9.628897405676451	0.2473	0.13155	False
E10	64731.23999999999	11.077999207867736	2.2079	2.0702	False
E11	54088.53	10.898377427587318	1.9429500000000002	1.7955500000000002	False
E12	10337.94	9.243575902005345	0.14555	0.1023	False
F1	18316.469999999998	9.815555934126944	0.36	0.2329500000000001	False
F2	26308.590000000004	10.177650780846063	0.6715500000000001	0.5284500000000001	False
F3	11462.31	9.346819540723962	0.1734	0.10334999999999994	False
F4	9651.630000000001	9.174882092089728	0.13915	0.09625000000000009	False
F5	46679.25	10.751055019454796	1.62135	1.49295	False
F6	15859.98	9.671554234217048	0.3311	0.2187	False
F7	66784.89	11.109232136348384	2.2481	2.11865	False
F8	14326.32	9.569853684004364	0.26325	0.1543	False
F9	10497.9	9.258930516238205	0.15435	0.10119999999999993	False
F10	12850.740000000002	9.461156676291722	0.2025	0.10050000000000003	False
F11	53834.399999999994	10.8936679470405	1.99515	1.8773	True
F12	29399.699999999997	10.288739749227092	0.59595	1.2134	True
G1	12286.589999999998	9.416263702791257	0.16394999999999998	0.19485	False
G2	73783.68	11.208892847936076	2.36555	2.3487	False
G3	14346.960000000001	9.571293352124894	0.25229999999999997	0.14919999999999992	False
G4	20693.31	9.93756573865936	0.58905	0.46564999999999995	False
G5	30308.7	10.319190079029765	0.85295	0.6912	True
G6	52642.350000000006	10.871276207878875	1.8546	1.71535	False
G7	14246.640000000001	9.564276368490596	0.22935	0.1315	False
G8	14034.869999999999	9.549300226266444	0.2984	0.1933499999999999	False
G9	22088.79	10.002825519042474	0.6676	0.5581499999999999	False
G10	9622.5	9.171859385261824	0.1333	0.11010000000000003	False
G11	58907.82	10.98372912824622	2.1395	2.0157	False
G12	15268.739999999998	9.63356288013887	0.2467	0.1389	False
H1	63997.83	11.066604455532605	2.2096999999999998	2.0949500000000003	False
H2	56366.24999999999	10.939625854133286	1.90605	1.75555	False
H3	14109.420000000002	9.55459793847401	0.2154	0.12849999999999992	False
H4	47725.85999999999	10.773228668358254	1.6806999999999999	1.5460999999999998	False
H5	16719.870000000003	9.724353111548659	0.34309999999999996	0.23214999999999994	False
H6	10882.440000000002	9.294905760064138	0.1515	0.13720000000000002	False
H7	24006.45	10.086077823264926	0.77995	0.67135	False
H8	61534.31999999999	11.027350346940032	2.1861	2.067	False
H9	22032.269999999997	10.000263475840693	0.6409	0.53155	False
H10	46251.99	10.741859769063582	1.6710500000000001	1.55045	False
H11	10505.94	9.259696090570511	0.14135	0.13929999999999998	False
H12	23940.3	10.083318510403538	0.62645	0.5581999999999999	False
