,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-182.12063283212595,90.736082425482
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],194.94376595019705,113.8374062845749
2'-Deoxyinosine [[M+H]],87.23724877618197,147.03541576099843
2'-Deoxyuridine [[M+Na]],75.01043919625099,99.45841902001014
3-Methylhistidine [[M+Na]],-77.69634610443092,182.48287205998778
ATP [[M+H]],131.0298729414173,160.34446211176223
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],136.7877537669889,92.78879731783128
Ademetionine [[M+H]],-10.58974732674692,164.2387459635067
Adenine [[M+H]],-9.453565867147915,119.40834101906549
Adenosine phosphate [[M+H]],70.5895766561873,128.39841047337913
Adenosine-3'-5'-Diphosphate [[M+H]],-183.93806652448694,80.32082316245106
Alpha-D-Glucose [[M+Na]],-122.88530847461816,61.18234712066982
Aminoadipate [[M+Na]],345.34857782334933,137.31157874340053
Asparagine [[M+NH4]],-134.0052273935715,108.21996406760104
Biotin [[M+H]],153.374255466059,95.12144100879878
Choline [[M+H]],131.49932165070152,62.620566229496966
Cytidine [[M+H]],291.4600560885027,159.16744299511234
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]],-208.41069763876558,81.0056281679911
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],-211.36901313757986,81.07702933260194
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],-53.221896735511336,77.64028910448425
D-Galactose [[M+Na]],-55.44022415701752,73.61417074627224
D-Glucose [[M+Na]],-128.14966113557966,62.91920371258426
Deoxyadenosine [[M+H]],-99.08561561252291,110.03929319378211
Galactose [[M+Na]],-50.62271555765839,74.872763102782
Glucosamine [[M+H]],235.45854857120642,98.68431378758513
Glutamic Acid [[M-H2O+H]],255.21941270167827,73.7228240832837
Glutathione [[M+H]],97.42282721459101,85.35169640579846
Histidine [[M+H]],-90.39586751915313,207.20630495375377
Homocitrate [[M+Na]],-124.94993196316565,109.7919985041604
Imidazoleacetic acid [[M+H]],1.2650681601798481,137.5672575688153
Indole-3-Ethanol [[M+H]],-188.89243138378495,100.7718425524611
Inositol [[M+Na]],-97.28713209016252,67.4792349752495
L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid [[M+H]],175.17008790023388,142.84182833853572
L-Anserine [[M+H]],-241.71773261781638,52.84831651958576
L-Arginine [[M+H]],110.77896631910312,116.81278284932714
L-Citrulline [[M+H]],319.88070593560246,115.94511929939992
L-Lysine [[M+Na]],-177.6918534579444,66.79092342191743
L-Threonine [[M+Na]],-167.7036838823525,147.589570190376
L-Tryptophan [[M+NH4]],86.81169864117925,76.94055603855402
L-Valine [[M+H]],-204.58420043037395,76.25315161795528
Levocarnitine [[M+H]],216.7614786394761,260.20153106914455
Methionine [[M+H]],-166.27232614135374,101.42911069695187
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-124.356684644752,63.89723977136436
N2-Acetyl-L-ornithine [[M+H]],-66.04246538549914,123.63753504091295
Niacin [[M+H]],73.64071646614197,135.53977450914627
Nicotinamide [[M+H]],-204.58551119688858,139.27989957368183
Nicotinamide ribotide [[M+H]],-120.56813392907817,95.5654219213878
O-acetyl-L-serine [[M+H]],1.0493240062590075,182.02562445476588
Phenylethyl alcohol [[M+H]],-82.25623063914402,117.62505288062601
Pidolic Acid [[M+H]],209.56093160954123,64.23385317178489
Proline [[M+NH4]],447.0301926030972,172.80212902573405
Pyridoxal [[M+H]],-134.0647517744129,117.69610388781285
Pyridoxamine [[M+H]],-175.29032240805978,52.248188038947326
Sucrose [[M+Na]],-204.64337507891557,78.64532197320105
Thymine [[M+H]],-25.49365056408762,126.82000548686152
Trehalose [[M+Na]],-209.1028466908989,79.92962592682554
Xanthurenic acid [[M+H]],11.043651284456695,176.4548611747426
d-Desthiobiotin [[M+K]],78.287454309352,116.62778751267894
gamma-Glutamylcysteine [[M+H]],129.57731901388482,97.31510120113758
