,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-0.20297945966198389,-0.08497627696064336,0.1360782308506305,0.05117633492428943,0.1235419651537558
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.21430404400837072,0.06211248082676877,-0.05495530441674379,0.07154068058177084,0.20536527524374196
2'-Deoxyinosine [[M+H]],-0.019789563469298742,-0.018372049915183382,0.21552562188537516,-0.1814495519628853,-0.07723478742152134
2'-Deoxyuridine [[M+Na]],-0.14728609490029676,-0.07016638956874428,0.0037478251382116745,0.14395170973728394,-0.14023954880548678
3-Methylhistidine [[M+Na]],-0.022408806093530683,-0.028246655269601035,0.0503968693022206,0.1458909370898704,0.07400333118194949
ATP [[M+H]],-0.17703540284353242,-0.1089487938042228,0.11395765434863624,0.0637889273441744,0.07950355496596109
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.029127550937621274,0.012443782586715428,-0.07265341937900242,0.2641244880858162,0.13311416153339634
Ademetionine [[M+H]],-0.19515302981369165,-0.04783516173516662,0.0702158387131795,0.04762003918300212,0.14089022410667715
Adenine [[M+H]],-0.061374065124113086,-0.020329815487576813,-0.21311351463672445,0.10487025792980403,0.10994646590234779
Adenosine phosphate [[M+H]],-0.21460862061825042,0.07051238427393099,-0.09704374147720435,0.07952476870384728,0.19242208674783767
Adenosine-3'-5'-Diphosphate [[M+H]],-0.20269008970159527,-0.07604981010595098,0.13498691347866718,0.04995702713562604,0.12356731141000654
Alpha-D-Glucose [[M+Na]],0.14366598495687566,-0.13616450571318753,-0.0961210287643662,0.2303645183812597,0.040327560191530935
Aminoadipate [[M+Na]],-0.2136994182054607,-0.14274995779728114,0.12702342065758757,0.002961028279438295,0.048913939467336874
Asparagine [[M+NH4]],-0.06217003185463149,0.045681409515125226,0.11886702102518748,0.04795394105713069,-0.027541276953259194
Biotin [[M+H]],-0.15635315284068868,-0.07105083989749525,-0.05495400911079964,-0.06528829323935947,-0.018365873590155058
Choline [[M+H]],-0.19997852933078306,-0.11514914859979786,0.009460438939229177,0.008230227420759044,0.0268410781084891
Cytidine [[M+H]],-0.17455457991084647,-0.04337173917992945,-0.10928810240849648,-0.12001851734624276,0.05021472085048784
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]],0.17450165104717752,-0.1642352913767254,0.09584316872425343,-0.0911808274914175,0.16270365637182002
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],0.17395656246192975,-0.16144163029341874,0.10156313876779194,-0.0968829162504555,0.16827639777991618
D-Fructose [[M+Na]]/D-Mannose [[M+Na]],0.12649719839421542,-0.16968582764354256,-0.1141255297693107,0.2171301778967304,-0.0072388736641709975
D-Galactose [[M+Na]],0.12967896733797357,-0.16343373555836405,-0.11168908119626314,0.22174672991316324,0.00654619050160201
D-Glucose [[M+Na]],0.14661290902235746,-0.13304918407450672,-0.09143360291924274,0.23366930168601924,0.05559956109286746
Deoxyadenosine [[M+H]],0.026565067195194213,0.17688865367730292,0.2495948079262521,0.20089078667623558,-0.1109786354097083
Galactose [[M+Na]],0.12906449763325792,-0.16436278841873078,-0.11106164297609765,0.22099686470821203,0.008864527487851472
Glucosamine [[M+H]],-0.09713588203228286,0.2328988637816784,-0.2204797654516952,0.04607378738379045,0.17237945372396102
Glutamic Acid [[M-H2O+H]],-0.15776378151946538,-0.1694109767131359,-0.11111807808952612,0.029955330276317933,-0.39495140192235234
Glutathione [[M+H]],-0.17324068269375467,0.1658320929010656,-0.22584826062418098,0.0457458064269485,0.1878762224784678
Histidine [[M+H]],-0.1734091227557252,-0.10501504462453878,0.09505205654750787,0.10625400813860147,-0.009142050373175933
Homocitrate [[M+Na]],0.05275496108903479,0.004283670664165963,-0.06069583814742251,0.018578251751041875,-0.1485911419287717
Imidazoleacetic acid [[M+H]],-0.04070534502910137,-0.08552520866633773,0.04687136531655834,0.12570229721338605,0.19552767454182066
Indole-3-Ethanol [[M+H]],0.11660448548171842,0.04260250297860535,0.23452402511728104,0.11682159010192913,0.12085237157729725
Inositol [[M+Na]],0.15056403047317896,-0.1223920017033681,-0.08718845772317335,0.23495486492660467,0.07989097342659605
L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid [[M+H]],0.051236911675558966,-0.07945134197366356,0.029846259675312167,0.12191203233870973,-0.15146199882563602
L-Anserine [[M+H]],0.04653847464709547,0.2999276701538905,0.20091171877967084,0.19445899241394293,0.009557971143474057
L-Arginine [[M+H]],-0.20207221286535632,-0.15629485447809705,0.16589730250799203,0.05383307782401707,0.0005736500866144273
L-Citrulline [[M+H]],-0.21309245765737944,-0.10694951083532411,0.1295956056552556,-0.031401915667753105,0.056695307397699596
