Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	47.0	0.002331002331002331	11422.664857614856	3380.352015021426	0.018623737373737376
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	33.0	0.31759906759906764	10703.194079448684	8958.701472603943	0.5246736596736598
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyinosine [[M+H]]	45.0	0.006993006993006993	1643.848563718827	1258.375058058523	0.039028539028539026
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	44.0	0.011072261072261072	796.1745038167938	309.5251641137856	0.048135198135198135
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	3-Methylhistidine [[M+Na]]	34.0	0.25932400932400934	318.2243348937155	108.77370345365976	0.46449792038027343
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	45.0	0.006993006993006993	1683.192072230131	393.45073766486576	0.039028539028539026
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	27.0	0.8047785547785549	1034.6085496183207	1174.993884502245	0.9056499812630604
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	42.0	0.026223776223776224	2975.5453435114505	822.3770107265703	0.09336568603809983
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	21.0	0.7103729603729605	9745.88120187102	9045.013129102845	0.8311162397564665
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	30.0	0.534965034965035	85033.11022900764	75025.90153172867	0.7002960471314902
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	47.0	0.002331002331002331	11018.725640719893	3181.929654875189	0.018623737373737376
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Alpha-D-Glucose [[M+Na]]	5.0	0.011072261072261072	399.0432401644742	1702.1291617363895	0.048135198135198135
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	49.0	0.0005827505827505828	6391.7056488549615	1381.840262582057	0.012033799533799534
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Asparagine [[M+NH4]]	32.0	0.3828671328671329	4217.233974881749	3406.5097165347397	0.5813386980666393
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Biotin [[M+H]]	36.0	0.16491841491841494	958.765922171741	355.0086805026038	0.34226786613721294
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Choline [[M+H]]	45.0	0.006993006993006993	2754.9336160495845	1136.7449668618726	0.039028539028539026
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	35.0	0.20862470862470864	12416.078101670992	8633.389414121533	0.39705992931799383
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]	26.0	0.9015151515151516	1882.3740458015268	2338.9909909207404	0.952239789196311
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	26.0	0.9015151515151516	1882.3740458015268	2343.037688136866	0.952239789196311
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	14.0	0.20862470862470864	278.469000800908	781.4870156370957	0.39705992931799383
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Galactose [[M+Na]]	10.0	0.07284382284382285	378.4290858274178	1256.154648691498	0.18378893833439286
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Glucose [[M+Na]]	5.0	0.011072261072261072	378.4290858274178	1706.9104234266606	0.048135198135198135
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Deoxyadenosine [[M+H]]	32.0	0.3828671328671329	60.82599334900379	21.164113785557987	0.5813386980666393
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Galactose [[M+Na]]	10.0	0.07284382284382285	378.4290858274178	1256.154648691498	0.18378893833439286
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine [[M+H]]	4.0	0.006993006993006993	2972.87042493256	6113.750154122932	0.039028539028539026
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	49.0	0.0005827505827505828	6875.6847998092135	2009.325225336286	0.012033799533799534
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutathione [[M+H]]	10.0	0.07284382284382285	56388.95465648855	75752.53610503282	0.18378893833439286
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Histidine [[M+H]]	46.0	0.007226222226631654	1500.4840454923178	332.2976874738177	0.039792397061318305
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Homocitrate [[M+Na]]	14.0	0.20862470862470864	33.59318227836241	56.710648333124745	0.39705992931799383
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	24.0	1.0	55.25438612302456	61.25963771481654	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Indole-3-Ethanol [[M+H]]	21.0	0.7103729603729605	294.7606426357854	321.53984867070847	0.8311162397564665
