Molecule List Name	Molecule Name	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Collisional Cross Section	Ion Mobility MS1	Area	Height
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00001-Positive-MAT1.d.DeMP	175.086589	1	2868529.25	137.4	21.44	21	24
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00002-Positive-MAT1.d.DeMP	175.086589	1	2442850.5	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00003-Positive-MAT1.d.DeMP	175.086589	1	2348701.25	137.4	21.44	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00004-Positive-MAT1.d.DeMP	175.086589	1	2257282.5	137.4	21.44	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00005-Positive-MAT1.d.DeMP	175.086589	1	2206107.75	137.4	21.44	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00006-Positive-MAT2.d.DeMP	175.086589	1	2459038	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00007-Positive-MAT2.d.DeMP	175.086589	1	2343860.5	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00008-Positive-C10.d.DeMP	175.086589	1	3720910.5	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00009-Positive-B6.d.DeMP	175.086589	1	3459391.5	137.4	21.44	16	18
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00010-Positive-G11.d.DeMP	175.086589	1	3714544.5	137.4	21.44	28	31
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00011-Positive-B3.d.DeMP	175.086589	1	3799173.75	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00012-Positive-H5.d.DeMP	175.086589	1	3717937.25	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00013-Positive-G3.d.DeMP	175.086589	1	4008762.75	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00014-Positive-MAT2.d.DeMP	175.086589	1	3017577.25	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00015-Positive-MAT1.d.DeMP	175.086589	1	2587773.5	137.4	21.44	30	18
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00016-Positive-MAT1.d.DeMP	175.086589	1	2421249	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00017-Positive-MAT1.d.DeMP	175.086589	1	2371297	137.4	21.44	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00018-Positive-MAT1.d.DeMP	175.086589	1	2302938	137.4	21.44	#N/A	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00019-Positive-MAT2.d.DeMP	175.086589	1	2548252.5	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00020-Positive-MAT2.d.DeMP	175.086589	1	2519063.75	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00021-Positive-B12.d.DeMP	175.086589	1	3809951	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00022-Positive-A9.d.DeMP	175.086589	1	3862972.5	137.4	21.44	110	90
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00023-Positive-C12.d.DeMP	175.086589	1	3852273.25	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00024-Positive-D8.d.DeMP	175.086589	1	3737541.25	137.4	21.44	0	0
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	[M+H]	Inj00025-Positive-E3.d.DeMP	175.086589	1	3956405	137.4	21.44	0	0
