	mu	AUC	FinalOD	Summary
A1	0.1657508111716352	27901.913467172166	1.2939698004124631	Caffeine treatment without arginine supplementation.
A3	0.23951505371809537	69402.77846181764	2.3080515612092034	Low arginine supplementation without caffeine treatment.
A5	0.23084578103984124	49292.94334009548	1.9691237366214283	Negative control with alanine supplementation without caffeine.
A6	0.16644530503326752	7250.321888403927	0.30299987617707425	High arginine supplementation with caffeine treatment.
A7	0.22718586797976684	54258.27155824804	2.035059308391376	Negative control with alanine supplementation without caffeine.
A10	0.0	1039.0192839484494	0.0	Media control
A11	0.16714822163728185	16578.834189482917	0.786567917285949	Negative control with alanine supplementation with caffeine.
B1	0.2514892380943433	53674.81701521379	2.0252106366986364	High arginine supplementation without caffeine treatment.
B2	0.18858005738290984	6224.725790521458	0.26545305498490646	High arginine supplementation with caffeine treatment.
B3	0.17193985101463213	28999.44647209177	1.3254655646475064	Caffeine treatment without arginine supplementation.
B5	0.0	620.2880758835136	0.0	Media control
B6	0.17642682918415953	13637.373480161767	0.6765445066631799	Negative control with alanine supplementation with caffeine.
B7	0.0	694.0621271466086	0.0	Media control
B8	0.32289723890086924	42725.09880039837	1.7728810919984723	High arginine supplementation without caffeine treatment.
B9	0.2252529590975309	63384.02543679817	2.1131178400694774	Low arginine supplementation without caffeine treatment.
B11	0.18067330925810998	28212.869269677158	1.2838709080176334	Caffeine treatment without arginine supplementation.
C1	0.03991583616744188	73055.13599760502	2.282926931151795	Low arginine supplementation without caffeine treatment.
C2	0.21148719011652273	69263.89248789735	2.2609672905384675	Negative control with alanine supplementation without caffeine.
C3	0.2272448497966267	78049.98628713028	2.3790079453046733	Baseline condition with no supplementation or treatment.
C4	0.0	1049.5687752155875	0.0	Media control
C5	0.16934223821581249	31440.428810250432	1.4548411971581037	Caffeine treatment without arginine supplementation.
C6	0.1812110563050957	28158.317281082516	1.3521319978116901	Low arginine supplementation with caffeine treatment.
C7	0.23888660257571717	60882.87144825817	2.2315510958692863	High arginine supplementation without caffeine treatment.
C8	0.0	720.0000000000001	0.0	Media control
C9	0.1800396082905825	32342.182704469204	1.4793621483331023	Low arginine supplementation with caffeine treatment.
C10	0.062142925799938215	65738.89640059104	2.363532704746661	High arginine supplementation without caffeine treatment.
C11	0.14576666440848002	10026.594766945118	0.39517554339803906	High arginine supplementation with caffeine treatment.
C12	0.16680771058673818	28656.359794603737	1.3055484643418598	Negative control with alanine supplementation with caffeine.
D2	0.18421911265841043	29418.424709237708	1.3918356859577847	Low arginine supplementation with caffeine treatment.
D3	0.0	385.5899532222737	0.0	Media control
D4	0.22631028485011043	70003.22645394744	2.2548931893030737	Baseline condition with no supplementation or treatment.
D5	0.23031222214373484	63506.63018367511	2.1772752406413236	Baseline condition with no supplementation or treatment.
D6	0.23202195036397938	52324.6985021	1.9871165365826906	Negative control with alanine supplementation without caffeine.
D7	0.22991742967962336	52608.5835358026	2.0081881048949377	Low arginine supplementation without caffeine treatment.
D8	0.14997612472165722	10269.102630753841	0.43202781658976974	High arginine supplementation with caffeine treatment.
D9	0.24210297536969688	54497.836803854945	2.1303790191537155	High arginine supplementation without caffeine treatment.
D10	0.17851516675013188	33080.12374691473	1.518696146363987	Caffeine treatment without arginine supplementation.
D12	0.1574169785110867	8636.361879506147	0.33083985140673056	High arginine supplementation with caffeine treatment.
E1	0.17025336928018528	10630.015614986525	0.4321432538722617	High arginine supplementation with caffeine treatment.
E2	0.0	719.9999999999997	0.0	Media control
E3	0.24837125364265678	57565.4027782009	2.1838219060721658	High arginine supplementation without caffeine treatment.
E4	0.17783082452604598	33621.31675875909	1.5260417932538186	Caffeine treatment without arginine supplementation.
E5	0.16708437461542372	18370.95557615734	0.8788351981503444	Negative control with alanine supplementation with caffeine.
E6	0.23064230571950592	51649.96621971204	1.9876315240847553	Baseline condition with no supplementation or treatment.
E7	0.18303102030622576	30086.195843967347	1.444551030809869	Low arginine supplementation with caffeine treatment.
E9	0.1532579737084501	9098.137885196495	0.38898953562123917	High arginine supplementation with caffeine treatment.
E10	0.2244924314116393	61430.4217216104	2.2506283009855284	Negative control with alanine supplementation without caffeine.
F1	0.18133985908087163	24067.229080471792	1.1799790585063383	Low arginine supplementation with caffeine treatment.
F2	0.25315903440356635	53922.842571846624	2.1184505958013697	High arginine supplementation without caffeine treatment.
F3	0.1754836845235341	12337.434031216224	0.6138256162873688	Negative control with alanine supplementation with caffeine.
F4	0.0	719.9999999999987	0.0	Media control
F5	0.2256513730176118	58103.613458224274	2.1306352269393125	Low arginine supplementation without caffeine treatment.
F6	0.18048430328135523	27209.077464082795	1.2973018971427792	Caffeine treatment without arginine supplementation.
F7	0.23357334395375082	57492.95364503031	2.1314201996352287	Baseline condition with no supplementation or treatment.
F8	0.18450568741833906	29316.3264396942	1.400381497904489	Low arginine supplementation with caffeine treatment.
F9	0.0	594.8598729100277	0.0	Media control
F12	0.2167772729701073	52876.67153650457	2.0475134857419155	Negative control with alanine supplementation without caffeine.
G2	0.06506027634312764	68030.74831637433	2.4049960142172986	Baseline condition with no supplementation or treatment.
G3	0.1781251802691579	29437.285532583883	1.3934444325715436	Low arginine supplementation with caffeine treatment.
G4	0.16342566496559047	23741.140508101384	1.1072143779584658	Negative control with alanine supplementation with caffeine.
G5	0.06909696065851255	65508.449614919606	2.409424809989778	High arginine supplementation without caffeine treatment.
G6	0.2283059983121513	56262.659428536375	2.1237374985489854	Low arginine supplementation without caffeine treatment.
G7	0.14793112979065956	12940.607197984205	0.5430196068224632	High arginine supplementation with caffeine treatment.
G8	0.16463920178081112	16181.8867787583	0.7617220283180108	Negative control with alanine supplementation with caffeine.
G9	0.17173008229371292	25476.89954398471	1.2024925781066163	Negative control with alanine supplementation with caffeine.
G10	0.0	696.7919999999993	0.0	Media control
G12	0.1689963210704986	26787.709638008866	1.2463393757246148	Caffeine treatment without arginine supplementation.
H1	0.2228214186197424	69963.76802448285	2.3418873574400014	Baseline condition with no supplementation or treatment.
H2	0.23136622044061556	68260.08736684066	2.2732880018584534	Low arginine supplementation without caffeine treatment.
H4	0.23156301269063997	64104.071384615905	2.2476066607656695	Low arginine supplementation without caffeine treatment.
H6	0.0	337.0270740098099	0.0	Media control
H7	0.16092304337250934	17533.020402945545	0.8143421772318732	Negative control with alanine supplementation with caffeine.
H8	0.27806400947119875	69894.39456179176	2.0074390704193807	Negative control with alanine supplementation without caffeine.
H9	0.17783197792455854	34677.788379889316	1.5320155422063066	Caffeine treatment without arginine supplementation.
H10	0.20363291404535597	66366.37022067777	2.2115801054740496	Low arginine supplementation without caffeine treatment.
H11	0.0	436.4996542300863	0.0	Media control
