Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],921.4260966960492,632.0955946956518
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-183.92815078057424,226.52458293810747
2'-Deoxyuridine [[M+Na]],717.2606220877769,1087.943678607428
5'-Deoxy-5'-Methylthioadenosine [[M+H]],3.3186071164564113,105.47330534731701
ATP [[M+H]],977.9472303056704,394.8895433957174
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],111.43552040602917,227.66671379572315
Ademetionine [[M+H]],12.109528506321615,68.2915605255448
Adenine [[M+H]],-233.30299103272387,246.15992970788608
Adenosine 5'-diphosphate (ADP) [[M+Na]],-1284.2147123979328,781.6661579761118
Adenosine phosphate [[M+H]],-709.5267103726296,667.806972949239
Adenosine-3'-5'-Diphosphate [[M+Na]],-330.4725624119743,348.3389628991038
Aminoadipate [[M+Na]],-107.84921815575623,238.53674604178752
Argininosuccinic acid [[M+H]],108.19920993485763,181.21920715607212
Biotin [[M+H]],-58.17387809369558,75.31374125536185
Choline [[M+H]],170.41253829261922,246.9868557954087
Cytidine [[M+H]],-562.5181024934853,698.9667275599453
D-(+)-Melibiose [[M+Na]],82.75868128656937,114.51120010868122
D-(+)-Turanose [[M+Na]],-139.73003244584046,119.40590154557238
Flavin adenine dinucleotide [[M+H]],627.9105201173597,359.12126040774706
Glucosamine [[M+H]],-372.4042565120527,863.5539675341463
Glutamic Acid [[M+H]],-253.91573002617815,335.89278556049516
Glutathione [[M+H]],-329.50658121623417,407.07071573172715
Guanosine-5'-Diphosphate [[M+H]],628.013687491439,362.1422172032004
Histidine [[M+H]],85.0956077846403,188.13193496533637
Imidazoleacetic acid [[M+H]],124.92699090508941,144.93996758694087
Indole-3-Ethanol [[M+H]],8.49526741405786,106.4708981888139
Isomaltose [[M+Na]],-49.12987471660022,40.116670259737624
L-Arginine [[M+H]],-2564.4014185910823,1487.6469542469902
L-Citrulline [[M+H]],-53.84582019351833,129.70285110882946
L-Glutamine [[M+H]],306.9833544023894,283.67995103672393
L-Lysine [[M+H]],1921.8179609401118,715.6945819974408
L-Threonine [[M+NH4]],200.06204012149175,349.25427152422975
L-Valine [[M+H]],184.7719790388055,291.7003390500917
Linoleic acid [[M+Na]],-157.12083850648943,208.31099635106452
Maltose [[M+Na]],-60.34977884892096,84.94101801319917
Methionine [[M+H]],-24.47768102697399,123.97121292385575
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-156.21447790316233,129.9680027718274
N-Acetylputrescine [[M+Na]],-173.0675101051304,157.02834610109375
N2-Acetyl-L-ornithine [[M+H]],-1707.5729536446393,1127.7897968431623
Nicotinamide [[M+H]],-911.186579119409,209.87941511592015
O-acetyl-L-serine [[M+H]],-46.61206071115283,85.24700844237627
Oleic acid [[M+Na]],654.552874004992,341.2975146774234
P-Hydroxybenzoic Acid [[M-H2O+H]],-266.9178053623775,273.1788874089487
Palatinose [[M+Na]],-60.289885825206795,84.88867048063923
Pidolic Acid [[M+H]],1348.3796446058655,873.745991600702
Sucrose [[M+Na]],-66.18888374069937,94.24805428520234
Thymine [[M+H]],43.152197219491526,125.57808431042899
Trehalose [[M+Na]],-62.477755331057,87.75876324734254
d-Desthiobiotin [[M+Na]],-13.393988769636241,118.57588127482073
gamma-Glutamylcysteine [[M+H]],-1444.1724532648732,1026.8899082680891
