Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.0,0.0
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-127.3874407263227,254.7748814526454
2'-Deoxyuridine [[M+Na]],0.0,0.0
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.0,0.0
ATP [[M+H]],286.6485777862216,393.33264015641055
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],17.06191895911501,34.12383791823002
Ademetionine [[M+H]],0.0,0.0
Adenine [[M+H]],207.42300656955885,407.0308243748509
Adenosine 5'-diphosphate (ADP) [[M+H]],0.0,0.0
Adenosine phosphate [[M+H]],-1049.8328208332637,885.0466115125985
Adenosine-3'-5'-Diphosphate [[M+H]],155.38405617142365,233.71269959070972
Aminoadipate [[M+Na]],91.82564727544995,183.6512945508999
Argininosuccinic acid [[M+H]],0.0,0.0
Biotin [[M+H]],0.0,0.0
Choline [[M+H]],633.5467187455782,815.252391051996
Cytidine [[M+H]],0.0,0.0
D-(+)-Melibiose [[M+Na]],0.0,0.0
D-(+)-Turanose [[M+Na]],-281.1683549782707,562.3367099565414
Flavin adenine dinucleotide [[M+H]],414.9461403091521,445.26179498693625
Glucosamine [[M+H]],0.0,0.0
Glutamic Acid [[M+H]],-1854.2013079714852,1256.8343195830405
Glutathione [[M+H]],-508.07551243976985,907.6637313468156
Guanosine-5'-Diphosphate [[M+H]],269.51184010709994,539.0236802141998
Histidine [[M+H]],0.0,0.0
Imidazoleacetic acid [[M+H]],0.0,0.0
Isomaltose [[M+Na]],-32.92901835658431,65.85803671316862
L-Arginine [[M+H]],-745.0637302966272,1490.1274605932545
L-Citrulline [[M+H]],0.0,0.0
L-Glutamine [[M+H]],0.0,0.0
L-Valine [[M+H]],160.1721014198817,320.3442028397634
Linoleic acid [[M+Na]],-330.0998917822195,409.5569021691881
Maltose [[M+Na]],0.0,0.0
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-687.0600553045799,845.8722454675295
N2-Acetyl-L-ornithine [[M+H]],-3379.994360159956,1708.118931341311
Nicotinamide [[M+H]],-722.1864872979182,780.0846677216
O-acetyl-L-serine [[M+H]],10.418235889982167,20.836471779964334
Palatinose [[M+Na]],-78.81855730384072,157.63711460768144
Pidolic Acid [[M+H]],540.0708136550518,665.1384861830086
Sucrose [[M+Na]],0.0,0.0
Thymine [[M+H]],0.0,0.0
Trehalose [[M+Na]],0.0,0.0
d-Desthiobiotin [[M+H]],178.0299149545114,247.19935679674626
gamma-Glutamylcysteine [[M+H]],-229.12431545405298,277.6767865170054
