,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.0,0.0
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-127.3874407263227,284.84697694378275
2'-Deoxyuridine [[M+Na]],0.0,0.0
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.0,0.0
ATP [[M+H]],286.6485777862216,439.75926057959873
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],17.06191895911501,38.151610619173624
Ademetionine [[M+H]],0.0,0.0
Adenine [[M+H]],207.42300656955885,455.07429611997253
Adenosine 5'-diphosphate (ADP) [[M+H]],0.0,0.0
Adenosine phosphate [[M+H]],-1049.8328208332637,989.512193299009
Adenosine-3'-5'-Diphosphate [[M+H]],155.38405617142365,261.2987417449071
Aminoadipate [[M+Na]],91.82564727544995,205.32838938582447
Argininosuccinic acid [[M+H]],0.0,0.0
Biotin [[M+H]],0.0,0.0
Choline [[M+H]],633.5467187455782,911.4798826057522
Cytidine [[M+H]],0.0,0.0
D-(+)-Melibiose [[M+Na]],0.0,0.0
D-(+)-Turanose [[M+Na]],-281.1683549782707,628.7115548532047
Flavin adenine dinucleotide [[M+H]],414.9461403091521,497.8178206871823
Glucosamine [[M+H]],0.0,0.0
Glutamic Acid [[M+H]],-1854.2013079714852,1405.1834875211869
Glutathione [[M+H]],-508.07551243976985,1014.7989020012932
Guanosine-5'-Diphosphate [[M+H]],269.51184010709994,602.6467952205296
Histidine [[M+H]],0.0,0.0
Imidazoleacetic acid [[M+H]],0.0,0.0
Isomaltose [[M+Na]],-32.92901835658431,73.63152347766092
L-Arginine [[M+H]],-745.0637302966272,1666.013148512828
L-Citrulline [[M+H]],0.0,0.0
L-Glutamine [[M+H]],0.0,0.0
L-Valine [[M+H]],160.1721014198817,358.1557068738461
Linoleic acid [[M+Na]],-330.0998917822195,457.8985369522679
Maltose [[M+Na]],0.0,0.0
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-687.0600553045799,945.7139205728922
N2-Acetyl-L-ornithine [[M+H]],-3379.994360159956,1909.7350220667338
Nicotinamide [[M+H]],-722.1864872979182,872.1611726154168
O-acetyl-L-serine [[M+H]],10.418235889982167,23.295883655628145
Palatinose [[M+Na]],-78.81855730384072,176.2436520198504
Pidolic Acid [[M+H]],540.0708136550518,743.647434778256
Sucrose [[M+Na]],0.0,0.0
Thymine [[M+H]],0.0,0.0
Trehalose [[M+Na]],0.0,0.0
d-Desthiobiotin [[M+H]],178.0299149545114,276.37728289587466
gamma-Glutamylcysteine [[M+H]],-229.12431545405298,310.45208521286054
