,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],703.299978263591,357.82639090125366
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-407.11978305977584,330.4889822516866
2'-Deoxyuridine [[M+Na]],219.03770693752492,322.0209776668924
5'-Deoxy-5'-Methylthioadenosine [[M+H]],123.27031844940628,500.7491386030665
ATP [[M+H]],565.2846829753297,350.7270221509802
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],116.11620085371345,329.5717629019625
Ademetionine [[M+H]],292.27703531894,208.173504918894
Adenine [[M+H]],51.3621914328453,324.9083722336953
Adenosine phosphate [[M+H]],-576.7499257708461,378.1098131752312
Adenosine-3'-5'-Diphosphate [[M+H]],728.3492975827013,354.22824037304787
Aminoadipate [[M+Na]],11.307260636829145,172.46573525863948
Argininosuccinic acid [[M+H]],372.7139875104944,406.08656482018466
Biotin [[M+H]],-221.39048409653614,298.398341177397
Choline [[M+H]],146.09177092001036,151.43370405171368
Coenzyme A [[M+H]],630.5766368832117,406.2642165655783
Cytidine [[M+H]],163.8464032865854,210.8602675726824
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]],-388.1738855967707,113.07904598818543
D-(+)-Turanose [[M+Na]],-363.29713680229855,105.70429907201216
Flavin adenine dinucleotide [[M+H]],809.0806503719494,307.4861173174502
Glucosamine 6-Phosphate [[M+H]],123.17325810676874,225.8984919376223
Glucosamine [[M+H]],-362.1287735629661,367.0775800169875
Glutamic Acid [[M-H2O+H]],90.6536113623139,198.5937962774675
Glutathione [[M+H]],-293.0481273939116,133.2336050141417
Guanosine-5'-Diphosphate [[M+H]],575.0973527078236,315.4902631654752
Histidine [[M+H]],182.33781504456064,212.4986825933263
Imidazoleacetic acid [[M+H]],153.9604981519639,132.03789700608527
L-Arginine [[M+H]],-532.6201523973662,167.18408640312876
L-Citrulline [[M+H]],292.01718108061675,422.66215999504897
L-Glutamine [[M+H]],319.08465700296836,277.610233071579
L-Histidinol [[M+H]],-12.42975679141501,301.5851246949617
L-Lysine [[M+H]],488.6392971765316,459.15988263216525
L-Tryptophan [[M+NH4]],-393.88018813765785,220.20291462344636
L-Valine [[M+H]],549.5771383479805,391.92912424221674
Linoleic acid [[M+Na]],136.62300745497933,288.31855544653916
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-98.2101863278728,295.50177209596063
N2-Acetyl-L-ornithine [[M+H]],-655.0931989127354,219.01930772366148
Nicotinamide [[M+H]],-147.43124091056552,353.6154716156922
O-acetyl-L-serine [[M+H]],-212.9262670582769,190.27401859800213
Pidolic Acid [[M+H]],137.8041011147209,338.08017940671647
Sucrose [[M+Na]],-422.3792463954227,118.12158785109972
Thymine [[M+H]],190.7211418288363,145.4073394874451
Trehalose [[M+Na]],-392.74240581199706,107.37703778141483
d-Desthiobiotin [[M+H]],-249.0893752942732,307.6693888849784
gamma-Glutamylcysteine [[M+H]],-562.5906423948765,276.9178754521926
