,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.003562384463215751,0.006170230886383663
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.0,0.0
2'-Deoxyuridine [[M+Na]],0.01759443311264387,0.030474452081471405
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.0,0.0
ATP [[M+H]],-0.2627771556932688,0.2371727463375893
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.24286594793640426,0.1385779841916261
Ademetionine [[M+H]],0.21504146514373199,0.19513103375043933
Adenine [[M+H]],-0.09787089103126434,0.169517355848187
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.003598287594844424,0.0062324169345153585
Adenosine phosphate [[M+H]],0.00888189388962911,0.015383891484273179
Adenosine-3'-5'-Diphosphate [[M+H]],-0.011091132019403616,0.01921040417106107
Aminoadipate [[M+Na]],0.0,0.0
Argininosuccinic acid [[M+H]],0.524477640393873,0.6684643909035589
Biotin [[M+H]],0.06052742901260977,0.10483658230135864
Choline [[M+H]],-0.08464467251301798,0.14660887338257592
Cytidine [[M+H]],0.032760098678694824,0.05674215537246948
D-(+)-Melibiose [[M+Na]],0.0867996542726386,0.15034141127962306
D-(+)-Turanose [[M+Na]],0.10075488171319735,0.1745125742378502
Flavin adenine dinucleotide [[M+H]],0.0,0.0
Glucosamine [[M+H]],0.0,0.0
Glutamic Acid [[M+H]],0.0,0.0
Glutathione [[M+H]],0.011650360277376372,0.020179015926898115
Guanosine-5'-Diphosphate [[M+H]],0.17605092239695316,0.16170150164285174
Histidine [[M+H]],-0.01202398732675866,0.025583344096844506
Imidazoleacetic acid [[M+H]],0.0,0.0
Isomaltose [[M+Na]],0.10070841269578222,0.17443208753870937
L-Arginine [[M+H]],-0.1302312572616684,0.22556715431078297
L-Citrulline [[M+H]],1.029461629154676,1.5434795652078468
L-Glutamine [[M+H]],-0.08936684166043518,0.15478791026783673
L-Valine [[M+H]],0.12705748905673134,0.2313263364646839
Linoleic acid [[M+Na]],0.0,0.0
Maltose [[M+Na]],0.0867996542726386,0.15034141127962306
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.06749476820486561,0.11690436777591166
N2-Acetyl-L-ornithine [[M+H]],-0.07497403780238306,0.1298588427223171
Nicotinamide [[M+H]],0.20085903189378143,0.3108361542316008
O-acetyl-L-serine [[M+H]],0.0,0.0
Palatinose [[M+Na]],0.0872886011181005,0.15118829205816356
Pidolic Acid [[M+H]],-0.35660940277178826,0.25520792679157206
Sucrose [[M+Na]],0.09003451232471987,0.15594434978110108
Thymine [[M+H]],0.0,0.0
Trehalose [[M+Na]],0.08836704114355996,0.15305620497517522
d-Desthiobiotin [[M+H]],0.0042033746837971215,0.007280458515585377
gamma-Glutamylcysteine [[M+H]],0.0,0.0
