,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.10015149662302626,0.040069739198825095
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.027244259519061786,0.030564489566201197
2'-Deoxyuridine [[M+Na]],0.047662399659008516,0.15019412628362216
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.007298410103762203,0.012158957569498361
ATP [[M+H]],-0.06145595668868855,0.027440281018168176
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.045661856180795955,0.06890499668207282
Ademetionine [[M+H]],-0.009741890367039688,0.01687344907747856
Adenine [[M+H]],0.10729667616541944,0.1365453544903004
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.10907736121513172,0.0505988466423234
Adenosine phosphate [[M+H]],0.08804616108932654,0.04185551561912995
Adenosine-3'-5'-Diphosphate [[M+H]],-0.11423984027450884,0.049043131497924115
Aminoadipate [[M+Na]],-0.1231862543043963,0.029660268713220667
Argininosuccinic acid [[M+H]],0.0,0.0
Biotin [[M+H]],-0.09380836164146307,0.0216134129985507
Choline [[M+H]],0.0033061205901111323,0.00572636883802208
Cytidine [[M+H]],-0.1696156061269635,0.00599709188447456
D-(+)-Melibiose [[M+Na]],0.0,0.0
D-(+)-Turanose [[M+Na]],0.0,0.0
Flavin adenine dinucleotide [[M+H]],0.0030787155533889745,0.005332491760522236
Glucosamine [[M+H]],-0.03758080402444319,0.06509186195962455
Glutamic Acid [[M+H]],0.10420646539924337,0.054939043687648896
Glutathione [[M+H]],0.22929402331850504,0.03740293611442485
Guanosine-5'-Diphosphate [[M+H]],0.0,0.0
Histidine [[M+H]],-0.06920691062460989,0.030088105755555532
Imidazoleacetic acid [[M+H]],0.0,0.0
Isomaltose [[M+Na]],0.0,0.0
L-Arginine [[M+H]],0.2996769028607822,0.04520958763050774
L-Citrulline [[M+H]],-0.1225448768697553,0.055112299326996295
L-Glutamine [[M+H]],-0.11100316540136039,0.046716318877110904
L-Valine [[M+H]],0.05212331659893704,0.04868848884255085
Linoleic acid [[M+Na]],0.04272602660627472,0.07400364888760745
Maltose [[M+Na]],0.0,0.0
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.003847618024014466,0.006664269905710823
N2-Acetyl-L-ornithine [[M+H]],0.27781477846253827,0.05914338071413307
Nicotinamide [[M+H]],0.02778995298175647,0.04103107984623034
O-acetyl-L-serine [[M+H]],0.04320547413473535,0.0748340763664646
Palatinose [[M+Na]],0.0,0.0
Pidolic Acid [[M+H]],0.0,0.0
Sucrose [[M+Na]],0.0,0.0
Thymine [[M+H]],-0.0008721777840458438,0.0015106562352002375
Trehalose [[M+Na]],0.0,0.0
d-Desthiobiotin [[M+H]],0.0,0.0
gamma-Glutamylcysteine [[M+H]],0.22612210561634657,0.044255582760478265
