Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.04944665277254097,0.030745480190586687
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.08567851374877532,0.024764029154051515
2'-Deoxyuridine [[M+Na]],-0.017936622046950106,0.021922515923553886
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.016592652164011717,0.013880736052526026
ATP [[M+H]],-0.028410413153687992,0.0348060150764205
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.10532544988043735,0.061262894490374815
Ademetionine [[M+H]],-0.2724647410014906,0.0757627620569103
Adenine [[M+H]],-0.15286044473077723,0.07890242073003458
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.05561147501287602,0.034539874832830296
Adenosine phosphate [[M+H]],-0.06889614143709062,0.021956572493568822
Adenosine-3'-5'-Diphosphate [[M+H]],-0.03694125533029933,0.02904140297195351
Aminoadipate [[M+Na]],-0.26330506761243083,0.05582996021664488
Argininosuccinic acid [[M+H]],-0.038090692306779805,0.039729052127813476
Biotin [[M+H]],0.11143278301480382,0.04135403275692972
Choline [[M+H]],-0.035280488044695794,0.03366379810012977
Cytidine [[M+H]],0.19776166857576838,0.07655462408193067
D-(+)-Melibiose [[M+K]],-0.010866845217728963,0.0075740773472800825
D-(+)-Turanose [[M+Na]],-0.23962365795458904,0.05804469517480928
Deoxyadenosine [[M+H]],0.05073793903084254,0.032605697005923924
Flavin adenine dinucleotide [[M+H]],0.011833586514061273,0.01919565483026998
Glucosamine [[M+H]],0.022889817030142538,0.045779634060285075
Glutamic Acid [[M+H]],0.13909334686576375,0.07552633780951316
Glutathione [[M+H]],-0.18148016320234175,0.08836133441622247
Guanosine-5'-Diphosphate [[M+H]],-0.050657707113875385,0.07265570389059609
Histidine [[M+H]],-0.05461049312539564,0.04992364292209889
Imidazoleacetic acid [[M+H]],0.0655700820544104,0.009467812732673952
Indole-3-Ethanol [[M+H]],0.016234127129890242,0.020132457281152906
Isomaltose [[M+Na]],-0.23969986439386273,0.05807397732526835
L-Arginine [[M+H]],0.0,0.0
L-Citrulline [[M+H]],0.1921057427253631,0.1140465753347678
L-Glutamine [[M+H]],0.2069659943331728,0.05393359705215991
L-Lysine [[M+H]],0.18637699221977944,0.12586126334117723
L-Threonine [[M+NH4]],0.13236229373357017,0.04026796477030386
L-Valine [[M+H]],0.18278122848537706,0.05695047027980324
Linoleic acid [[M+Na]],0.16512643846608682,0.10109663495337637
Maltose [[M+K]],-0.010866845217728963,0.0075740773472800825
Methionine [[M+H]],0.03447423092556635,0.04009980708104674
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.06800873578307307,0.04281536743468125
N-Acetylputrescine [[M+Na]],-0.007977569449230702,0.011210906041078753
N2-Acetyl-L-ornithine [[M+H]],-0.005353888899811561,0.010707777799623123
Nicotinamide [[M+H]],0.20946577280051062,0.06406784667192217
O-acetyl-L-serine [[M+H]],0.06814890783291169,0.08210023891356691
Oleic acid [[M+Na]],0.33173694512034435,0.1349573863251531
P-Hydroxybenzoic Acid [[M-H2O+H]],0.19697851105259304,0.051866409086649926
Palatinose [[M+K]],-0.010560758285279843,0.0073203725313025145
Phenylethyl alcohol [[M+H]],0.1380865092700067,0.06886071608982856
Pidolic Acid [[M+H]],0.5805770436365156,0.17530728509220006
Proline [[M+NH4]],0.24437600780955343,0.07552547949360573
Sucrose [[M+K]],-0.009740126573631512,0.00808129815248477
Tetracosanoic acid [[M+Na]],0.001594155880251178,0.003188311760502356
Thymine [[M+H]],0.05254453364697189,0.009185628237732233
Trehalose [[M+K]],-0.010866845217728963,0.0075740773472800825
d-Desthiobiotin [[M+Na]],0.12536652489813338,0.054245035174363056
gamma-Glutamylcysteine [[M+H]],-0.17841912776473334,0.07788279325680632
