,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.0007874681196195571,0.001363934792521799
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.16248339980915177,0.09642644341731675
2'-Deoxyuridine [[M+Na]],-0.09078242236153067,0.13043655110143154
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.056831309810181675,0.04922059707639659
ATP [[M+H]],-0.03292767448761872,0.03094036356092009
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.12308236750302114,0.06396012352525408
Ademetionine [[M+H]],-0.28296872584836685,0.14669801728993084
Adenine [[M+H]],0.0,0.0
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.0007874681196195571,0.001363934792521799
Adenosine phosphate [[M+H]],-0.1108709778709105,0.073931540893513
Adenosine-3'-5'-Diphosphate [[M+H]],-0.021671318690083385,0.037535825038241426
Aminoadipate [[M+Na]],-0.3024913974142061,0.19541930539983163
Argininosuccinic acid [[M+H]],0.0,0.0
Biotin [[M+H]],0.06642060268294818,0.048274099102328175
Choline [[M+H]],-0.18304085408521817,0.17506362383965618
Cytidine [[M+H]],0.14131112449877606,0.11541707815930241
D-(+)-Melibiose [[M+Na]],-0.12275674459767079,0.02214481949304588
D-(+)-Turanose [[M+Na]],-0.14207961160943164,0.01620865371934778
Flavin adenine dinucleotide [[M+H]],0.0,0.0
Glucosamine [[M+H]],0.04317300056411689,0.03780915788452126
Glutamic Acid [[M+H]],0.007689736817803997,0.01331901486526954
Glutathione [[M+H]],-0.09579446497006695,0.09695789499827698
Guanosine-5'-Diphosphate [[M+H]],-0.0686510944662104,0.0969654578689482
Histidine [[M+H]],-0.030566516320157,0.028127073630882567
Imidazoleacetic acid [[M+H]],0.12173821832458082,0.08376722926889442
Isomaltose [[M+Na]],-0.14217333797322382,0.01626860288384875
L-Arginine [[M+H]],0.0,0.0
L-Citrulline [[M+H]],0.03567480362957842,0.021222129458131875
L-Glutamine [[M+H]],0.13959489970619507,0.10408928298691346
L-Valine [[M+H]],0.16952535076920228,0.11486112274094795
Linoleic acid [[M+Na]],0.22694245567775254,0.19672843129311282
Maltose [[M+Na]],-0.11154514643241493,0.013811597603226458
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.0,0.0
N2-Acetyl-L-ornithine [[M+H]],-0.04465957577434752,0.047500374232348846
Nicotinamide [[M+H]],0.2594857979416196,0.12406130540501985
O-acetyl-L-serine [[M+H]],0.02104957556234897,0.025629921526164317
Palatinose [[M+Na]],-0.11080570509831578,0.013597036239221727
Pidolic Acid [[M+H]],0.4347966075259932,0.21480183320317017
Sucrose [[M+Na]],-0.11469694321562945,0.0089783733843434
Thymine [[M+H]],0.11326006855336146,0.0914690615698128
Trehalose [[M+Na]],-0.11039921165189163,0.013203470535270729
d-Desthiobiotin [[M+H]],0.19261339417552792,0.1545607531195086
gamma-Glutamylcysteine [[M+H]],-0.2502894195087897,0.16857481043893588
