Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],331.81758201447207,65.49431173002019
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-230.78516242336048,227.79588239954367
2'-Deoxyuridine [[M+Na]],-67.79924425459569,389.9872903227839
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-35.062174444728015,229.61403907799297
ATP [[M+H]],445.3888026719714,135.3811855859794
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],215.21903950335968,121.38476389865339
Ademetionine [[M+H]],244.84440728518166,37.167789320440704
Adenine [[M+H]],-203.38090630280286,248.0304713699494
Adenosine 5'-diphosphate (ADP) [[M+H]],307.1427490391496,63.7030102203771
Adenosine phosphate [[M+H]],-349.29660820060303,312.6815071301291
Adenosine-3'-5'-Diphosphate [[M+H]],335.09924912810374,45.89888685932817
Aminoadipate [[M+Na]],-69.16749518481576,475.35830596735406
Argininosuccinic acid [[M+H]],-12.041766030748656,133.09858724119036
Biotin [[M+H]],-92.58773158621342,394.8344292029038
Choline [[M+H]],-57.1145748818148,82.00396676496446
Cytidine [[M+H]],19.464794347747585,340.00011380131446
D-(+)-Melibiose [[M+K]],-579.047382438907,46.4070663632201
D-(+)-Turanose [[M+Na]],-146.43903374710382,208.60422426181503
Flavin adenine dinucleotide [[M+H]],164.78453601020897,55.87343257798636
Glucosamine [[M+H]],-295.62731544829495,469.05642860046004
Glutamic Acid [[M+H]],-658.9810385884713,375.0693081335493
Glutathione [[M+H]],-443.50322609509493,47.20187164556607
Guanosine-5'-Diphosphate [[M+H]],403.2360798707048,193.37902593933134
Histidine [[M+H]],73.18092922252949,261.30232529974
Imidazoleacetic acid [[M+H]],136.06861302844422,341.54519561949405
Indole-3-Ethanol [[M+H]],-101.42451106972955,98.42537663295197
Isomaltose [[M+Na]],-146.43903374710382,208.60422426181503
L-Arginine [[M+H]],-564.0764382687724,75.90195369763921
L-Citrulline [[M+H]],115.46531378392073,266.17718943778357
L-Glutamine [[M+H]],90.95967305981385,288.7513112155733
L-Lysine [[M+H]],627.8045997683429,321.726722387534
L-Threonine [[M+NH4]],-304.53136500767374,151.12132005567656
L-Valine [[M+H]],190.1396810549244,294.2234618152316
Linoleic acid [[M+Na]],-188.14253006199985,675.2319956046895
Maltose [[M+K]],-579.047382438907,46.4070663632201
Methionine [[M+H]],109.54951390946572,180.63500179083675
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-62.38583982898817,125.88218501955346
N-Acetylputrescine [[M+Na]],-179.59140816747694,193.50322514422177
N2-Acetyl-L-ornithine [[M+H]],-586.8265717031468,59.675456692314945
Nicotinamide [[M+H]],-477.1873102094155,514.8985620658535
O-acetyl-L-serine [[M+H]],-397.563712521838,124.9364276935757
Oleic acid [[M+Na]],54.307810615893054,143.26130190898635
P-Hydroxybenzoic Acid [[M-H2O+H]],78.10231552983826,159.84766287455426
Palatinose [[M+K]],-580.5995873205383,45.58867593514753
Phenylethyl alcohol [[M+H]],105.77706223616413,218.1283877953975
Pidolic Acid [[M+H]],72.62659890157349,173.50261715375055
Proline [[M+NH4]],295.4764828179556,65.68327534827215
Sucrose [[M+K]],-585.0683771065113,33.00698484432527
Tetracosanoic acid [[M+Na]],-54.93721030265965,237.4107103471381
Thymine [[M+H]],136.77669859142517,332.0766787943544
Trehalose [[M+K]],-579.047382438907,46.4070663632201
d-Desthiobiotin [[M+Na]],-146.24215088920621,116.33292299196043
gamma-Glutamylcysteine [[M+H]],-556.6312647271906,268.58557971586833
