,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.01886918020144171,0.004905187855165947
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.030000897578227496,0.010312258190072697
2'-Deoxyuridine [[M+Na]],-0.012288887013341252,0.01310058739551665
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.021211581447406015,0.008391442720499452
ATP [[M+H]],-0.038689805042697784,0.004433644037837861
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.0649365129585206,0.006097365333828089
Ademetionine [[M+H]],0.01108195264857665,0.010966469944184926
Adenine [[M+H]],0.029769398933740667,0.007063218465117191
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.018881258793628265,0.004900736281207499
Adenosine phosphate [[M+H]],0.012913247286129137,0.009599813522471879
Adenosine-3'-5'-Diphosphate [[M+H]],-0.013470329459104851,0.002906863678941686
Aminoadipate [[M+Na]],0.04390707412116494,0.006000459169909397
Argininosuccinic acid [[M+H]],0.09389790425934413,0.006650425787057164
Biotin [[M+H]],0.0533671989378159,0.01348953069270119
Choline [[M+H]],0.015827879959132388,0.013130255328752543
Cytidine [[M+H]],-0.0024216833410130637,0.014530038656813961
D-(+)-Melibiose [[M+Na]],0.010420345355722272,0.006315364410846059
D-(+)-Turanose [[M+Na]],0.014430167418040173,0.005627264932899595
Flavin adenine dinucleotide [[M+H]],0.08253877487982211,0.012254377472173639
Glucosamine [[M+H]],0.010169863713640296,0.012917606386368347
Glutamic Acid [[M+H]],0.10831610134037505,0.0082488142312853
Glutathione [[M+H]],0.04276698091864279,0.005213118230495351
Guanosine-5'-Diphosphate [[M+H]],0.05737453192828063,0.010936914058243801
Histidine [[M+H]],-0.016696102244985876,0.012274946939407871
Imidazoleacetic acid [[M+H]],0.020120719033328575,0.007547464598594952
Isomaltose [[M+Na]],0.014289278827704754,0.005620894461340196
L-Arginine [[M+H]],0.08849950160692915,0.005927940103468569
L-Citrulline [[M+H]],0.08482027146437154,0.01231395837083957
L-Glutamine [[M+H]],0.018660219511347012,0.014376754038654975
L-Valine [[M+H]],0.03220378609547121,0.01562881086798878
Linoleic acid [[M+Na]],0.018136770171009637,0.0069430628329863915
Maltose [[M+Na]],0.010420345355722272,0.006315364410846059
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.07895874892339998,0.012861637374290318
N2-Acetyl-L-ornithine [[M+H]],0.07902289895493296,0.005697190505508461
Nicotinamide [[M+H]],0.009069586819217067,0.006703237260209211
O-acetyl-L-serine [[M+H]],0.06264176228999842,0.010810545989448065
Palatinose [[M+Na]],0.01160515380439099,0.006205149448947834
Pidolic Acid [[M+H]],-0.1098590241292304,0.01247379610542619
Sucrose [[M+Na]],0.013088834139333452,0.006296732239181306
Thymine [[M+H]],-0.004646086548347592,0.011504047252169644
Trehalose [[M+Na]],0.013602264040217749,0.006192386898970035
d-Desthiobiotin [[M+H]],-0.0057320727105525885,0.011799024304443654
gamma-Glutamylcysteine [[M+H]],-0.051838636504601035,0.003237951612028602
