,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.044582807424590594,0.007890865427181665
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.04162064630346452,0.027720522071388396
2'-Deoxyuridine [[M+Na]],-0.03137208108141918,0.029034693181853945
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.022899733951701026,0.010054819105057473
ATP [[M+H]],-0.05232061745020643,0.012879541114148556
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.06859564499160532,0.020103572382098436
Ademetionine [[M+H]],-0.009308027017293429,0.009611690485225822
Adenine [[M+H]],0.09960989273225226,0.025381713256880576
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.04676351468617813,0.008839584543270112
Adenosine phosphate [[M+H]],0.08837553000215555,0.02005185471333162
Adenosine-3'-5'-Diphosphate [[M+H]],-0.04664273285834647,0.009092275882785451
Aminoadipate [[M+Na]],-0.06291469678017672,0.008826183109511478
Argininosuccinic acid [[M+H]],0.0015510343304925085,0.019813763857249457
Biotin [[M+H]],-0.048942662669093875,0.01285475711323361
Choline [[M+H]],0.0015256958730008286,0.026037529907972996
Cytidine [[M+H]],-0.08388978066933814,0.010024467653101452
D-(+)-Melibiose [[M+Na]],-0.04394667225956282,0.010840683500800353
D-(+)-Turanose [[M+Na]],-0.002975726159126488,0.00963182805326595
Flavin adenine dinucleotide [[M+H]],0.002717226654397497,0.022232935561336778
Glucosamine [[M+H]],-0.09302286653545913,0.015917381013799577
Glutamic Acid [[M+H]],0.07020564977062994,0.01323568741671493
Glutathione [[M+H]],0.1195923436319616,0.011903322459229832
Guanosine-5'-Diphosphate [[M+H]],0.035697105828838595,0.01556027427259177
Histidine [[M+H]],-0.03659389423068602,0.009243629023526314
Imidazoleacetic acid [[M+H]],0.006075648125086279,0.01586741289785219
Isomaltose [[M+Na]],-0.002975726159126488,0.00963182805326595
L-Arginine [[M+H]],0.1480961423540001,0.011636601129949471
L-Citrulline [[M+H]],-0.06473494224338072,0.016377202154338084
L-Glutamine [[M+H]],-0.10300450294654936,0.01716779242344529
L-Valine [[M+H]],0.07750271831683934,0.027654487393613158
Linoleic acid [[M+Na]],0.04753641452383727,0.028024578308902433
Maltose [[M+Na]],0.0010474518339074837,0.0101224560911685
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.016492681948794947,0.014609109298027365
N2-Acetyl-L-ornithine [[M+H]],0.15488709776748014,0.013080321019068678
Nicotinamide [[M+H]],0.060708792569108154,0.02803424557440427
O-acetyl-L-serine [[M+H]],0.02863822038644896,0.011250696234463797
Palatinose [[M+Na]],0.0010802727056986974,0.010130057023594896
Pidolic Acid [[M+H]],-0.0007367445200177203,0.013102472734528622
Sucrose [[M+Na]],0.001377734563465944,0.01041423730537734
Thymine [[M+H]],0.01928074773310586,0.01662223384891285
Trehalose [[M+Na]],0.0012290679128233353,0.010160705420903367
d-Desthiobiotin [[M+H]],-0.03047324715534532,0.01702705109084683
gamma-Glutamylcysteine [[M+H]],0.12648520438043898,0.014500781690850983
