2'-Deoxyguanosine-5'-Diphosphate [[M+H]],2'-Deoxyguanosine-5'-Monophosphate [[M+H]],2'-Deoxyuridine [[M+Na]],5'-Deoxy-5'-Methylthioadenosine [[M+H]],ATP [[M+H]],Acetyl coenzyme A (Acetyl-CoA) [[M+H]],Ademetionine [[M+H]],Adenine [[M+H]],Adenosine 5'-diphosphate (ADP) [[M+H]],Adenosine phosphate [[M+H]],Adenosine-3'-5'-Diphosphate [[M+H]],Aminoadipate [[M+Na]],Argininosuccinic acid [[M+H]],Biotin [[M+H]],Choline [[M+H]],Cytidine [[M+H]],D-(+)-Melibiose [[M+Na]],D-(+)-Turanose [[M+Na]],Flavin adenine dinucleotide [[M+H]],Glucosamine [[M+H]],Glutamic Acid [[M+H]],Glutathione [[M+H]],Guanosine-5'-Diphosphate [[M+H]],Histidine [[M+H]],Imidazoleacetic acid [[M+H]],Isomaltose [[M+Na]],L-Arginine [[M+H]],L-Citrulline [[M+H]],L-Glutamine [[M+H]],L-Valine [[M+H]],Linoleic acid [[M+Na]],Maltose [[M+Na]],N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],N2-Acetyl-L-ornithine [[M+H]],Nicotinamide [[M+H]],O-acetyl-L-serine [[M+H]],Palatinose [[M+Na]],Pidolic Acid [[M+H]],Sucrose [[M+Na]],Thymine [[M+H]],Trehalose [[M+Na]],d-Desthiobiotin [[M+H]],gamma-Glutamylcysteine [[M+H]],Experimental group,Well,Unnamed: 0,Summary_x,Treatment,Supplement,mu,AUC,MaxOD,Summary_y
3452.7352010578024,3738.229674314354,389.2047104803598,17.479253464686817,199.2634894974297,516.2206189904173,417.17151602385866,3170.7365784941885,3452.7352010578024,14499.62339073987,2977.299506818321,409.0145310736715,16876.801861937278,395.031128301922,427.65906810267074,10481.725660990527,796.0465468885888,850.7262629244792,607.1127370067887,755.1037496744705,174.79253464686815,6969.56099815279,343.4012094923452,897.2683445205898,67.58644673012235,862.1913178911411,23743.81790643057,2401.6494260479685,562.8319615629155,1588.2814981578754,282.4238851926036,821.6314776958144,734.1286455168463,114.19778930262052,2426.12038089853,174.79253464686815,838.1726819689161,7703.689643669636,786.1319430985191,67.58644673012235,814.8506903207725,1866.784270028552,54.76832752268536,Caffeine treatment without arginine supplementation.,G12,94,Caffeine treatment without arginine supplementation.,Yes,None,0.1724515412012873,26318.184000000005,1.2354999999999998,Caffeine treatment without arginine supplementation.
8047.410944228547,7246.733557399432,1123.2341770822393,81.74577216480571,1028.6259846654764,2483.306312362147,1948.0398277491856,4173.554689633442,8047.410944228547,30700.675916395336,6166.676273500682,3172.231740363407,4234.510303539544,299.0634807268144,1143.55271505094,5402.191282428316,1015.2919441235164,1024.816258796345,126.3559079928579,881.9515387039177,121.71742340314375,18767.97953996429,230.4884150824493,786.0734376641109,161.27839512656234,1024.816258796345,27136.67736582292,1206.413191891608,76.19451738262788,1195.6189685957356,196.83583657178863,1015.2919441235164,842.5843713895599,427.324251654238,1968.9933200294088,77.07346568775097,1015.2919441235164,3910.683604663376,954.336330217414,154.92885201134334,1015.2919441235164,193.6610650141792,1087.041781325491,Low arginine supplementation without caffeine treatment.,G6,46,Low arginine supplementation without caffeine treatment.,None,PosLow,0.240085626078003,56112.964,2.1142066666666666,Low arginine supplementation without caffeine treatment.
4681.899497487437,8018.1608040201,713.4505862646566,80.62311557788945,1201.0284757118927,1157.5175879396984,4123.93634840871,3182.693467336683,4681.899497487437,31897.319932998325,3690.747068676717,1780.747068676717,5985.306532663316,154.84757118927973,960.4388609715244,4846.345058626465,1386.5896147403685,1481.929648241206,133.09212730318256,1185.0318257956449,85.74204355108877,21404.797319933,1077.5343383584589,382.0,62.06700167504187,1481.929648241206,16415.12227805695,2838.4455611390285,314.8140703517588,1760.9112227805697,193.2395309882747,1386.5896147403685,638.5862646566164,283.4606365159129,2728.388609715242,85.74204355108877,1386.5896147403685,2473.721943048576,1386.5896147403685,68.46566164154103,1386.5896147403685,1340.5192629815745,894.5326633165829,Negative control with alanine supplementation without caffeine.,C2,10,Negative control with alanine supplementation without caffeine.,None,NegHigh,0.2228709477981754,69329.208,2.2270066666666666,Negative control with alanine supplementation without caffeine.
7363.132690226926,14389.539929661936,285.6432616624915,407.5691415954266,1221.802564483358,1536.63564850552,2780.3305797586318,7995.926339238358,7363.132690226926,53637.34107955056,6557.285094368875,4194.994470546956,11294.376265881145,550.4366502109326,2042.245071521244,4825.703132246983,2680.251188811189,2680.251188811189,699.5132429763935,440.9748163621676,307.2904531855673,38931.92557221076,207.45623748480224,395.1050955112565,54.20967009653124,2680.251188811189,238957.2682791654,2831.412768888055,126.1417323400054,2567.6618739953165,118.84427675008772,2680.251188811189,534.7992453753948,5647.188132940571,2149.621918058604,395.78242125137456,2680.251188811189,3741.509730316358,2680.251188811189,60.46463203074639,2680.251188811189,1285.3946774812118,22.93486042545553,High arginine supplementation without caffeine treatment.,E3,20,High arginine supplementation without caffeine treatment.,None,PosHigh,0.2633952404571085,57425.068,2.118733333333333,High arginine supplementation without caffeine treatment.
4338.265290209412,9039.554560193026,426.3600783731032,133.18856060180656,1501.528971661798,2248.1740364456136,1828.5080172740209,4978.3203353999525,4338.265290209412,30704.10477443405,3673.493718736374,2006.1580499294805,3474.7316532146133,523.1664729795565,993.2953999779178,3723.4416989322567,872.8023343507365,1371.7672086786797,254.88917728826817,398.553986305292,141.6050984934823,16975.61920739866,562.8159005577315,792.988551563501,186.91873001139663,1371.7672086786797,31203.58457639288,834.1827620343322,82.90334857254783,1035.0045380796344,13.903046033905536,872.8023343507365,1395.968807330293,479.9125519851837,1626.6563859669477,146.75437480233623,872.8023343507365,2576.6978649504927,841.3917488667277,193.61278921290676,856.8395777932893,596.2861965652819,557.1516966179922,Baseline condition with no supplementation or treatment.,D4,27,Baseline condition with no supplementation or treatment.,None,None,0.2353832675158025,70153.10800000001,2.2577266666666667,Baseline condition with no supplementation or treatment.
3895.496015102587,1912.8009049856448,875.0046693019437,128.7824588990385,2610.858219524809,2290.5835074041784,403.43996885913685,2562.1976969650445,3895.496015102587,9084.47719352109,3544.25551589847,60.16210061934497,2596.7024311437867,122.97841156013163,666.4446067575695,626.3936358602389,42.46736514306704,42.46736514306704,102.629465762412,2931.1329316454394,101.74472898859813,12642.888497800584,322.021076887934,115.01578059580656,237.9941921559382,42.46736514306704,15166.157776717817,960.8241363618918,340.6236579183502,1374.8809465067957,266.3057689179829,42.46736514306704,524.6489068716407,230.03156119161312,1719.0435515204013,101.74472898859813,42.46736514306704,9907.282393168014,42.46736514306704,237.9941921559382,42.46736514306704,1089.110968564907,437.05996626406494,Caffeine treatment without arginine supplementation.,C5,34,Caffeine treatment without arginine supplementation.,Yes,None,0.184815732455701,31228.016,1.4119666666666666,Caffeine treatment without arginine supplementation.
3172.0,9661.927360774818,585.2455205811139,171.57639463825117,281.10217917675544,1199.6765133171914,1605.2009685230023,3615.926392251816,3172.0,31523.382082324457,2685.063438256658,1890.9113801452784,1236.542372881356,144.39128329297822,652.8329297820824,6294.845520581114,603.31339940311,606.3038759874031,246.8560203925676,2708.104600484261,27.64939467312349,14379.221307506054,265.05878182617187,573.8799556235989,331.79273607748183,611.2848289975017,8520.621791767555,2195.0547215496367,2084.457142857143,89.09249394673124,93.70072639225182,648.5847372888758,1064.5016949152543,158.57199865464796,3605.173849878935,125.95835351089588,662.3347437475335,21236.27118644068,612.7437169513872,244.2363196125908,624.0691565704493,1456.2014527845038,98.3089588377724,Caffeine treatment without arginine supplementation.,A1,0,Caffeine treatment without arginine supplementation.,Yes,None,0.1676998788760681,27615.448,1.3028266666666666,Caffeine treatment without arginine supplementation.
8905.129310344828,10731.57327586207,733.4051724137931,425.90517241379314,997.6077586206898,2258.534482758621,5455.474137931035,4731.788793103448,8905.129310344828,41415.301724137935,7310.193965517242,3371.0129310344832,9981.379310344828,849.1594827586208,1754.8706896551726,8774.353448275862,2528.922413793104,2520.086206896552,791.7241379310345,630.9051724137931,110.45258620689656,29160.366379310348,1128.3836206896551,1510.9913793103449,25.625000000000004,2520.086206896552,22717.88793103449,3028.1681034482763,45.0646551724138,1742.5000000000002,262.4353448275862,2528.922413793104,859.7629310344828,167.00431034482762,2467.9525862068967,52.13362068965517,2528.922413793104,2124.224137931035,2528.922413793104,19.439655172413797,2528.922413793104,1322.7801724137933,229.74137931034485,Negative control with alanine supplementation without caffeine.,A7,48,Negative control with alanine supplementation without caffeine.,None,NegHigh,0.2310794388211611,53920.632000000005,2.0349,Negative control with alanine supplementation without caffeine.
6481.904103852597,7636.463847012842,484.5674204355109,23.178112786152987,1697.7967615857062,1386.3408710217757,1344.3305415968732,5177.410943606924,6481.904103852597,29373.912060301507,5386.013958682301,2562.6300949190395,8766.3968453378,621.4631490787269,1949.85873813512,4111.942071468454,2621.299692908989,2621.299692908989,481.6701563372418,976.3780011166946,134.43064914223862,24699.17643774428,511.3671133445003,518.610273590173,134.72278056951424,2621.299692908989,142380.24958123954,2556.1112506979343,310.0072585147962,987.242741485204,186.1492183137912,2621.299692908989,393.3036013400335,3307.951284198772,1456.599525404802,121.42239900082272,2621.299692908989,1665.926856504746,2594.5,134.72278056951424,2621.299692908989,620.7388330541597,279.5859854829704,High arginine supplementation without caffeine treatment.,A4,24,High arginine supplementation without caffeine treatment.,None,PosHigh,0.2547863392814968,40775.696,1.7801333333333331,High arginine supplementation without caffeine treatment.
7417.916666666667,4067.5833333333335,503.5,69.66666666666667,1292.0,1765.4166666666667,2045.6666666666667,4415.916666666667,7417.916666666667,18100.666666666668,6612.0,525.6666666666667,4738.916666666667,90.25,1058.1323249082006,39.583333333333336,277.08333333333337,277.08333333333337,202.6762048223817,3070.083333333333,166.85698722547863,26394.166666666668,731.5,805.9166666666667,112.41666666666669,277.08333333333337,68471.25,1505.75,175.75,3784.166666666667,50.66666666666667,277.08333333333337,617.5,273.9166666666667,3013.083333333333,242.5512348932525,277.08333333333337,16164.25,277.08333333333337,112.41666666666669,277.08333333333337,109.25,182.08333333333331,Low arginine supplementation with caffeine treatment.,E7,52,Low arginine supplementation with caffeine treatment.,Yes,PosLow,0.1925883234294182,29903.300000000003,1.4098333333333333,Low arginine supplementation with caffeine treatment.
