ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	Deoxyadenosine [[M+H]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Indole-3-Ethanol [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Lysine [[M+H]]	L-Threonine [[M+NH4]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+K]]	Methionine [[M+H]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N-Acetylputrescine [[M+Na]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Oleic acid [[M+Na]]	P-Hydroxybenzoic Acid [[M-H2O+H]]	Palatinose [[M+K]]	Phenylethyl alcohol [[M+H]]	Pidolic Acid [[M+H]]	Proline [[M+NH4]]	Sucrose [[M+K]]	Tetracosanoic acid [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+K]]	d-Desthiobiotin [[M+Na]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00011-Positive-G12.d.DeMP	3373.204687800897	3652.1230639437317	380.23974543553817	17.076635274051114	194.6736421241827	504.3299617603096	407.5623618740199	3097.701638712872	3373.204687800897	14165.6381810012	2908.7202083467064	399.5932654127961	16488.060578272154	385.9319571935552	417.8083430384506	10240.288952672652				593.1284651853754	737.7106438390082	170.76635274051114	6809.023704939981		876.6006107346238	66.02965639299764	2246.1467597135234		23196.901356271035	2346.329686654623	549.8676558244459		178.735449201735	1551.6969252354445			13.661308219240892	717.2186815101468	108.15202340232372	111.56735045713394	2370.236976038295	170.76635274051114	371.1322066227109	590.8515804821685		965.3991141596897	7526.242386450128	117.25956221515098			66.02965639299764		23.90728938367156	53.50679052536016	Caffeine treatment without arginine supplementation.
Inj00012-Positive-G6.d.DeMP	5458.3202712886205	4915.2445365486055	761.8564431047475		697.6865109269028	1684.3530519969856	1321.297663903542	2830.7984174830444	5458.3202712886205	20823.358327053502	4182.673700075357	2151.6307460437074	2872.14280331575	202.84589299171063	775.6379050489826	3664.1461944235116	844.5452147701583	695.1024868123587	10.336096458176337	85.70346646571213	598.2015825169556		12729.764129615674	156.3334589299171	533.170308967596	109.39035418236624	663.232856066315	695.1024868123587	18406.003767897513	818.2743029389601	51.680482290881685			810.9529012810851	133.5079125847777	844.5452147701583	6.0293896006028636	571.5	77.52072343632253	289.8413715146948	1335.5097965335342		182.6043707611153	76.22871137905048	844.5452147701583	169.68425018839488	2652.5007535795025	55.12584777694047	573.6533534287868		105.08364732479276	844.5452147701583		737.3082140165787	Low arginine supplementation without caffeine treatment.
Inj00013-Positive-C2.d.DeMP	4204.734807570506	7200.974699148012	640.737913139417	72.4062574489386	1078.6233748544266	1039.5469819454756	3703.637533796899	2858.3232107223857	4204.734807570506	28646.443919282454	3314.597563218078	1599.258845082509	5375.302636328346	139.0659865289138	862.5539081814035	4352.420586652865	6290.149952667317	1330.895970251919	31.031253192402257	119.52779007443831	1064.2570539320182	77.0034801441093	19223.2866998563	967.7153773334334	343.0677436271138	55.74132517894479	910.8247464806958	1330.895970251919	14742.143877738657	2549.159984472156	282.72919575299835	90.79514822962142		1581.4446071387224	173.5451567426941	6290.149952667317		573.5035312225455	61.48785354790817	254.57120674507777	2450.3196965259854	77.0034801441093	194.23265887096227	243.65280284404736	6166.024939897708	217.2187723468158	2221.607867441243		4421.3789270804255		61.48785354790817	6290.149952667317	27.00868333412789	803.3646659810806	Negative control with alanine supplementation without caffeine.
Inj00022-Positive-E3.d.DeMP	5678.793969849246	11097.889447236183	220.30150753768845		942.3115577889448	1185.1256281407036	2144.321608040201	6166.834170854272	5678.793969849246	41367.63819095478	5057.286432160804	3235.376884422111	8710.753768844223	424.52261306532665	1575.0753768844222	3721.809045226131	2042.211055276382	2067.13567839196	28.14070351758794	539.497487437186	340.10050251256285		30026.130653266333	160.0	304.7236180904523	41.80904522613066	647.2361809045227	2067.13567839196	184295.07537688443	2183.7185929648244	97.28643216080403	17.68844221105528	4.824120603015076	1980.3015075376886	91.65829145728644	2042.211055276382	89.2462311557789	412.46231155778895	223.5175879396985	4355.376884422111	1657.889447236181		172.8643216080402	170.45226130653268	2034.170854271357	524.2211055276382	2885.6281407035176		1735.8793969849248		46.63316582914573	2042.211055276382	30.55276381909548	17.68844221105528	High arginine supplementation without caffeine treatment.
Inj00025-Positive-D4.d.DeMP	3886.271472824557	8097.74429738102	381.9386088425796		1345.0881441847368	2013.9419881723459	1638.0000000000002	4459.640664601521	3886.271472824557	27505.115178822867	3290.760912419037	1797.1410870177417	3112.7074063644045	468.6589693044213	889.8062517600677	3335.5049281892425	1876.4809912700648	1228.8459588848214	5.074063644043932	228.3328639819769	357.02956913545484	126.8515911010983	15206.968741199664	504.17741481272884	710.3689101661504	167.44410025344973	355.1844550830752	1228.8459588848214	27952.555336524925	747.2711912137427	74.26584060827936	15.683469445226697	32.7507744297381	927.1698113207548	12.454519853562378	1876.4809912700648	53.969586032103635	1250.5260490002818	37.363559560687136	429.9115742044495	1457.178822866798	131.46437623204733	83.95268938327233	145.76401013798932	1855.2621796676995	252.78062517600677	2308.2376795268938	60.88876372852718	1487.6232047310618		173.44072092368347	1876.4809912700648		499.1033511686849	Baseline condition with no supplementation or treatment.
Inj00026-Positive-C5.d.DeMP	3316.1649778133888	1628.3326554695766	744.8755764382106		2222.5761638717486	1949.932120726519	343.4411151221679	2181.152345161838	3316.1649778133888	7733.450372970219	3017.160322761852	51.214903132253106	2210.5255984288656	104.68928728504679		533.2375208475764		36.15169632864925		87.36659946090235	2495.2202070169783	86.61343912072216	10762.661261174953		97.91084422342506	202.60013150847183	775.0019900454183	36.15169632864925	12910.674551368864	817.9321294356893	289.9667309693742	29.373253267027515	74.56287367783908	1170.4111686400195	226.701262394238		51.9680634724333	446.6240817268543		195.82168844685012	1463.3905409701144	86.61343912072216	427.79507322234946	579.1803015985682			8433.889489337798			21.841649865225587	202.60013150847183		9.037924082162313	372.0612080490152	Caffeine treatment without arginine supplementation.
Inj00035-Positive-A7.d.DeMP	8285.841781987714	9985.269740250129	682.4021312809886	396.2865388884777	928.231332790646	2101.469695848442	5076.085251239547	4402.727003626137	8285.841781987714	38535.16613631317	6801.8226892621915	3136.583290165026	9287.246355361503	790.1065640494338	1632.8320876193293	8164.160438096646	3628.2416931843404	2344.8323836305776	12.332568637608228	736.6654332864648	587.0302671501516	102.7714053134019	27132.47317398061	1049.9126766817137	1405.912824687338	23.84296603270924	565.653814844964	2344.8323836305776	21138.022644860503	2817.580848072226	41.93073336786797	50.15244579294013		1621.3216902242284	244.18485902464292	3628.2416931843404	25.48730851772367	799.9726189595203	46.86376082291127	155.39036483386366	2296.324280322652	48.508103307925694	441.50595722637456	185.81070080663062	3619.197809516761	336.268038185451	1976.4996669873453	58.374158218012276	2528.1765707096865	9.866054910086582	18.087767335158734	3628.2416931843404		213.76452305187595	Negative control with alanine supplementation without caffeine.
Inj00036-Positive-A4.d.DeMP	4905.128571428571	5778.832330827067	366.6924812030075	17.53984962406015	1284.793984962406	1049.1022556390978	1017.3112781954887	3917.963909774436	4905.128571428571	22228.47067669173	4075.8225563909773	1939.2496240601504	6633.9	470.2872180451128	1475.5398496240603	3111.678947368421	1247.521804511278	1983.6473684210528	5.481203007518797	364.5	738.8661654135338		18690.9022556391	386.97293233082706	392.45413533834585	101.95037593984962	169.36917293233083	1983.6473684210528	107745.1037593985	1934.3165413533834	234.59548872180451	79.47744360902256		747.087969924812	140.8669172932331	1247.521804511278	135.93383458646616	297.62932330827067		2503.265413533835	1102.26992481203		114.55714285714286	283.3781954887218	1247.521804511278	477.41278195488724	1260.6766917293232		1090.2112781954888	58.64887218045113	101.95037593984962	1247.521804511278	18.63609022556391	211.57443609022556	High arginine supplementation without caffeine treatment.
Inj00037-Positive-E7.d.DeMP	5939.651702786378	3256.982972136223	403.1609907120743	55.78328173374613	1034.5263157894738	1413.5990712074304	1638.0	3535.8993808049536	5939.651702786378	14493.510835913314	5294.340557275542	420.91021671826627	3794.530959752322	72.26470588235294		31.695046439628484		221.86532507739938			2458.2678018575853		21134.256965944274	585.7244582043344	645.3111455108359	90.01393188854489	659.2569659442725	221.86532507739938	54826.09133126935	1205.6795665634675	140.72600619195046		78.60371517027865	3030.046439628483	40.56965944272446		210.45510835913313	494.44272445820434		219.32972136222912	2412.62693498452		850.6950464396285	439.9272445820434		517.2631578947369	12942.989164086688			25.356037151702786	90.01393188854489		111.56656346749226	145.79721362229103	Low arginine supplementation with caffeine treatment.
Inj00038-Positive-E5.d.DeMP	4731.201754385965	3587.315789473684	293.7543859649123		1127.921052631579	1615.6491228070176	1585.3157894736842	4455.80701754386	4731.201754385965	12072.666666666666	3667.140350877193	1467.9736842105262	2147.280701754386	1119.140350877193	1051.2894736842106	12064.684210526317			8.780701754385966	211.53508771929825	981.0438596491229	126.92105263157895	8921.991228070176	386.35087719298247	565.1578947368421	91.0	308.92105263157896		10918.40350877193	2611.061403508772	331.2719298245614	9.578947368421053	102.97368421052632	1408.1052631578948	87.80701754385964		71.04385964912281	861.3070175438596	23.149122807017545		1641.1929824561403	126.92105263157895	311.3157894736842	923.5701754385965		496.50877192982455	5526.254385964912	15.166666666666666		122.13157894736842	91.0		123.7280701754386	81.42105263157895	Negative control with alanine supplementation with caffeine.
