ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Coenzyme A [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]/Palatinose [[M+Na]]	D-(+)-Turanose [[M+Na]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine 6-Phosphate [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Histidinol [[M+H]]	L-Lysine [[M+H]]	L-Tryptophan [[M+NH4]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Pidolic Acid [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00008-Positive-D6.d.DeMP	4456.951235086541	8244.060090741052	913.2850949420266	123.47094605948581	542.8722567635692	882.2923878339775	2069.0131406486307	1948.5414888254077	28661.25572172744	3478.6814316921527	1632.1159468996807	4678.899008569989	441.396135103344	655.3457906234247	187.9557721391363	4012.5558057469334	2091.007965047891	2135.9973785918332	247.44177449168208	25.494001008233912	789.3142665098303	239.4436565283146	16718.56595530163	453.3933120483953	824.8059149722736	202.95224332045035	14288.637741556042	2497.912216434213	509.8800201646782	664.8435557049236	57.98635523441439	131.4690640228533	1356.180877163502	55.98682574357251	1173.7238111241809	361.414955469669	873.2945051251891	22.4947067719711	1458.1568811964376	2019.0249033775838	222.94753822886912	2067.513493530499	332.9216602251723	761.8207360107546	Negative control with alanine supplementation without caffeine.
Inj00012-Positive-G6.d.DeMP	8137.8335588799755	7298.104228240091	1089.6031268957404	1.5976585438353965	1084.490619555467	2677.6757194681245	2011.1325749799971	4212.066984967639	30908.30218903958	6227.673003870375	3212.571799944215	4357.7734441654275	321.4488990196818	1160.539166242032	154.01428362573222	5453.128141818975	1079.8574097783444	1087.0468732256038	203.86123019339658	294.6082354832471	893.4106577127537	2392.0143718303557	18895.188066232466	297.8035525709179	831.4215062119403	171.90805931668865	27280.339167698163	1276.8487082332488	76.68761010409902	1365.0394598529626	1.5976585438353965	364.2661479944704	1203.3564152168206	198.10965943558915	890.215340625083	476.7413094804823	1987.487228531233	1.9171902526024758	3982.643218072876	1016.1108338793122	165.51742514134708	1077.4609219625913	282.4660305500981	1061.4843365242373	Low arginine supplementation without caffeine treatment.
Inj00013-Positive-C2.d.DeMP	4515.8975397334925	7662.214600079597	664.3714831029164	91.42726831691509	1170.2690344565133	1321.4287847404794	3991.714534716513	3035.385308121581	30449.546955387515	3537.6257687425014	1706.6423419157484	5756.260813232974	166.39762833678546	918.5392890239403	154.20732589453013	4616.467534882099	1401.1228869567237	1477.464656001348	207.23514151834087	157.86441662720674	1133.0886120076343	457.74585670668824	20404.128227847	1097.736734925094	374.85180009935186	127.99817564368112	15657.833971954879	2733.0658075536485	309.63368203328577	778.9603260601166	148.11217467340245	388.2611327858328	1677.3856160543355	184.07356687805571	646.0860294395333	279.1579259276474	2603.239086543629	81.67502636311082	2371.6233401407776	1375.6756306085158	127.99817564368112	1375.6756306085158	1331.7905418163964	1026.4234656379	Negative control with alanine supplementation without caffeine.
Inj00022-Positive-E3.d.DeMP	6047.051063484931	11607.885967303457	427.4335496894639	28.551553417370872	1061.4459858693172	1335.204998047638	2390.772722919261	6452.651072325817	43248.04566317698	5340.819992190552	3418.6286459446123	9379.185297606331	21.833540848577726	1685.3814031959805	460.1838609623305	3893.9280351867274	2243.8161979769106	2243.8161979769106	765.8534328424187	133.52049980476377	380.4074617079119	2177.4758238600784	31397.47149182587	202.38012863489354	318.2658454465753	148.63602808454837	192485.33587263233	2446.1963266118046	101.60994010299633	151.15528279784579	49.54534269484945	306.5093234511873	2068.3081196171897	110.84720738508692	881.7391496541004	4569.088298350439	1731.5677396064334	2.5192547132974297	3069.2919923673685	2243.8161979769106	200.70062549269525	2243.8161979769106	1110.9913285641665	331.7018705841616	High arginine supplementation without caffeine treatment.
Inj00023-Positive-B6.d.DeMP	3691.2925388400026	2632.207134921615	701.6634630645248	46.51912462306241	1835.95478512353	1615.7642619077012	1432.0137196466046	3803.71375667907	10183.81169873208	3224.550655121943	800.1289435166735	2671.748390851218	456.66274004972934	762.1383250745058	272.9121977886328	5946.694764314811	37.21529969844993	37.21529969844993	78.30719311548839	4.651912462306242	1956.1291903997744	2538.3935669317725	9627.908159486484	396.1878780397482	541.1724831149594	190.7284109545559	28733.312642178218	1533.5804750736243	332.61174105489624	83.73442432151235	136.4560988943164	624.131588692754	1325.7950517572788	246.55136050223078	320.98195989913063	203.1335108540392	641.9639197982613	48.06976211049783	3288.1267921067947	37.21529969844993	190.7284109545559	37.21529969844993	1552.963443666567	614.0524450244238	Negative control with alanine supplementation with caffeine.
Inj00024-Positive-G7.d.DeMP	6346.5161290322585	6680.387096774193	433.2903225806452	23.741935483870968	507.48387096774195	727.0967741935484	1426.0	9710.451612903225	30437.16129032258	5416.129032258064	494.1290322580645	4781.032258064516	89.03225806451613	35.61290322580645	228.05674065126394	882.9032258064516	796.8387096774194	796.8387096774194	11.870967741935484	8.903225806451612	1479.4193548387098	16926.516129032258	33584.45161290323	115.74193548387098	123.16129032258064	280.4516129032258	226953.61290322582	1246.4516129032259	1874.1290322580646	2.225806451612903	92.0	1393.3548387096773	2685.8064516129034	704.8387096774194	1546.1935483870968	6057.1612903225805	2589.3548387096776	1385.9354838709678	21881.16129032258	750.8387096774194	283.4193548387097	796.8387096774194	1621.8709677419356	200.32258064516128	High arginine supplementation with caffeine treatment.
Inj00025-Positive-D4.d.DeMP	4088.3846389286496	8468.86561023065	522.495749657941	10.12215013174978	1439.7553544541236	2185.9024213088214	1744.8658798540098	4697.159668281029	28755.582502853733	3456.4732664179846	1910.6763391550537	3290.1807999678094	503.69747084183433	929.791790673587	302.2184825051006	3485.3936953658413	912.0780279430248	1341.9079031805422	280.5281607942082	5.784085789571303	384.64170500649163	1804.1527591971155	15897.077785487596	560.5743144392854	750.4851311968765	261.2478748289705	29208.669223036817	899.9073474274686	77.60315101008165	289.6862966276961	6.266092938702245	489.719263517037	968.8343697531933	32.77648614090405	1277.318945196996	477.6690847887634	1533.2647413855263	174.00458083627004	2428.8340244708165	733.1328738281627	280.04615364507725	748.0750954512218	578.8905861062613	583.2286504484397	Baseline condition with no supplementation or treatment.
Inj00026-Positive-C5.d.DeMP	4756.487213997309	2309.56931359354	1349.1857335127859	2.6413189771197847	3189.656796769852	2981.5208613728128	748.021534320323	3084.0040376850607	10883.29071332436	4288.445491251682	81.35262449528936	3238.257065948856	178.55316285329744	23.243606998654105	260.09112431600767	748.021534320323	76.0699865410498	76.0699865410498	179.60969044414534	60.22762201775504	3519.293405114401	659.2732166890983	15121.022880215343	430.3862225537639	154.25302826379541	318.01480484522205	18155.370121130552	1243.5329744279945	406.7631224764468	167.9878869448183	75.01345895020188	572.6379542395694	1641.843876177658	591.6554508748318	785.0	343.371467025572	2087.698519515478	150.02691790040376	11830.995962314939	69.73082099596232	339.14535666218035	76.0699865410498	634.9730820995962	680.4037685060565	Caffeine treatment without arginine supplementation.
Inj00034-Positive-A1.d.DeMP	3679.6473829201104	10795.234159779615	839.2479338842975	4.290633608815427	521.7410468319559	1657.900826446281	2020.030303030303	4077.818181818182	35275.87327823691	3084.107438016529	2251.724517906336	1395.314049586777	185.35537190082644	729.4077134986226	97.82644628099173	7064.099173553719	87.52892561983471	87.52892561983471	87.52892561983471	10.297520661157025	3049.7823691460057	20172.84297520661	16076.146005509641	423.4547910988317	128.71900826446281	490.8484848484849	9520.05785123967	2517.7438016528927	2328.9559228650137	2.574380165289256	173.34159779614325	623.0	99.5426997245179	283.1818181818182	1336.9614325068871	18.87878787878788	4050.3581267217633	168.19283746556474	23739.217630853993	87.52892561983471	393.0220385674931	87.52892561983471	85.81267217630854	502.86225895316807	Caffeine treatment without arginine supplementation.
Inj00035-Positive-A7.d.DeMP	8141.285092222183	9770.346585478104	1077.1917725776188	394.19265762735864	998.3532410521472	2153.5790703437533	5026.358622154566	4338.532658335398	37730.6731334301	6668.291712394237	3109.295146387227	9404.3105462527	818.9553580911247	1604.927248911389	388.5613339469678	7988.434878040146	2311.256133394697	2301.602435656884	843.089602435657	60.33561086133041	613.8142811626013	1024.9009098311326	26554.104577477254	1053.862003044571	1397.3727475484122	78.03405671398733	20689.48320175594	2925.070414557298	41.02821538570468	2532.4867065529083	91.71012850922222	563.1323680390838	1591.251177116154	247.77824193719687	892.96704074769	255.01851524055652	2188.171487237583	47.46401387757992	1962.9185400219492	2314.4740326406345	43.441639820157896	2314.4740326406345	158.48153786242787	335.46599638899704	Negative control with alanine supplementation without caffeine.
