ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	ATP [[M+H]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Biotin [[M+H]]	Choline [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+Na]]	D-(+)-Turanose [[M+Na]]	Flavin adenine dinucleotide [[M+H]]	Glucosamine [[M+H]]	Glutamic Acid [[M+H]]	Glutathione [[M+H]]	Guanosine-5'-Diphosphate [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Glutamine [[M+H]]	L-Valine [[M+H]]	Linoleic acid [[M+Na]]	Maltose [[M+Na]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N2-Acetyl-L-ornithine [[M+H]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Palatinose [[M+Na]]	Pidolic Acid [[M+H]]	Sucrose [[M+Na]]	Thymine [[M+H]]	Trehalose [[M+Na]]	d-Desthiobiotin [[M+H]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00011-Positive-G12.d.DeMP	3511.170704507898	3801.497003058163	395.79177026852443	17.775079503077446	202.63590633508286	524.9573479908872	424.2318974734484	3224.3994218582484	3511.170704507898	14745.020950452843	3027.6885420241915	415.93686037201223	17162.431762871376	401.7167967695503	434.89694517529483	10659.122675345441	1489.7259523183573	1556.2678138489634	617.3877614068899	767.8834345329457	177.75079503077444	7087.51670052708	249.15605572008837	912.4540811579756	68.73030741189946	1548.1640073253936	24145.667996980403	2442.295923722841	572.3575599990937	1615.1622241796372	255.01514269407141	1486.6767025243823	746.5533391292527	116.13051942010597	2467.1810350271494	177.75079503077444	1491.0556011806405	7834.0700396563325	1445.35719870853	68.73030741189946	1455.7282024180186	1898.3784909286712	55.69524910964266	Caffeine treatment without arginine supplementation.
Inj00012-Positive-G6.d.DeMP	8040.244331855605	7240.279987333756	1122.2338822039267	85.32179555789513	1027.7099430019	2481.094806839772	1946.3050031665612	4169.837935402154	8040.244331855605	30673.335465484488	6161.184547181761	3169.4067131095635	4230.739265357822	298.7971500949969	1142.5343255224827	5397.38036732109	1014.3877770740976	1023.9036098796707	126.24338188727043	881.1661177960735	132.358442756181	18751.265737808742	230.2831538948702	785.3734008866372	161.13476884103864	1023.9036098796707	27112.510829639014	1205.3388220392656	76.1266624445852	1194.5542115262826	196.66054464851175	1014.3877770740976	841.8340088663712	426.9436985433819	1967.239835338822	90.41400067054576	1014.3877770740976	3907.2009499683345	953.4864471184295	154.79088030398987	1014.3877770740976	193.48860037998736	1086.0737175427487	Low arginine supplementation without caffeine treatment.
Inj00013-Positive-C2.d.DeMP	4641.380597014925	7948.768656716418	707.276119402985	79.92537313432837	1190.634328358209	1147.5	4088.2462686567164	3155.1492537313434	4641.380597014925	31621.26865671642	3658.805970149254	1765.3358208955224	5933.507462686567	153.50746268656718	952.1268656716418	4804.402985074627	1374.589552238806	1469.1044776119404	131.9402985074627	1174.7761194029852	85.0	21219.552238805973	1068.2089552238806	378.6940298507463	61.52985074626866	1469.1044776119404	16273.059701492537	2813.8805970149256	312.089552238806	1745.6716417910447	191.56716417910448	1374.589552238806	633.0597014925373	281.0074626865672	2704.7761194029854	85.0	1374.589552238806	2452.313432835821	1374.589552238806	67.8731343283582	1374.589552238806	1328.9179104477612	886.7910447761194	Negative control with alanine supplementation without caffeine.
Inj00022-Positive-E3.d.DeMP	7294.728932686698	14255.86060567386	282.98962587514586	282.9982029351437	1210.4519763710618	1522.3602501458574	2754.5012124416567	7921.643906796966	7294.728932686698	53139.048324460324	6496.367688885647	4156.02282672112	11189.451119457408	545.3230746791131	2023.2725441219368	4780.87218312427	2655.3515625	2655.3515625	693.0147407380397	436.8781450554259	330.3082897820257	38570.24663615811	205.52896185822635	391.4345554988331	53.70606038506418	2655.3515625	236737.34698621643	2805.108846266044	124.9698712806301	2543.8082063156357	117.74020930571761	2655.3515625	529.8309418757293	5594.725559728704	2129.651856038506	451.11259475387254	2655.3515625	3706.750975422987	2655.3515625	59.90291350641773	2655.3515625	1273.4533164381562	22.72179477829638	High arginine supplementation without caffeine treatment.
Inj00025-Positive-D4.d.DeMP	4272.798209674774	8903.142144906902	419.92604363331895	140.06050536174314	1478.8699797521233	2214.24771316796	1800.914711282507	4903.19443218228	4272.798209674774	30240.761026289303	3618.058448405915	1975.883896129723	3422.295824200044	515.2715704486136	978.3059639718265	3667.2526829861467	859.6312125102363	1351.0664012550262	251.04274347644068	392.5395625267982	139.4681908202448	16719.44671553095	554.3226638782821	781.021868593371	184.09801188272317	1351.0664012550262	30732.703372091622	821.5944331956241	81.65228626203424	1019.3856856316077	13.6932405532604	859.6312125102363	1374.90278295885	472.67037761624795	1602.109144731467	144.53976139552645	859.6312125102363	2537.8139158709278	828.6946320010184	190.6910536305893	843.9093437268632	587.2878726176127	548.7439362454724	Baseline condition with no supplementation or treatment.
Inj00026-Positive-C5.d.DeMP	3762.996718234399	1847.7399284176176	845.2427332123144	152.86876049961148	2522.053898594075	2212.672837499173	389.7175797217547	2475.048488759214	3762.996718234399	8775.482694260914	3423.703123608222	58.11577943219149	2508.379597551206	118.79549030992084	587.7508847420625	605.0878211469349	41.022903128605755	41.022903128605755	99.13868256079725	2831.4349596889765	98.28403874561796	12212.860118912005	317.840721955807	111.10369597330725	229.8991862832281	41.022903128605755	14650.304279803331	928.1431832847052	329.03786884402535	1328.1164887886114	257.24778836896525	41.022903128605755	506.80378240131694	222.2073919466145	1660.5729328933537	98.28403874561796	41.022903128605755	9570.301442377651	41.022903128605755	229.8991862832281	41.022903128605755	1052.0665364857018	422.19404469856755	Caffeine treatment without arginine supplementation.
Inj00034-Positive-A1.d.DeMP	3201.5	9751.784503631961	590.688377723971	170.02077562003126	283.7164648910412	1210.8336561743342	1620.1295399515739	3649.5549636803876	3201.5	31816.553510895887	2710.034866828087	1908.4970944309928	1248.042372881356	145.73414043583537	658.9043583535109	6353.388377723972	1467.3437956396424	1517.7344192943656	186.20192037149786	2733.290314769976	27.906537530266345	14512.949878934625	312.57187641564917	693.7136173708542	334.8784503631961	1504.5721069358597	8599.864648910412	2215.469007263923	2103.842857142857	89.92106537530267	94.57215496368039	1424.3939905980005	1074.4016949152542	220.9712491878777	3638.7024213075065	127.12978208232447	1407.93729462633	21433.77118644068	1393.8268195409576	246.5077481840194	1377.805931723504	1469.744309927361	99.22324455205812	Caffeine treatment without arginine supplementation.
Inj00035-Positive-A7.d.DeMP	8905.129310344828	10731.57327586207	733.4051724137931	425.90517241379314	997.6077586206898	2258.534482758621	5455.474137931035	4731.788793103448	8905.129310344828	41415.301724137935	7310.193965517242	3371.0129310344832	9981.379310344828	849.1594827586208	1754.8706896551726	8774.353448275862	2528.9224137931037	2520.086206896552	791.7241379310345	630.9051724137931	110.45258620689656	29160.366379310348	1128.3836206896553	1510.9913793103449	25.625000000000004	2520.086206896552	22717.887931034486	3028.1681034482763	45.0646551724138	1742.5000000000002	262.4353448275862	2528.9224137931037	859.7629310344828	167.00431034482762	2467.9525862068967	52.133620689655174	2528.9224137931037	2124.224137931035	2528.9224137931037	19.439655172413794	2528.9224137931037	1322.7801724137933	229.74137931034485	Negative control with alanine supplementation without caffeine.
Inj00036-Positive-A4.d.DeMP	6459.29766536965	7609.830739299611	482.8774319066148	23.09727626459144	1691.875486381323	1381.5058365758755	1339.6420233463036	5159.354085603113	6459.29766536965	29271.46692607004	5367.229571984436	2553.692607003891	8735.822957198445	619.295719844358	1943.058365758755	4097.601167315175	2612.1575875486383	2612.1575875486383	479.99027237354085	972.9727626459145	110.27572061454042	24613.035019455256	509.58365758754866	516.8015564202335	134.25291828793775	2612.1575875486383	141883.68093385216	2547.196498054475	308.9260700389105	983.7996108949417	185.5	2612.1575875486383	391.931906614786	3296.4143968871595	1451.5194552529183	99.71886658299954	2612.1575875486383	1660.1167315175098	2585.4513618677042	134.25291828793775	2612.1575875486383	618.5739299610896	278.6108949416342	High arginine supplementation without caffeine treatment.
Inj00037-Positive-E7.d.DeMP	6865.326923076923	3764.5730769230768	465.99230769230763	64.47692307692307	1195.753846153846	1633.903846153846	1893.276923076923	4086.957692307692	6865.326923076923	16752.276923076923	6119.446153846154	486.50769230769225	4385.8961538461535	83.52692307692307	840.9740223623832	36.63461538461538	256.4423076923077	256.4423076923077	172.18037632745288	2841.380769230769	142.525647743582	24427.961538461535	677.0076923076923	745.8807692307691	104.04230769230769	256.4423076923077	63370.55769230769	1393.5807692307692	162.6576923076923	3502.2692307692305	46.89230769230769	256.4423076923077	571.5	253.51153846153844	2788.626923076923	229.54712543355257	256.4423076923077	14960.111538461537	256.4423076923077	104.04230769230769	256.4423076923077	101.11153846153846	168.51923076923075	Low arginine supplementation with caffeine treatment.
