Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
PosLow,None,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],65.0,0.5035147104262714,0.8727588314055371,False
PosLow,None,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],60.0,0.7513343125576336,0.9361184527533727,False
PosLow,None,2'-Deoxyuridine [[M+Na]],55.0,1.0,1.0,False
PosLow,None,5'-Deoxy-5'-Methylthioadenosine [[M+H]],49.0,0.6757058487030954,0.9147841179282452,False
PosLow,None,ATP [[M+H]],51.0,0.8047018297945336,0.9590119894385247,False
PosLow,None,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],53.0,0.9143119479058237,1.0,False
PosLow,None,Ademetionine [[M+H]],61.0,0.6976002155832742,0.9147841179282452,False
PosLow,None,Adenine [[M+H]],63.0,0.5974062696275562,0.9136324770794363,False
PosLow,None,Adenosine 5'-diphosphate (ADP) [[M+H]],65.0,0.5035147104262714,0.8727588314055371,False
PosLow,None,Adenosine phosphate [[M+H]],65.0,0.5035147104262714,0.8727588314055371,False
PosLow,None,Adenosine-3'-5'-Diphosphate [[M+H]],65.0,0.5035147104262714,0.8727588314055371,False
PosLow,None,Alpha-D-Glucose [[M+Na]],35.5,0.16882381089470477,0.7253194025893683,False
PosLow,None,Aminoadipate [[M+Na]],67.0,0.4150059904203218,0.8300119808406436,False
PosLow,None,Argininosuccinic acid [[M+H]],59.0,0.8053241706182483,0.9590119894385247,False
PosLow,None,Biotin [[M+H]],78.0,0.11193139605677516,0.714822178852094,False
PosLow,None,Choline [[M+H]],64.0,0.5330676642346087,0.8836864322117004,False
PosLow,None,Cytidine [[M+H]],62.5,0.6180443653523233,0.9136324770794363,False
PosLow,None,D-(+)-Melibiose [[M+K]],73.5,0.15995976639441523,0.7253194025893683,False
PosLow,None,D-(+)-Turanose [[M+Na]],49.0,0.6818954220320396,0.9147841179282452,False
PosLow,None,D-Fructose [[M+Na]],33.5,0.1283014167170425,0.714822178852094,False
