Group1,Group2,Feature,U_stat,p_raw,p_corrected,significant
NegHigh,None,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],46.0,0.967435545139537,1.0,False
NegHigh,None,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],59.0,0.2703441406547801,0.7591738581346154,False
NegHigh,None,2'-Deoxyuridine [[M+Na]],45.0,1.0,1.0,False
NegHigh,None,5'-Deoxy-5'-Methylthioadenosine [[M+H]],65.5,0.10081213039806479,0.4715957286417946,False
NegHigh,None,ATP [[M+H]],37.0,0.5401136118719447,0.9491027458409417,False
NegHigh,None,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],33.0,0.34347694385872485,0.8273947008564874,False
NegHigh,None,Ademetionine [[M+H]],47.0,0.9025232501776794,1.0,False
NegHigh,None,Adenine [[M+H]],49.0,0.7750513736700824,0.9767770736664052,False
NegHigh,None,Adenosine 5'-diphosphate (ADP) [[M+H]],46.0,0.967435545139537,1.0,False
NegHigh,None,Adenosine phosphate [[M+H]],62.0,0.17790959498698244,0.6062104718074957,False
NegHigh,None,Adenosine-3'-5'-Diphosphate [[M+H]],46.0,0.967435545139537,1.0,False
NegHigh,None,Alpha-D-Glucose [[M+Na]],53.0,0.5395790925025125,0.9491027458409417,False
NegHigh,None,Aminoadipate [[M+Na]],57.0,0.3468982276417474,0.8273947008564874,False
NegHigh,None,Argininosuccinic acid [[M+H]],62.5,0.16493817705195601,0.5690367108292482,False
NegHigh,None,Biotin [[M+H]],66.0,0.09416637543787974,0.45034822584893736,False
NegHigh,None,Choline [[M+H]],36.0,0.4818449829280248,0.9405405121169435,False
NegHigh,None,Cytidine [[M+H]],61.0,0.2016660041518168,0.647207176115133,False
NegHigh,None,D-(+)-Melibiose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,D-(+)-Turanose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,D-Fructose [[M+Na]],41.0,0.774955307165551,0.9767770736664052,False
NegHigh,None,D-Galactose [[M+Na]],41.0,0.774955307165551,0.9767770736664052,False
NegHigh,None,D-Glucose [[M+Na]],51.0,0.6528091945116303,0.9767770736664052,False
NegHigh,None,Galactose [[M+Na]],41.0,0.774955307165551,0.9767770736664052,False
NegHigh,None,Glucosamine [[M+H]],70.0,0.04545529484905846,0.2917595669381427,False
NegHigh,None,Glutamic Acid [[M-H2O+H]],23.0,0.0791793495755705,0.40430866916061936,False
NegHigh,None,Glutathione [[M+H]],67.0,0.0791793495755705,0.40430866916061936,False
NegHigh,None,Histidine [[M+H]],57.0,0.34774559891069756,0.8273947008564874,False
NegHigh,None,Imidazoleacetic acid [[M+H]],50.0,0.7133031738784577,0.9767770736664052,False
NegHigh,None,Inositol [[M+Na]],59.0,0.26929149997212354,0.7591738581346154,False
NegHigh,None,Isomaltose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,L-Arginine [[M+H]],37.0,0.5402913746074198,0.9491027458409417,False
NegHigh,None,L-Citrulline [[M+H]],49.0,0.7750513736700824,0.9767770736664052,False
NegHigh,None,L-Threonine [[M+NH4]],42.0,0.8382564863858263,1.0,False
NegHigh,None,L-Valine [[M+H]],61.0,0.20566717961735548,0.6524613974067829,False
NegHigh,None,Maltose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],55.0,0.437942822899974,0.9226886955755177,False
NegHigh,None,N2-Acetyl-L-ornithine [[M+H]],53.5,0.513444337525733,0.9491027458409417,False
NegHigh,None,Nicotinamide [[M+H]],53.0,0.5402913746074198,0.9491027458409417,False
NegHigh,None,Palatinose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,Pidolic Acid [[M+H]],16.0,0.019964453305216043,0.15743397463541794,False
NegHigh,None,Sucrose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,Thymine [[M+H]],55.0,0.437942822899974,0.9226886955755177,False
NegHigh,None,Trehalose [[M+Na]],50.0,0.7063262548999168,0.9767770736664052,False
NegHigh,None,Xanthurenic acid [[M+H]],56.0,0.38685846401073554,0.8765011651198219,False
NegHigh,None,d-Desthiobiotin [[M+H]],45.0,1.0,1.0,False
NegHigh,None,gamma-Glutamylcysteine [[M+H]],51.0,0.6533789106936937,0.9767770736664052,False
NegHigh,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],49.0,1.0,1.0,False
NegHigh,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],59.0,0.4941245444092638,0.9405405121169435,False
NegHigh,PosHigh,2'-Deoxyuridine [[M+Na]],50.0,1.0,1.0,False
NegHigh,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],48.0,0.9394172720934572,1.0,False
NegHigh,PosHigh,ATP [[M+H]],36.0,0.3231380348320163,0.8039308335221675,False
NegHigh,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],54.0,0.761120896413584,0.9767770736664052,False
NegHigh,PosHigh,Ademetionine [[M+H]],49.0,1.0,1.0,False
NegHigh,PosHigh,Adenine [[M+H]],52.0,0.8792283946861903,1.0,False
NegHigh,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],52.0,0.8792283946861903,1.0,False
NegHigh,PosHigh,Adenosine phosphate [[M+H]],57.0,0.5948534237883254,0.9767770736664052,False
NegHigh,PosHigh,Adenosine-3'-5'-Diphosphate [[M+H]],47.0,0.8792283946861903,1.0,False
NegHigh,PosHigh,Alpha-D-Glucose [[M+Na]],69.0,0.14734927747679896,0.5478765368140466,False
NegHigh,PosHigh,Aminoadipate [[M+Na]],55.5,0.6758228436991036,0.9767770736664052,False
NegHigh,PosHigh,Argininosuccinic acid [[M+H]],51.0,0.9394400080349974,1.0,False
NegHigh,PosHigh,Biotin [[M+H]],66.0,0.22414515405220226,0.6873784724267535,False
NegHigh,PosHigh,Choline [[M+H]],49.0,1.0,1.0,False
NegHigh,PosHigh,Cytidine [[M+H]],40.0,0.4926571433451845,0.9405405121169435,False
NegHigh,PosHigh,D-(+)-Melibiose [[M+Na]],87.5,0.004181581369856285,0.06788920341649027,False
NegHigh,PosHigh,D-(+)-Turanose [[M+Na]],86.5,0.005307517542847733,0.07324374209129872,False
NegHigh,PosHigh,D-Fructose [[M+Na]],69.0,0.14887949369946918,0.5478765368140466,False
NegHigh,PosHigh,D-Galactose [[M+Na]],69.0,0.14887949369946918,0.5478765368140466,False
NegHigh,PosHigh,D-Glucose [[M+Na]],62.0,0.36012262799165007,0.8495200455187643,False
NegHigh,PosHigh,Galactose [[M+Na]],69.0,0.14887949369946918,0.5478765368140466,False
NegHigh,PosHigh,Glucosamine [[M+H]],73.0,0.08056875653563067,0.40430866916061936,False
NegHigh,PosHigh,Glutamic Acid [[M-H2O+H]],38.0,0.40331756510948324,0.8765011651198219,False
NegHigh,PosHigh,Glutathione [[M+H]],63.0,0.32332000913391523,0.8039308335221675,False
NegHigh,PosHigh,Histidine [[M+H]],86.0,0.006237007458873189,0.08134397481013728,False
NegHigh,PosHigh,Imidazoleacetic acid [[M+H]],50.0,1.0,1.0,False
NegHigh,PosHigh,Inositol [[M+Na]],71.0,0.10913637278630947,0.5020273148170236,False
NegHigh,PosHigh,Isomaltose [[M+Na]],86.5,0.005307517542847733,0.07324374209129872,False
NegHigh,PosHigh,L-Arginine [[M+H]],7.0,0.0014183225546052331,0.03510493782265387,True
NegHigh,PosHigh,L-Citrulline [[M+H]],43.0,0.648503379652976,0.9767770736664052,False
NegHigh,PosHigh,L-Threonine [[M+NH4]],24.0,0.057519400395638395,0.3527856557599155,False
NegHigh,PosHigh,L-Valine [[M+H]],46.0,0.8197075378297883,0.9943426613816029,False
NegHigh,PosHigh,Maltose [[M+Na]],87.5,0.004181581369856285,0.06788920341649027,False
NegHigh,PosHigh,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],38.0,0.40331756510948324,0.8765011651198219,False
NegHigh,PosHigh,N2-Acetyl-L-ornithine [[M+H]],5.0,0.0008292462980650054,0.03510493782265387,True
NegHigh,PosHigh,Nicotinamide [[M+H]],55.0,0.7040429655866594,0.9767770736664052,False
NegHigh,PosHigh,Palatinose [[M+Na]],87.5,0.004181581369856285,0.06788920341649027,False
NegHigh,PosHigh,Pidolic Acid [[M+H]],38.0,0.40331756510948324,0.8765011651198219,False
NegHigh,PosHigh,Sucrose [[M+Na]],86.5,0.005307517542847733,0.07324374209129872,False
NegHigh,PosHigh,Thymine [[M+H]],48.0,0.9394400080349974,1.0,False
NegHigh,PosHigh,Trehalose [[M+Na]],87.5,0.004181581369856285,0.06788920341649027,False
NegHigh,PosHigh,Xanthurenic acid [[M+H]],25.5,0.07322047583072937,0.3962519868486531,False
NegHigh,PosHigh,d-Desthiobiotin [[M+H]],44.0,0.7040429655866594,0.9767770736664052,False
