Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.027415383745452507,0.0007286492073379007
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.029180651966635652,0.0010743160399377854
2'-Deoxyuridine [[M+Na]],0.007334177261416388,0.0006743585768408107
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.003870060110512705,0.002323711161695322
ATP [[M+H]],-0.02076130589137801,0.001665872745315009
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.0145966778048209,0.0004571720190178556
Ademetionine [[M+H]],-0.024729655460774245,0.0017919540368905294
Adenine [[M+H]],-0.017287420528065495,0.0017349527215354545
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.027208289167471224,0.0006784512255943883
Adenosine phosphate [[M+H]],-0.02931442814224645,0.001186191742420603
Adenosine-3'-5'-Diphosphate [[M+H]],-0.026675932212746528,0.0005669649563673325
Alpha-D-Glucose [[M+Na]],0.014992480001958802,0.0007554511141247728
Aminoadipate [[M+Na]],-0.02886363771719705,0.00209274164874638
Argininosuccinic acid [[M+H]],-0.022299478585316067,0.001577713820483915
Biotin [[M+H]],-0.023836621074010647,0.0011239702284911402
Choline [[M+H]],-0.021492654974818743,0.00232326508998612
Cytidine [[M+H]],-0.023961910233477515,0.0009568427429763477
D-(+)-Melibiose [[M+K]],0.0040908982322249874,0.00499479799820559
D-(+)-Turanose [[M+Na]],-0.016636616921102704,0.0008266444800315308
D-Fructose [[M+Na]],0.012690178276939815,0.0010678838071643136
D-Galactose [[M+Na]],0.01271133664665583,0.0010920068823415286
D-Glucose [[M+Na]],0.015496388743140195,0.0009517462225448637
D-Mannose [[M+Na]],0.011157392790209109,0.0007616750153833024
Deoxyadenosine [[M+H]],0.0006813009116279299,0.0061564739362539814
Flavin adenine dinucleotide [[M+H]],-0.0065351070972387145,0.005523721605310836
Galactose [[M+Na]],0.012690178276939815,0.0010678838071643136
Glucosamine [[M+H]],-0.01929940836139557,0.0027114844795732445
Glutamic Acid [[M-H2O+H]],0.014032364223176996,0.0024642051945594355
Glutathione [[M+H]],-0.02763763278741393,0.0012509146809271815
Histidine [[M+H]],-0.0003155370026147646,0.0074790842683455155
Imidazoleacetic acid [[M+H]],-0.007161662286544558,0.0011683428125753932
Inositol [[M+Na]],0.014683261230271768,0.0005841927722143699
Isomaltose [[M+Na]],-0.016636616921102704,0.0008266444800315308
L-Arginine [[M+H]],0.0022719613936602696,0.0030545458581041785
L-Citrulline [[M+H]],-0.012662308142195757,0.00358122751054634
L-Lysine [[M+H]],0.009907455680309865,0.0008207290728805555
L-Threonine [[M+NH4]],0.008325881138430464,0.0020648622166734173
Linoleic acid [[M+Na]],-0.003923458833410514,0.0065207900362680765
Maltose [[M+K]],0.0040908982322249874,0.00499479799820559
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],6.329980395449227e-05,0.005579596802614016
N2-Acetyl-L-ornithine [[M+H]],0.003170854062797696,0.0028429232124688275
Nicotinamide [[M+H]],-0.003288977446297548,0.0064090515081751615
Oleic acid [[M+Na]],0.001973374811320863,0.0007792546506202521
P-Hydroxybenzoic Acid [[M-H2O+H]],-0.0029946537745376353,0.005577260168732505
Palatinose [[M+K]],0.004123950341920274,0.004937322958037516
Phenylethyl alcohol [[M+H]],0.0021908982753189713,0.004635010193910733
Pidolic Acid [[M+H]],0.014333979602556135,0.003046537382462808
Proline [[M+NH4]],0.011372553311534564,0.0054408483458135435
Spermidine [[M+H]],-0.01067555564251315,0.0022975544508492102
Sucrose [[M+K]],0.008641923246192762,0.0031300068526118364
Thymine [[M+H]],-0.0071969182445339825,0.00015836604510796904
Trehalose [[M+K]],0.0040908982322249874,0.00499479799820559
Xanthurenic acid [[M+H]],-0.00734514136636371,0.004950349275681708
d-Desthiobiotin [[M+Na]],0.005159893269850128,0.0021990367884247397
gamma-Glutamylcysteine [[M+H]],0.004571418887703737,0.0006529951928240344
