,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],0.19740218757943737,-0.10462797209170509,0.022144172580058744,-0.16593307240448296,-0.09557184771990954
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.2130605957410317,0.09140094450227963,0.14762678810880125,0.04651965805359879,0.0002919894442890842
2'-Deoxyuridine [[M+Na]],-0.020277526200487034,-0.0011738230437343523,0.19528117846068466,-0.0682639427005506,0.044389175033710676
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.09710902001027784,-0.0384093792680936,-0.20754490796993288,0.3378809162239492,-0.05572820049932221
ATP [[M+H]],0.1737366911548837,-0.10081962729521234,0.0014822644762690106,-0.05200593667963703,-0.17544807989834563
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.0997793720267901,-0.10306349330882963,0.04376916279169545,-0.02766698718128878,-0.09878292451284991
Ademetionine [[M+H]],0.18113674493925222,-0.051810105118798785,-0.045207514808359335,0.07998374136263621,-0.04929609498602415
Adenine [[M+H]],0.1895467362245398,0.0835894288221284,0.24499955096447687,-0.20473546825529254,0.04576006604930598
Adenosine phosphate [[M+H]],0.2165252145651103,0.07136741715921327,0.11870065053424125,0.02072927935963525,0.035585099981625436
Adenosine-3'-5'-Diphosphate [[M+H]],0.19912100192324916,-0.10308847304684925,0.015132269353915576,-0.14892485146710407,-0.09367627544937983
Alpha-D-Glucose [[M+Na]],-0.11474940606570527,-0.07812537630319445,0.21243860688037303,0.09127282987360741,0.1696606245084802
Aminoadipate [[M+Na]],0.22183542457993474,-0.0020775293802885266,0.10282613406817559,0.01535802719911219,-0.0521882457686802
Argininosuccinic acid [[M+H]],0.1920591641014297,0.14114948646524858,0.12553504010800554,0.1522348748240824,0.03323715320228513
Biotin [[M+H]],0.20019622666511933,0.08321352878380867,0.09962890977652417,0.1112895421289757,-0.005518197180166421
Choline [[M+H]],0.22333001057850382,-0.006106814368303828,0.1188697041932839,-0.09299872719259303,0.024045377270440586
