Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	11.0	0.4857142857142857	12243.123804065768	9881.871521032372	0.8012034477150757
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	11.0	0.4857142857142857	7451.04221574779	5273.380090077224	0.8012034477150757
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	7.0	0.8857142857142857	938.9557040294047	785.3855387038034	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	9.0	0.8857142857142857	102.98255813953489	68.93517988741779	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	ATP [[M+H]]	13.0	0.2	2771.1395348837214	1673.3906855445903	0.6133333333333334
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	12.0	0.34285714285714286	736.4612366876356	351.77496602939846	0.7168831168831169
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	9.0	0.8857142857142857	3431.0427501631684	3216.77448981092	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	8.0	1.0	9014.046511627908	8888.819070617177	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	10.0	0.6857142857142857	42000.510491723704	36283.56281148469	0.9161825726141078
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	11.0	0.4857142857142857	10794.611120869307	8882.10002005683	0.8012034477150757
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Alpha-D-Glucose [[M+Na]]	3.0	0.2	23.18307070483634	262.47936639922386	0.6133333333333334
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	8.0	1.0	2994.8020950451046	3164.145985903513	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Argininosuccinic acid [[M+H]]	10.0	0.6857142857142857	5013.810486066555	4538.741303692792	0.9161825726141078
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Biotin [[M+H]]	7.0	0.8857142857142857	436.77963714700803	488.9666763000547	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Choline [[M+H]]	7.0	0.8857142857142857	1970.357684932304	2373.1000762369604	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	9.0	0.8857142857142857	5651.575605693462	5507.7521788707545	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	8.0	1.0	1317.2567843770394	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Turanose [[M+Na]]	8.0	1.0	1317.2567843770394	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Fructose [[M+Na]]/D-Galactose [[M+Na]]/Galactose [[M+Na]]	1.0	0.05714285714285714	46.58996492256834	82.12114773397346	0.39148936170212767
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Glucose [[M+Na]]	3.0	0.2	36.34339534812483	260.85494171779084	0.6133333333333334
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-Mannose [[M+Na]]	2.0	0.11428571428571428	30.260850539963943	61.78421403775863	0.5366666666666667
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine [[M+H]]	9.0	0.8857142857142857	1940.0455545035384	1846.8787081253165	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	8.0	1.0	2005.921087155864	2872.3864299042953	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutathione [[M+H]]	9.0	0.8857142857142857	31459.866057472733	29686.92275809782	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Histidine [[M+H]]	4.0	0.34285714285714286	753.6055620681608	1594.2961408234073	0.7168831168831169
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	4.0	0.34285714285714286	250.19186046511626	490.8354899728816	0.7168831168831169
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Inositol [[M+Na]]	5.0	0.4857142857142857	41.31161126490096	263.66576662117825	0.8012034477150757
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Arginine [[M+H]]	10.0	0.6857142857142857	39543.16192352453	35247.00513356656	0.9161825726141078
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Citrulline [[M+H]]	9.0	0.8857142857142857	1950.5999413785466	2094.4382275851785	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	13.0	0.2	729.2584707188237	28.264395764333283	0.6133333333333334
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Threonine [[M+NH4]]	0.0	0.02857142857142857	62.10525489144974	159.99903254000986	0.24210526315789474
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Tryptophan [[M-H2O+H]]	8.0	1.0	45.97302442755705	34.40994709428905	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Valine [[M+H]]	6.0	0.6857142857142857	1126.4146945172852	1578.1812607458444	0.9161825726141078
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Maltose [[M+Na]]	8.0	1.0	1317.2567843770394	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	8.0	1.0	1076.1832968321503	1291.4411704518247	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N1-Acetylspermine [[M+Na]]	4.0	0.34285714285714286	6.327573681305086	20.289789182752386	0.7168831168831169
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	8.0	1.0	628.6309078923164	606.7667948488257	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide [[M+H]]	7.0	0.8857142857142857	1395.2715206350795	1632.4946842097575	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Palatinose [[M+Na]]	8.0	1.0	1317.2567843770394	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	8.0	1.0	2993.15846989501	3763.8294231916875	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	7.0	0.8857142857142857	1284.7571536532582	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	5.0	0.4857142857142857	252.30232558139534	427.24076104545406	0.8012034477150757
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	8.0	1.0	1317.2567843770394	1270.8298332248028	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Xanthurenic acid [[M+H]]	8.0	1.0	162.9846202911674	320.491307237509	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	d-Desthiobiotin [[M+H]]	7.0	0.8857142857142857	1690.5436046511627	2016.5507380073802	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	8.0	1.0	873.5704115282883	797.0801186398319	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	15.0	0.2857142857142857	12243.123804065768	7609.562624254473	0.7168831168831169
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	4.0	0.19047619047619047	7451.04221574779	10184.590425531916	0.6133333333333334
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyuridine [[M+Na]]	11.0	0.9047619047619049	938.9557040294047	928.740861088546	1.0
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	5'-Deoxy-5'-Methylthioadenosine [[M+H]]	11.0	0.9047619047619049	102.98255813953489	72.32978723404254	1.0
