,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.0693982971549328,0.008912581484799955
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.03786490320613242,0.013739936348818265
2'-Deoxyuridine [[M+Na]],-0.05083346019399379,0.023430152650245485
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.05713653254392002,0.008367247543735525
ATP [[M+H]],-0.09444852480259165,0.014300349274088965
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.0838923906598647,0.01446734555415535
Ademetionine [[M+H]],0.025341622112283836,0.024492919912003037
Adenine [[M+H]],-0.025549855733751826,0.010239486234011778
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.06929755059611338,0.008779883468875446
Adenosine phosphate [[M+H]],0.051259969487686685,0.014119441828249722
Adenosine-3'-5'-Diphosphate [[M+H]],-0.07226005013649303,0.008566725486470039
Alpha-D-Glucose [[M+Na]],0.020990543048975886,0.01548301370243917
Aminoadipate [[M+Na]],-0.005819074069408252,0.015976608808119075
Argininosuccinic acid [[M+H]],0.06596525192567815,0.015694835542819717
Biotin [[M+H]],0.0635470667320761,0.01235101474555515
Choline [[M+H]],-0.034476316943100535,0.019933713599299872
Cytidine [[M+H]],0.04175491569862885,0.018772295074747283
D-(+)-Melibiose [[M+Na]],0.01192100470646236,0.008779916913570548
D-(+)-Turanose [[M+Na]],0.01192100470646236,0.008779916913570548
D-Fructose [[M+Na]],0.03214992817983761,0.01734881303103322
D-Galactose [[M+Na]],0.03214992817983761,0.01734881303103322
D-Glucose [[M+Na]],0.012052296957539396,0.022377305696684308
Galactose [[M+Na]],0.03214992817983761,0.01734881303103322
Glucosamine [[M+H]],0.03800670001396996,0.02021442188098381
Glutamic Acid [[M-H2O+H]],-0.07361359381653543,0.012644016609479985
Glutathione [[M+H]],0.049390184845493346,0.008946876586857961
Histidine [[M+H]],0.05888311925340049,0.016382890115514356
Imidazoleacetic acid [[M+H]],-0.0373647038675181,0.018350305349730797
Inositol [[M+Na]],0.04095887269373456,0.004506499347218593
Isomaltose [[M+Na]],0.01192100470646236,0.008779916913570548
L-Arginine [[M+H]],-0.08451829385694323,0.004753157275226619
L-Citrulline [[M+H]],0.05786601854120936,0.010612972471053618
L-Threonine [[M+NH4]],-0.03809005294229038,0.022847308807852632
L-Valine [[M+H]],-0.006363808371698285,0.013456856168011375
Maltose [[M+Na]],0.01192100470646236,0.008779916913570548
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.04693430268490631,0.017835433931869253
N2-Acetyl-L-ornithine [[M+H]],-0.016990730658038238,0.014508967658137863
Nicotinamide [[M+H]],-0.013165432549327729,0.0243911098893741
Palatinose [[M+Na]],0.01192100470646236,0.008779916913570548
Pidolic Acid [[M+H]],-0.08672295600775017,0.011732727086877568
Sucrose [[M+Na]],0.011019234788924966,0.008976816149251549
Thymine [[M+H]],-0.04535219753213463,0.014028807100428293
Trehalose [[M+Na]],0.01192100470646236,0.008779916913570548
Xanthurenic acid [[M+H]],0.02867804174724051,0.0081482732688675
d-Desthiobiotin [[M+H]],-0.050160294323658317,0.00894938165879255
gamma-Glutamylcysteine [[M+H]],-0.052719641145155295,0.009283717280278835
