,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.12667297480353532,0.025444898145540063
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.026682209852454286,0.025945990424456427
2'-Deoxyuridine [[M+Na]],0.036740786700584484,0.0399133815086304
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.030065753550084666,0.04361267943092402
ATP [[M+H]],-0.15717591331416875,0.021765714079556773
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.014222996305722848,0.04728880666181252
Ademetionine [[M+H]],-0.014910507134958118,0.031152635617432336
Adenine [[M+H]],0.050035320608038,0.03201128270224544
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.12522313414736777,0.025341629827321962
Adenosine phosphate [[M+H]],0.021665253203420467,0.0198103963931291
Adenosine-3'-5'-Diphosphate [[M+H]],-0.1217137732820015,0.026467860865510114
Alpha-D-Glucose [[M+Na]],0.006212408718142339,0.022030873967872892
Aminoadipate [[M+Na]],-0.012716196667485507,0.02840632706399335
Argininosuccinic acid [[M+H]],-0.009850934634510141,0.02349727747326848
Biotin [[M+H]],0.04915941173648407,0.03250850885049559
Choline [[M+H]],0.08183655999367363,0.033372073542757015
Cytidine [[M+H]],-0.054965868007800435,0.04816289484330536
D-(+)-Melibiose [[M+Na]],-0.05990291044963975,0.02033752355172944
D-(+)-Turanose [[M+Na]],-0.05990291044963975,0.02033752355172944
D-Fructose [[M+Na]],-0.07721810868146264,0.015918212663173333
D-Galactose [[M+Na]],-0.07721810868146264,0.015918212663173333
D-Glucose [[M+Na]],0.031090867520391703,0.023786222535894016
Galactose [[M+Na]],-0.07721810868146264,0.015918212663173333
Glucosamine [[M+H]],-0.013368814762705716,0.02339149820062805
Glutamic Acid [[M-H2O+H]],-0.019576147949561657,0.049141203643318504
Glutathione [[M+H]],-0.046535252356025764,0.020706937661697705
Histidine [[M+H]],0.12109158408338727,0.025693072982848474
Imidazoleacetic acid [[M+H]],0.01715977239351555,0.041260869311815086
Inositol [[M+Na]],-0.020097512644163592,0.01895886172692584
Isomaltose [[M+Na]],-0.05990291044963975,0.02033752355172944
L-Arginine [[M+H]],0.07660078946639959,0.02533071382614544
L-Citrulline [[M+H]],-0.017251733568401546,0.041838272544916934
L-Threonine [[M+NH4]],0.06476394040885042,0.02116470270046992
L-Valine [[M+H]],-0.06423127849580573,0.030934529431419392
Maltose [[M+Na]],-0.059007513822938576,0.020259057632106222
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.07494447799541462,0.032162920340324655
N2-Acetyl-L-ornithine [[M+H]],0.10852992280892648,0.016544014876176138
Nicotinamide [[M+H]],-0.05307836540083937,0.028722743826095985
Palatinose [[M+Na]],-0.05990291044963975,0.02033752355172944
Pidolic Acid [[M+H]],-0.01953418804406086,0.03156044954172273
Sucrose [[M+Na]],-0.058016432297631176,0.021115662726225445
Thymine [[M+H]],0.003423470701724025,0.04802374148977209
Trehalose [[M+Na]],-0.05990291044963975,0.02033752355172944
Xanthurenic acid [[M+H]],0.05732381124972435,0.018774708661784063
d-Desthiobiotin [[M+H]],0.004096095095701677,0.04385011753345294
gamma-Glutamylcysteine [[M+H]],-0.029006985020416525,0.03589077348845081
