,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.07898510806378849,0.039515111944290034
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.0312093951153674,0.011639109236757596
2'-Deoxyuridine [[M+Na]],0.057717093440176816,0.03284932312886122
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.106855988706761,0.04385249499001307
ATP [[M+H]],0.003594286478735008,0.06874581361266907
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.03152421177973381,0.034002169629763594
Ademetionine [[M+H]],-0.12226845731806049,0.04394027914717191
Adenine [[M+H]],0.21147703965403347,0.05513599049529005
Adenosine 5'-diphosphate (ADP) [[M+H]],0.07038419436533495,0.0367464237748563
Adenosine phosphate [[M+H]],0.07820951004426314,0.01748876665049015
Adenosine-3'-5'-Diphosphate [[M+H]],0.0664026258834861,0.0378560283794122
Alpha-D-Glucose [[M+Na]],0.07748567239733767,0.029206810393649342
Aminoadipate [[M+Na]],0.18067677980109517,0.0728606147958246
Argininosuccinic acid [[M+H]],0.04414838128796415,0.02649236241133065
Biotin [[M+H]],0.06867399747313632,0.03888322519350731
Choline [[M+H]],0.003210118304842749,0.022448568518530082
Cytidine [[M+H]],0.05979392329177693,0.019267867257456692
D-(+)-Melibiose [[M+Na]],-0.003793752823838274,0.008581452505430603
D-(+)-Turanose [[M+Na]],-0.003793752823838274,0.008581452505430603
D-Fructose [[M+Na]],-0.037171188670351525,0.011809407282319533
D-Galactose [[M+Na]],-0.03728413454138689,0.011831568352635463
D-Glucose [[M+Na]],0.07747226242545077,0.029201767391203975
Galactose [[M+Na]],-0.037171188670351525,0.011809407282319533
Glucosamine [[M+H]],0.1085824080203635,0.019057295759619307
Glutamic Acid [[M-H2O+H]],-0.015584391324390778,0.039326684177281496
Glutathione [[M+H]],0.16722925534826263,0.03924214292213044
Histidine [[M+H]],-0.022394920973949784,0.033451351349022926
Imidazoleacetic acid [[M+H]],0.04333031589100725,0.016404565130645265
Inositol [[M+Na]],0.0932947517682429,0.03475095061089862
Isomaltose [[M+Na]],-0.003793752823838274,0.008581452505430603
L-Arginine [[M+H]],0.036889927126670975,0.02756639695683973
L-Citrulline [[M+H]],-0.03081366215562479,0.022611199051815706
L-Threonine [[M+NH4]],-0.027434815574688354,0.025646677685818943
L-Valine [[M+H]],0.12064357541735907,0.03916130644842506
Maltose [[M+Na]],-0.003793752823838274,0.008581452505430603
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.06118062885318412,0.03508608178334908
N2-Acetyl-L-ornithine [[M+H]],0.038096622129336975,0.015361964051439431
Nicotinamide [[M+H]],0.0989142071018523,0.03251988401791618
Palatinose [[M+Na]],-0.003793752823838274,0.008581452505430603
Pidolic Acid [[M+H]],-0.039271636342407386,0.03598738680012822
Sucrose [[M+Na]],-0.003856208197934063,0.008588437291160869
Thymine [[M+H]],0.11764672729246231,0.026048237045991678
Trehalose [[M+Na]],-0.003793752823838274,0.008581452505430603
Xanthurenic acid [[M+H]],-0.013429635360382906,0.03639528704621481
d-Desthiobiotin [[M+H]],0.12105866111712955,0.03774248746701199
gamma-Glutamylcysteine [[M+H]],-0.01274340424014307,0.018803747313027867
