,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.14331589723345856,0.00962531471070904
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.08108643733885809,0.006002129786762361
2'-Deoxyuridine [[M+Na]],2.7487981819287326e-05,0.008348576176553704
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.02310931203813967,0.00837297792972801
ATP [[M+H]],-0.08705631290686631,0.00884067748131026
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.16432417835043914,0.03213150758763954
Ademetionine [[M+H]],-0.06588701880675532,0.0113832654536245
Adenine [[M+H]],-0.10983946629465258,0.011414795136220724
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.14450986095904875,0.010205087451368743
Adenosine phosphate [[M+H]],-0.10343781993195161,0.004322280941749793
Adenosine-3'-5'-Diphosphate [[M+H]],-0.1472751747285831,0.011455148727966408
Alpha-D-Glucose [[M+Na]],0.018524773995650848,0.004046018888652323
Aminoadipate [[M+Na]],-0.18685002197482106,0.007616360629240502
Argininosuccinic acid [[M+H]],-0.05591395485475308,0.0034107276785857905
Biotin [[M+H]],-0.06252849436899131,0.008682205169670868
Choline [[M+H]],-0.038982291467588456,0.010847659299060659
Cytidine [[M+H]],-0.1061628770409921,0.009881337834617837
D-(+)-Melibiose [[M+Na]],-0.040771822108335604,0.0017251835578354648
D-(+)-Turanose [[M+Na]],-0.0405071197188824,0.0017394470721220914
D-Fructose [[M+Na]],-0.009257487327658754,0.005373731040172151
D-Galactose [[M+Na]],-0.009283584253560689,0.00538900300544177
D-Glucose [[M+Na]],0.029294453005029173,0.0045211984207408915
Galactose [[M+Na]],-0.009257487327658754,0.005373731040172151
Glucosamine [[M+H]],-0.06665056641754769,0.006617128960673017
Glutamic Acid [[M-H2O+H]],0.03606197221931519,0.005858734994927776
Glutathione [[M+H]],-0.12181814715390168,0.0041672488269071765
Histidine [[M+H]],-0.04375695317530199,0.005823940258431988
Imidazoleacetic acid [[M+H]],-0.01320028086322358,0.005078467604377804
Inositol [[M+Na]],0.0047839744879172846,0.005151105445631814
Isomaltose [[M+Na]],-0.0405071197188824,0.0017394470721220914
L-Arginine [[M+H]],-0.024220123402197695,0.00939860574187254
L-Citrulline [[M+H]],-0.04937903972159977,0.010312714426068003
L-Threonine [[M+NH4]],0.04375356105149677,0.006844459955995087
L-Valine [[M+H]],-0.007292758816876499,0.006384990381947884
Maltose [[M+Na]],-0.04096571992864063,0.001744066822450796
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.07214888709162766,0.013789721271653442
N2-Acetyl-L-ornithine [[M+H]],0.0074286125694249,0.0061370374266691
Nicotinamide [[M+H]],0.08895186049076242,0.00706906101547168
Palatinose [[M+Na]],-0.040771822108335604,0.0017251835578354648
Pidolic Acid [[M+H]],0.05405728550200994,0.003923299316586462
Sucrose [[M+Na]],-0.04083547537362715,0.0017633037515304788
Thymine [[M+H]],-0.005014423168306742,0.0036665330999547632
Trehalose [[M+Na]],-0.040771822108335604,0.0017251835578354648
Xanthurenic acid [[M+H]],0.03752016115784985,0.006648456220557271
d-Desthiobiotin [[M+H]],-0.0940172841949096,0.009316187999663895
gamma-Glutamylcysteine [[M+H]],0.044110959641415114,0.00678370610783443
