	plateID	well	CONCuM	Summary
0	plate_1	A01	Alanine: 10 mM & Spermine: 0 mM	Growth with alanine supplementation, no spermine treatment.
1	plate_1	A02	Media control	
2	plate_1	A03	Glutamate: 5 mM & Spermine: 0 mM	Growth with low glutamate supplementation, no spermine treatment.
3	plate_1	A04	Glutamate: 10 mM & Spermine: 0 mM	Growth with high glutamate supplementation, no spermine treatment.
4	plate_1	A05	Glutamate: 10 mM & Spermine: 1 mM	Growth with high glutamate supplementation and spermine treatment.
5	plate_1	A06	Glutamate: 5 mM & Spermine: 1 mM	Growth with low glutamate supplementation and spermine treatment.
6	plate_1	A07	Glutamate: 10 mM & Spermine: 1 mM	Growth with high glutamate supplementation and spermine treatment.
7	plate_1	A08	None: 0 mM & Spermine: 0 mM	Baseline growth with no supplementation or treatment.
8	plate_1	A09	Glutamate: 10 mM & Spermine: 1 mM	Growth with high glutamate supplementation and spermine treatment.
9	plate_1	A10	Media control	
10	plate_1	A11	Alanine: 10 mM & Spermine: 1 mM	Growth with alanine supplementation and spermine treatment.
11	plate_1	A12	None: 0 mM & Spermine: 1 mM	Growth with spermine treatment, no supplementation.
12	plate_1	B01	Glutamate: 10 mM & Spermine: 0 mM	Growth with high glutamate supplementation, no spermine treatment.
13	plate_1	B02	Glutamate: 5 mM & Spermine: 1 mM	Growth with low glutamate supplementation and spermine treatment.
14	plate_1	B03	Alanine: 10 mM & Spermine: 0 mM	Growth with alanine supplementation, no spermine treatment.
15	plate_1	B04	Glutamate: 10 mM & Spermine: 1 mM	Growth with high glutamate supplementation and spermine treatment.
16	plate_1	B05	Media control	
17	plate_1	B06	Alanine: 10 mM & Spermine: 1 mM	Growth with alanine supplementation and spermine treatment.
18	plate_1	B07	Media control	
19	plate_1	B08	Glutamate: 10 mM & Spermine: 0 mM	Growth with high glutamate supplementation, no spermine treatment.
20	plate_1	B09	Glutamate: 5 mM & Spermine: 0 mM	Growth with low glutamate supplementation, no spermine treatment.
21	plate_1	B10	None: 0 mM & Spermine: 1 mM	Growth with spermine treatment, no supplementation.
22	plate_1	B11	Alanine: 10 mM & Spermine: 0 mM	Growth with alanine supplementation, no spermine treatment.
23	plate_1	B12	None: 0 mM & Spermine: 0 mM	Baseline growth with no supplementation or treatment.
24	plate_1	C01	Glutamate: 5 mM & Spermine: 0 mM	Growth with low glutamate supplementation, no spermine treatment.
25	plate_1	C02	Glutamate: 10 mM & Spermine: 1 mM	Growth with high glutamate supplementation and spermine treatment.
26	plate_1	C03	None: 0 mM & Spermine: 0 mM	Baseline growth with no supplementation or treatment.
27	plate_1	C04	Media control	
28	plate_1	C05	Alanine: 10 mM & Spermine: 0 mM	Growth with alanine supplementation, no spermine treatment.
29	plate_1	C06	None: 0 mM & Spermine: 1 mM	Growth with spermine treatment, no supplementation.
30	plate_1	C07	Glutamate: 10 mM & Spermine: 0 mM	Growth with high glutamate supplementation, no spermine treatment.
31	plate_1	C08	Media control	
32	plate_1	C09	None: 0 mM & Spermine: 1 mM	Growth with spermine treatment, no supplementation.
33	plate_1	C10	Glutamate: 10 mM & Spermine: 0 mM	Growth with high glutamate supplementation, no spermine treatment.
