well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary
A1	0.0456	0.038166666666666675	0.02253333333333335	0.013800000000000015	0.010099999999999998	0.016133333333333322	0.02159999999999998	0.02318888888888888	0.019144444444444436	0.014022222222222222	0.01845555555555556	0.02946666666666668	0.039566666666666674	0.03782222222222222	0.033033333333333324	0.025077777777777765	0.022388888888888875	0.022922222222222205	0.024422222222222217	0.028055555555555556	0.030711111111111116	0.038088888888888894	0.044688888888888896	0.04584444444444446	0.04458888888888889	0.041977777777777774	0.047699999999999985	0.05354444444444443	0.059066666666666656	0.059622222222222215	0.06406666666666666	0.06743333333333333	0.0720111111111111	0.08028888888888887	0.08546666666666665	0.09054444444444443	0.08817777777777779	0.09445555555555556	0.10128888888888889	0.11271111111111111	0.12280000000000002	0.12924444444444447	0.13770000000000002	0.14183333333333334	0.1504777777777778	0.1575777777777778	0.16895555555555555	0.18418888888888887	0.19997777777777778	0.22082222222222217	0.2573111111111111	0.29885555555555554	0.33673333333333333	0.3519222222222222	0.36575555555555556	0.37929999999999997	0.4043666666666667	0.42091111111111107	0.46022222222222225	0.5003444444444445	0.5393555555555556	Growth with alanine supplementation, no spermine treatment.
A2	0.019766666666666665	0.016533333333333327	0.021266666666666666	0.022633333333333328	0.028000000000000008	0.026099999999999995	0.02589999999999999	0.026188888888888873	0.026711111111111102	0.02585555555555555	0.025322222222222218	0.0257	0.022866666666666664	0.022755555555555546	0.02099999999999999	0.02791111111111111	0.02875555555555555	0.028055555555555556	0.02205555555555556	0.0178888888888889	0.02154444444444445	0.021622222222222227	0.026955555555555566	0.02924444444444445	0.033688888888888886	0.036211111111111104	0.030699999999999995	0.033277777777777774	0.028766666666666663	0.03332222222222222	0.024466666666666664	0.026399999999999996	0.026744444444444442	0.025988888888888877	0.02313333333333332	0.02384444444444443	0.02517777777777776	0.02895555555555554	0.02735555555555554	0.031644444444444426	0.029233333333333316	0.029277777777777753	0.026199999999999984	0.028233333333333322	0.026611111111111113	0.03001111111111111	0.031855555555555554	0.03165555555555555	0.03361111111111111	0.03475555555555556	0.03587777777777778	0.037955555555555555	0.03046666666666666	0.025422222222222218	0.019388888888888872	0.019133333333333325	0.02153333333333333	0.02294444444444445	0.02622222222222223	0.030577777777777787	0.03355555555555556	Media control
A3	0.0198888888888889	0.014522222222222233	0.006144444444444452	0.010888888888888884	0.013311111111111107	0.017188888888888882	0.015422222222222217	0.018222222222222213	0.014344444444444437	0.01363333333333334	0.018622222222222224	0.019244444444444453	0.022277777777777785	0.02144444444444445	0.030888888888888893	0.023866666666666658	0.02208888888888888	0.016588888888888875	0.030388888888888892	0.03881111111111112	0.041900000000000014	0.04144444444444445	0.03367777777777778	0.034877777777777785	0.03155555555555556	0.031811111111111116	0.039522222222222216	0.042477777777777774	0.04842222222222222	0.052055555555555556	0.0537	0.05706666666666666	0.060133333333333316	0.06456666666666666	0.07138888888888889	0.07921111111111111	0.0931	0.0895111111111111	0.09066666666666667	0.09316666666666666	0.10896666666666666	0.11916666666666664	0.13285555555555553	0.1429222222222222	0.15781111111111112	0.16964444444444446	0.18484444444444445	0.20281111111111114	0.22565555555555558	0.2540222222222222	0.2851111111111111	0.3119111111111111	0.34965555555555555	0.3887444444444444	0.4337111111111111	0.4637222222222222	0.5042888888888889	0.5456555555555557	0.6107222222222223	0.6680111111111112	0.7129888888888889	Growth with low glutamate supplementation, no spermine treatment.
A4	0.027122222222222225	0.021388888888888888	0.010711111111111107	0.01208888888888889	0.00994444444444445	0.02145555555555556	0.025122222222222223	0.025622222222222213	0.014111111111111102	0.016166666666666663	0.01952222222222222	0.02167777777777778	0.012744444444444447	0.013411111111111115	0.014255555555555549	0.019333333333333324	0.025055555555555543	0.025955555555555548	0.03518888888888888	0.03414444444444444	0.03629999999999999	0.03324444444444443	0.03264444444444442	0.041677777777777765	0.03672222222222221	0.041977777777777774	0.037022222222222206	0.042877777777777765	0.040622222222222205	0.04645555555555555	0.04303333333333332	0.0463	0.050699999999999995	0.05480000000000001	0.05795555555555556	0.06481111111111111	0.074	0.0784111111111111	0.07826666666666666	0.08356666666666668	0.09176666666666666	0.09746666666666666	0.10725555555555556	0.11325555555555557	0.1271777777777778	0.13744444444444448	0.15337777777777778	0.17124444444444445	0.18998888888888887	0.21288888888888888	0.2358444444444444	0.2587777777777778	0.2905555555555555	0.32254444444444447	0.3648777777777778	0.4058888888888889	0.4497555555555555	0.48788888888888887	0.5346555555555556	0.585111111111111	0.6254888888888889	Growth with high glutamate supplementation, no spermine treatment.
A5	0.02741111111111111	0.01763333333333333	0.007855555555555551	0.0	0.0	0.001988888888888892	0.001988888888888892	0.0056222222222222324	0.009177777777777785	0.009277777777777782	0.0062777777777777806	0.0009222222222222224	0.0008222222222222242	0.00018888888888888658	0.0012222222222222172	0.0012222222222222172	0.0012222222222222172	0.0	0.0	0.001444444444444452	0.009622222222222226	0.009622222222222226	0.01156666666666666	0.005566666666666674	0.014255555555555558	0.010866666666666672	0.008688888888888885	0.013999999999999993	0.020255555555555544	0.027166666666666662	0.013166666666666669	0.014400000000000005	0.01629999999999999	0.02317777777777777	0.020922222222222203	0.023966666666666653	0.021311111111111097	0.0299	0.027366666666666668	0.034866666666666664	0.03155555555555555	0.03479999999999999	0.03736666666666665	0.04275555555555554	0.051177777777777766	0.053	0.056	0.05681111111111111	0.06538888888888889	0.07435555555555555	0.08225555555555557	0.09432222222222224	0.10563333333333334	0.11613333333333332	0.1262	0.16196666666666668	0.1760777777777778	0.18589999999999998	0.17707777777777778	0.19426666666666667	0.2091222222222222	Growth with high glutamate supplementation and spermine treatment.
A6	0.02404444444444444	0.01733333333333333	0.012900000000000003	0.011188888888888896	0.008555555555555566	0.006133333333333342	0.0024888888888888925	0.0024888888888888925	0.005944444444444447	0.007577777777777785	0.010477777777777789	0.004755555555555559	0.007433333333333338	0.004533333333333334	0.004311111111111117	0.0	4.444444444443955e-05	0.0009777777777777812	0.003922222222222225	0.009155555555555556	0.01843333333333332	0.021377777777777756	0.025388888888888878	0.025722222222222212	0.025422222222222225	0.023833333333333328	0.013722222222222219	0.020166666666666666	0.021855555555555562	0.03276666666666667	0.023722222222222217	0.02145555555555555	0.020322222222222214	0.026377777777777778	0.024988888888888883	0.02566666666666667	0.020811111111111103	0.021833333333333333	0.016133333333333322	0.022299999999999997	0.024455555555555546	0.02733333333333333	0.025633333333333324	0.024888888888888887	0.03144444444444444	0.033700000000000015	0.03396666666666667	0.03044444444444445	0.03162222222222222	0.03652222222222221	0.03982222222222221	0.046355555555555546	0.0545	0.05986666666666667	0.06436666666666667	0.07663333333333334	0.08061111111111113	0.08330000000000001	0.07897777777777779	0.08763333333333334	0.09422222222222221	Growth with low glutamate supplementation and spermine treatment.
A7	0.015922222222222226	0.009411111111111115	0.0029000000000000046	0.0	0.0	0.0034333333333333347	0.0037444444444444482	0.0037444444444444482	0.010255555555555565	0.00994444444444445	0.01257777777777779	0.009111111111111117	0.01313333333333335	0.011244444444444454	0.009633333333333346	0.005611111111111113	0.006644444444444443	0.005200000000000001	0.01101111111111111	0.01794444444444444	0.03005555555555554	0.03158888888888887	0.039133333333333326	0.036366666666666665	0.03676666666666668	0.02730000000000001	0.018755555555555564	0.02365555555555555	0.03282222222222222	0.04692222222222222	0.041777777777777775	0.041	0.04016666666666666	0.04426666666666667	0.036966666666666655	0.03578888888888888	0.03993333333333332	0.0506	0.057288888888888896	0.06646666666666669	0.07290000000000002	0.07638888888888891	0.08084444444444445	0.08751111111111111	0.09975555555555556	0.10741111111111112	0.11287777777777779	0.11696666666666666	0.12498888888888889	0.13831111111111113	0.1501888888888889	0.16333333333333336	0.1794111111111111	0.19266666666666665	0.20975555555555556	0.22025555555555554	0.2353333333333333	0.25166666666666665	0.2757555555555556	0.2997666666666667	0.3151888888888889	Growth with high glutamate supplementation and spermine treatment.
A8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037333333333333385	0.0037333333333333385	0.0037333333333333385	0.0	0.0	0.00473333333333333	0.01055555555555556	0.01792222222222223	0.028766666666666673	0.04644444444444445	0.06286666666666667	0.07991111111111111	0.10346666666666667	0.1618	0.21606666666666666	0.3030333333333333	0.38866666666666666	0.48695555555555553	0.5666888888888888	0.6462333333333333	0.726111111111111	0.7963555555555555	0.8480333333333333	0.8900777777777776	0.9422666666666665	0.997788888888889	1.0586111111111112	1.1134444444444445	1.1713777777777776	1.2272666666666667	1.2843	1.3526777777777779	1.3983888888888891	1.460411111111111	1.5114777777777775	1.5802777777777777	1.6293999999999997	1.6567222222222222	Baseline growth with no supplementation or treatment.
A9	0.002533333333333332	0.001266666666666666	0.0	0.0017888888888888954	0.0017888888888888954	0.006844444444444449	0.009033333333333338	0.012666666666666678	0.010933333333333342	0.011722222222222226	0.014988888888888885	0.015611111111111112	0.015833333333333328	0.014266666666666658	0.010433333333333322	0.007433333333333329	0.0067000000000000115	0.011011111111111119	0.013422222222222233	0.016033333333333333	0.018777777777777793	0.02208888888888889	0.022733333333333328	0.024633333333333313	0.028622222222222216	0.030644444444444436	0.029111111111111115	0.029211111111111104	0.0294	0.031822222222222224	0.030855555555555563	0.03296666666666667	0.03687777777777778	0.041166666666666664	0.042377777777777785	0.055	0.061733333333333335	0.07296666666666667	0.07086666666666666	0.07786666666666665	0.08118888888888888	0.09048888888888888	0.09563333333333333	0.10497777777777777	0.11512222222222222	0.12396666666666666	0.13097777777777778	0.13463333333333333	0.14185555555555554	0.15261111111111111	0.16464444444444445	0.1822111111111111	0.19863333333333333	0.21316666666666664	0.22934444444444446	0.25522222222222224	0.2733111111111111	0.28654444444444443	0.2938111111111111	0.3134333333333333	0.3281555555555556	Growth with high glutamate supplementation and spermine treatment.
A10	0.0024444444444444435	0.0024444444444444435	0.0025777777777777713	0.0001333333333333279	0.0001333333333333279	0.008322222222222222	0.012933333333333333	0.018166666666666664	0.011966666666666653	0.009188888888888877	0.009288888888888874	0.009644444444444428	0.010199999999999978	0.005633333333333314	0.003933333333333326	0.001966666666666663	0.0044000000000000055	0.0044777777777777845	0.005155555555555562	0.005833333333333329	0.008044444444444446	0.010888888888888892	0.008800000000000011	0.010766666666666674	0.011755555555555566	0.012144444444444449	0.007111111111111114	0.007111111111111114	0.009066666666666667	0.014855555555555558	0.011188888888888887	0.010299999999999995	0.010077777777777769	0.010166666666666657	0.009811111111111112	0.0095	0.012366666666666665	0.015033333333333324	0.014099999999999993	0.015099999999999994	0.016088888888888885	0.016588888888888886	0.01743333333333334	0.018111111111111106	0.02115555555555555	0.020233333333333315	0.01747777777777777	0.015499999999999995	0.015155555555555552	0.014077777777777772	0.011777777777777767	0.015744444444444432	0.0195	0.01993333333333334	0.014511111111111114	0.012888888888888885	0.013811111111111107	0.018544444444444447	0.01777777777777778	0.015966666666666667	0.01102222222222222	Media control
