,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.6338840632752302,16.793708843902934
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-116.49991182273416,255.45050219736905
2'-Deoxyuridine [[M+Na]],46.501244493034804,354.53102843072884
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],207.3150648114682,395.90758998164665
Ademetionine [[M+H]],87.02435586962655,224.22606915559894
Adenine [[M+H]],-275.9423857929486,410.48992160777806
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.3653537270718644,16.799560498880737
Adenosine phosphate [[M+H]],124.2132894939812,135.3044476404526
Adenosine-3'-5'-Diphosphate [[M+H]],3.6574084301670857,16.242490716541504
Aminoadipate [[M+Na]],-118.20229851241811,319.66060928857746
Cytidine [[M+H]],69.71568636188087,110.04172471262765
D-(+)-Melibiose [[M+Na]],28.807401052709515,64.41530700895748
D-(+)-Turanose [[M+Na]],31.47574004210809,70.38189437626579
Glucosamine [[M+H]],-246.822514054799,396.9233292824842
Glutamic Acid [[M-H2O+H]],-7.5617258271557946,17.843935134883488
Glutathione [[M+H]],773.1513610593555,1419.3389931486674
Histidine [[M+H]],144.61995964389808,298.4284662079667
Imidazoleacetic acid [[M+H]],-211.58807973617309,346.50307088150504
Isomaltose [[M+Na]],30.014184155769204,67.11375606149707
L-Arginine [[M+H]],39.75172253980482,192.1520380854755
L-Citrulline [[M+H]],-440.52756969326236,688.1681056414725
L-Valine [[M+H]],-20.059935855457336,28.816677966626926
Maltose [[M+Na]],24.565821463211524,54.930846714864316
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],246.50079321298352,605.2247654794699
Nicotinamide [[M+H]],-7.233834810646622,43.047674449982665
O-acetyl-L-serine [[M+H]],-44.52507691054671,72.20338481675178
Palatinose [[M+Na]],23.504144518645045,52.55686489666939
Pidolic Acid [[M+H]],-83.93722538730376,94.89421921927088
Spermine [[M+H]],-7.969373702010787,17.820061335795273
Sucrose [[M+Na]],252.32513472879046,549.9424111009588
Thymine [[M+H]],-14.580538587322915,21.50978100853765
Trehalose [[M+Na]],17.146761516223993,38.34132434425421
gamma-Glutamylcysteine [[M+H]],119.83066988072797,188.92015478411537
