,Mean_Coefficient,SD_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-20.101039354477635,37.642462555467894
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],14.526073200605168,23.32542874535359
2'-Deoxyuridine [[M+Na]],24.61201260052173,17.947036746616853
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-25.8674772608289,26.20903878345338
Ademetionine [[M+H]],12.463296164033455,56.1612009647086
Adenine [[M+H]],10.58601604374643,23.071621267410094
Adenosine phosphate [[M+H]],42.3565860294078,36.56341871341796
Adenosine-3'-5'-Diphosphate [[M+H]],-15.088214497791093,37.22583849244367
Aminoadipate [[M+Na]],57.128434884559276,55.65330281108517
Argininosuccinic acid [[M+H]],41.294159817508806,36.93481683144876
Cytidine [[M+H]],39.48901075916872,47.714574436446846
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]],-10.11165289119909,13.41594066339561
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],-7.876756835325178,11.382928009967053
Deoxyadenosine [[M+H]],39.4338348073303,48.185982166629195
Glucosamine [[M+H]],-5.810652605438806,20.765406104745715
Glutamic Acid [[M-H2O+H]],44.43803054811049,50.579384150164536
Glutathione [[M+H]],62.32614524598998,50.364839000306375
Histidine [[M+H]],-6.029177605943734,44.632312607721765
Imidazoleacetic acid [[M+H]],-14.13547760193361,28.0257755201754
L-Arginine [[M+H]],91.04502149419044,80.49386088585341
L-Citrulline [[M+H]],-62.63176232043263,61.09670081856321
L-Glutamine [[M+H]],-20.735030741926483,26.373664546065587
L-Phenylalanine [[M-H2O+H]],-62.974830691169934,49.846107336128185
L-Valine [[M+H]],-22.09870796182612,34.52914748161765
Maltose [[M+Na]],-7.337140407802319,10.754010480493944
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-3.80565202324531,20.156851421288074
N2-Acetyl-L-ornithine [[M+H]],43.52779364537574,68.68637750968242
Niacin [[M+H]],38.047100780639326,42.221019064718895
Nicotinamide [[M+H]],-15.807362666929917,32.41443565413194
O-acetyl-L-serine [[M+H]],-85.25760633241073,73.1256790715172
Pidolic Acid [[M+H]],-20.454052722839496,29.824564599882144
Proline [[M+NH4]],15.20556114543134,50.64905245046489
Spermine [[M+H]],-1.0299717901181533,21.486783607785753
Sucrose [[M+Na]],-9.993837591136776,13.166455483681945
Thymine [[M+H]],-22.511901504627286,34.53051645620667
Trehalose [[M+Na]],-8.280674388529185,11.434799639312244
Xanthurenic acid [[M+H]],-90.53241425174234,92.22364305480578
d-Desthiobiotin [[M+H]],-43.909150825157646,46.629755434716174
gamma-Glutamylcysteine [[M+H]],55.206742169102014,40.10228288441215
