,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.08091422622829801,0.16140506166049234
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.0,0.0
2'-Deoxyuridine [[M+Na]],0.05993763193738643,0.10381502380091628
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.5741061428367127,0.2702081230601491
Ademetionine [[M+H]],-0.1972803511321685,0.22924230433130316
Adenine [[M+H]],0.2560510563373459,0.2224675500401709
Adenosine 5'-diphosphate (ADP) [[M+H]],0.08091422622829801,0.16140506166049234
Adenosine phosphate [[M+H]],0.10482520865410201,0.09081225583534885
Adenosine-3'-5'-Diphosphate [[M+H]],0.07490786757483933,0.14489808039875887
Aminoadipate [[M+Na]],-0.21725265821289785,0.22445793151334428
Cytidine [[M+H]],0.0,0.0
D-(+)-Melibiose [[M+Na]],-0.028857571255046347,0.04572006244017753
D-(+)-Turanose [[M+Na]],0.010793496796534465,0.01869488484292961
Glucosamine [[M+H]],0.0,0.0
Glutamic Acid [[M-H2O+H]],-1.0882834103869807,0.3963653617371271
Glutathione [[M+H]],0.0,0.0
Histidine [[M+H]],-0.16571223461160875,0.28702200978308023
Imidazoleacetic acid [[M+H]],-0.1296700914173714,0.2245951865569883
Isomaltose [[M+Na]],0.014977781768104345,0.025942279007035537
L-Arginine [[M+H]],-0.9187351389011124,0.3964192515180584
L-Citrulline [[M+H]],0.06765705174568563,0.11718545111384411
L-Valine [[M+H]],1.0174268175719083,0.48133136722768743
Maltose [[M+Na]],0.004520358732902053,0.03563002057361687
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.0,0.0
Nicotinamide [[M+H]],0.12418489544438044,0.11989592000900999
O-acetyl-L-serine [[M+H]],0.01655376067554599,0.1522107701613935
Palatinose [[M+Na]],-0.06448772724698754,0.08033322469521303
Pidolic Acid [[M+H]],-1.3859309535624018,0.668183878229639
Spermine [[M+H]],0.044173083093037475,0.07651002424410268
Sucrose [[M+Na]],-0.04187054066901411,0.07252190377911143
Thymine [[M+H]],-0.19017608950591855,0.3293946494090173
Trehalose [[M+Na]],-0.05940172748588398,0.08132131669667376
gamma-Glutamylcysteine [[M+H]],-0.17846057306337773,0.4653379696106097
