,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.2724967980640389,0.28405198237285556
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.2314315540208284,0.16946818168622832
2'-Deoxyuridine [[M+Na]],0.10169771007137089,0.5763389428862447
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.12949217040869007,0.11303026834769747
Ademetionine [[M+H]],-0.2169172144044211,0.2151056354011326
Adenine [[M+H]],-1.007425122125563,0.6448325368480429
Adenosine 5'-diphosphate (ADP) [[M+H]],0.2724967980640389,0.28405198237285556
Adenosine phosphate [[M+H]],-0.1298908476367643,0.0914313986232129
Adenosine-3'-5'-Diphosphate [[M+H]],0.27842223582279413,0.2779307838337235
Aminoadipate [[M+Na]],0.6397503723576836,0.14721004774094126
Cytidine [[M+H]],0.27716902326462217,0.09299204503486834
D-(+)-Melibiose [[M+Na]],-0.12681199737325494,0.19426676140459836
D-(+)-Turanose [[M+Na]],-0.14857710131425175,0.18166382922055677
Glucosamine [[M+H]],-0.0032341064559314784,0.07831432787663219
Glutamic Acid [[M-H2O+H]],-0.16344875749865911,0.11885971736694712
Glutathione [[M+H]],-0.512816665510233,0.11860745074070328
Histidine [[M+H]],-0.7006225839513398,0.4289709207490033
Imidazoleacetic acid [[M+H]],-0.15517046579523378,0.13465033259296685
Isomaltose [[M+Na]],-0.12102824498270605,0.1866369827266785
L-Arginine [[M+H]],-1.1382826741990721,0.42277399172315455
L-Citrulline [[M+H]],0.45681097722909353,0.23756811650952517
L-Valine [[M+H]],0.11668035722747021,0.17279404626038677
Maltose [[M+Na]],-0.054419956429579315,0.22782514740966656
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],1.0436567955166804,0.20621839151366464
Nicotinamide [[M+H]],-0.07256443793610395,0.2340489423569894
O-acetyl-L-serine [[M+H]],0.5534743875880276,0.1929794838577893
Palatinose [[M+Na]],-0.16261306462220596,0.18370102611219966
Pidolic Acid [[M+H]],0.07189189538228034,0.18014806284266582
Spermine [[M+H]],0.11834824612724515,0.30475449882071015
Sucrose [[M+Na]],-0.204461180726939,0.20757668908505117
Thymine [[M+H]],-0.19920025983922565,0.17389821967199212
Trehalose [[M+Na]],-0.18082045917369424,0.19044671659482482
gamma-Glutamylcysteine [[M+H]],0.01921556911332344,0.2278592999307085
