,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.0,0.0
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.1281157957456823,0.2219030674836383
2'-Deoxyuridine [[M+Na]],0.0,0.0
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.0,0.0
Ademetionine [[M+H]],0.0,0.0
Adenine [[M+H]],0.0,0.0
Adenosine 5'-diphosphate (ADP) [[M+H]],0.0,0.0
Adenosine phosphate [[M+H]],0.06599395016354338,0.11430487467542558
Adenosine-3'-5'-Diphosphate [[M+H]],0.0,0.0
Aminoadipate [[M+Na]],0.0,0.0
Cytidine [[M+H]],0.29439189431109253,0.5099017182832594
D-(+)-Melibiose [[M+Na]],0.0,0.0
D-(+)-Turanose [[M+Na]],0.0,0.0
Glucosamine [[M+H]],0.0,0.0
Glutamic Acid [[M-H2O+H]],-1.998124479179643,0.9200408403913832
Glutathione [[M+H]],0.0,0.0
Histidine [[M+H]],0.40055727145877723,0.6937855455077611
Imidazoleacetic acid [[M+H]],0.2143831605323945,0.25794335184337974
Isomaltose [[M+Na]],0.0,0.0
L-Arginine [[M+H]],0.0,0.0
L-Citrulline [[M+H]],0.027172639195000747,0.047064391661478765
L-Valine [[M+H]],0.517390610961082,0.45888097529474137
Maltose [[M+Na]],0.0,0.0
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.04692380689269177,0.08127441762269284
Nicotinamide [[M+H]],0.0,0.0
O-acetyl-L-serine [[M+H]],0.09819098394310981,0.170071773034646
Palatinose [[M+Na]],0.0,0.0
Pidolic Acid [[M+H]],-0.8033767072709717,0.7180190034821601
Spermine [[M+H]],0.33356386212756184,0.2903734080657236
Sucrose [[M+Na]],0.0,0.0
Thymine [[M+H]],0.08523095970238818,0.14762435258239187
Trehalose [[M+Na]],0.0,0.0
gamma-Glutamylcysteine [[M+H]],0.0,0.0
