,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.014997230108764475,0.013700779896484428
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.36981345814397165,0.30771373872659863
2'-Deoxyuridine [[M+Na]],-0.2689316527024705,0.07077027824981892
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.4786900509137217,0.472039600700809
Ademetionine [[M+H]],0.31325129599494445,0.27133227630158574
Adenine [[M+H]],-0.1512050212702691,0.26189477919963894
Adenosine 5'-diphosphate (ADP) [[M+H]],0.014997230108764475,0.013700779896484428
Adenosine phosphate [[M+H]],-0.303756280642229,0.17429358589296995
Adenosine-3'-5'-Diphosphate [[M+H]],0.017713415198004553,0.019835132336249506
Aminoadipate [[M+Na]],-0.09490285309840348,0.24488743639404625
Cytidine [[M+H]],-0.08852731809161514,0.07973525936281348
D-(+)-Melibiose [[M+Na]],0.007896158589149037,0.013676547861027519
D-(+)-Turanose [[M+Na]],0.015311371698376548,0.026520073715160356
Glucosamine [[M+H]],-0.05371080772164231,0.09302984788944726
Glutamic Acid [[M-H2O+H]],0.17445172945797285,0.06346074760694473
Glutathione [[M+H]],-0.6692488312439492,0.38829248728106264
Histidine [[M+H]],-0.12064529922365973,0.16373285135165494
Imidazoleacetic acid [[M+H]],0.04837160151629801,0.04509144101416432
Isomaltose [[M+Na]],0.013991561203077455,0.02423409488093968
L-Arginine [[M+H]],-0.05227690039922502,0.09054624755367545
L-Citrulline [[M+H]],0.01060616529181519,0.018370417158897496
L-Valine [[M+H]],0.44587206880753244,0.2064282153644998
Maltose [[M+Na]],0.018294868019174865,0.017396030849552456
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.013658214453387456,0.023656721373938656
Nicotinamide [[M+H]],0.01485091873655586,0.02572254579079135
O-acetyl-L-serine [[M+H]],0.3605210032302531,0.2591933866386309
Palatinose [[M+Na]],0.013528491351641234,0.02343203437079877
Pidolic Acid [[M+H]],0.6643588721428416,0.32581168222665846
Spermine [[M+H]],0.16730126327936232,0.13056259595477346
Sucrose [[M+Na]],0.025167373695860955,0.025413170921989844
Thymine [[M+H]],0.14450784170986888,0.15077287952909857
Trehalose [[M+Na]],0.014905807566271849,0.0246320919795854
gamma-Glutamylcysteine [[M+H]],-0.2290439767886864,0.03185198083608537
