Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.002829615663138546,0.01177048407176813
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.005949231900531063,0.012816255656842588
2'-Deoxyuridine [[M+Na]],-0.0032041539201181344,0.019474737727987787
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.017315312109614716,0.0017265496086499123
Ademetionine [[M+H]],0.0088993762510531,0.010003226530819182
Adenine [[M+H]],-0.006158892761457174,0.009538626883676364
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.003804390485910149,0.011387592631377093
Adenosine phosphate [[M+H]],0.024284153806251683,0.018816941365453935
Adenosine-3'-5'-Diphosphate [[M+H]],-0.007177540078913682,0.01345460528465091
Alpha-D-Glucose [[M+Na]],0.00714053958138,0.006192211734058386
Aminoadipate [[M+Na]],-0.07020314473962566,0.007140841942188098
Argininosuccinic acid [[M+H]],0.017566105047576067,0.029973101866898118
Cytidine [[M+H]],-0.179716995614469,0.016681347580168218
D-(+)-Melibiose [[M+K]],-0.009375294165134374,0.005998010624882144
D-(+)-Turanose [[M+Na]],-0.012008787386527768,0.009356552335551908
D-Fructose [[M+Na]],0.01533885446858152,0.0027443531018948868
D-Galactose [[M+Na]],0.015591099577170864,0.002077347367012309
D-Glucose [[M+Na]],0.00442640833422587,0.004751419364509511
D-Mannose [[M+Na]],0.022569664082599153,0.00300617171932112
Deoxyadenosine [[M+H]],0.03511661495063523,0.031125912840121187
Galactose [[M+Na]],0.015591099577170864,0.002077347367012309
Glucosamine [[M+H]],-0.16320902431228404,0.017440479010781107
Glutamic Acid [[M-H2O+H]],0.024096460738459478,0.009580478614983932
Glutathione [[M+H]],0.10877938502579874,0.012567835659651059
Histidine [[M+H]],-0.01018664270452726,0.017513435328417343
Imidazoleacetic acid [[M+H]],0.009039694810314995,0.01605611073526784
Inositol [[M+Na]],-0.008524894661702372,0.003143961471052138
Isomaltose [[M+Na]],-0.01171477735888561,0.00944336326299553
L-Arginine [[M+H]],-0.06949954315669608,0.010536440661000627
L-Citrulline [[M+H]],0.0013316079335815307,0.022627260026934003
L-Glutamine [[M+H]],0.05784045946087061,0.005656713060861441
L-Phenylalanine [[M-H2O+H]],-0.015887936344411557,0.02043894492020182
Maltose [[M+K]],-0.0162862625213999,0.002827835078956007
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.06348447313758902,0.022565305155929766
N-Acetylputrescine [[M+Na]],0.04049586891330608,0.04087104954626946
Niacin [[M+H]],0.03004325793046513,0.01952053958105743
Nicotinamide [[M+H]],0.018328858563225848,0.017400753771795487
O-acetyl-L-serine [[M+H]],0.018797209274138815,0.01721082280979816
Palatinose [[M+K]],-0.012089590194724156,0.003917720222363309
Pidolic Acid [[M+H]],0.030330551341412687,0.0053407483689007496
Sucrose [[M+K]],-0.011146336032764425,0.003999429759760204
Thymine [[M+H]],0.003122882565918366,0.01254569622126261
Trehalose [[M+K]],-0.011722989447952798,0.003728500053175551
Xanthurenic acid [[M+H]],-0.056492997933119043,0.022434659983159366
gamma-Glutamylcysteine [[M+H]],0.01292195990610624,0.015396281172791796
