,PLS1,PLS2,PLS3,PLS4,PLS5
2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]],-0.07440855162298743,-0.11201755256029633,0.20378445655215738,0.06269079336968075,-0.03557639801473206
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.17845536433302597,0.006936299728618845,-0.03173463765529288,0.13241557941576385,-0.1661038169952068
2'-Deoxyuridine [[M+Na]],0.23917657677178347,-0.003579598645095372,0.055817423061965764,0.1524088621080678,0.09587342987230814
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.029035953685321136,0.25583471669693153,0.003825042930078311,-0.30238917854912145,-0.2815149607705589
Ademetionine [[M+H]],0.007304975696090469,-0.07408349282896878,0.012713378633407145,0.05478521819859607,-0.1384453983106964
Adenine [[M+H]],0.15594110028875552,0.10153519250433732,-0.027126272090998462,-0.016355484791913035,-0.2375523961019311
Adenosine phosphate [[M+H]],0.22059907726072317,0.04505028682459092,0.06255890508383885,0.15907480242775457,-0.1560417073408125
Adenosine-3'-5'-Diphosphate [[M+H]],-0.07343801281072311,-0.11767043269559294,0.2094957268554754,0.049650138486313146,-0.0352361732829224
Aminoadipate [[M+Na]],-0.025088700613273885,-0.36573706325390315,0.08335317909293542,-0.1435620733232803,0.040614009251167635
Argininosuccinic acid [[M+H]],0.3013396602558836,-0.02697982254899257,-0.04334498151547502,0.051200049222809,-0.09236756343740302
Cytidine [[M+H]],0.014425376760280257,-0.3932267582030567,0.06208000082457103,-0.24594682759131528,-0.010929729552479367
D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]],-0.15232708477666657,0.17994029854908963,-0.13497721638883595,-0.06695109347347174,0.12333378435774436
D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]],-0.15139939165953445,0.18128829751911493,-0.13850674946077746,-0.06432984516556566,0.12255940216415039
Deoxyadenosine [[M+H]],0.24452699919436724,0.0795983290703664,0.21818037943168464,-0.106638461405386,-0.06668394810609116
Glucosamine [[M+H]],0.028557370700122982,-0.23154073014179619,-0.09311735545740787,-0.2797296297141104,-0.1946794655729702
Glutamic Acid [[M-H2O+H]],-0.2622036370851777,-0.09725897210636711,-0.2407331656968086,0.22137828743936855,-0.14864693844578158
Glutathione [[M+H]],0.21149058122536543,0.04928157515089077,-0.04189682981768429,0.36334210923248816,-0.07771956651323225
Histidine [[M+H]],0.11511019052604485,-0.09460515611497688,-0.17585554914544926,-0.02234002130537704,-0.16825920443398767
Imidazoleacetic acid [[M+H]],0.016005739928523773,0.03399487913039749,-0.14070108028970593,-0.1382586202111988,-0.13643886881155962
L-Arginine [[M+H]],-0.021278975106182096,-0.25155952878032706,-0.39111812686647507,0.09683214013646599,-0.25855911848814134
L-Citrulline [[M+H]],-0.13769141860510625,-0.1267355733619922,0.16600548481893163,0.19114695945319518,-0.005036902763653132
L-Glutamine [[M+H]],-0.191236717333509,-0.16000928822648097,0.12835411613484599,0.09544447151037311,-0.08331508279728728
L-Phenylalanine [[M-H2O+H]],-0.2641938953435447,-0.03299586901582578,0.1744578243796229,0.06802352896078152,-0.06499651902918069
L-Valine [[M+H]],-0.12410726995781984,0.09698545593813886,0.16448725773820194,-0.18785410962769514,-0.32899230326823387
Maltose [[M+Na]],-0.1590472628587919,0.17243945690994325,-0.1317193403217575,-0.06315405113566108,0.1251136870817847
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.12754013182820706,-0.24233892310610078,0.294386907939211,0.09544028769914566,0.0951913335011387
N2-Acetyl-L-ornithine [[M+H]],0.03017132714377908,-0.07921154432794496,-0.3201330733192631,0.02966340346891455,-0.2269635285923052
Niacin [[M+H]],0.07438308477133546,0.16706343154606598,0.07956914116723361,0.09677654048586896,-0.22630988101959898
Nicotinamide [[M+H]],-0.020662795900447076,0.03750849944003978,0.04713907776307923,0.106989729525037,-0.26271615458923153
O-acetyl-L-serine [[M+H]],-0.2414279601266997,0.1115101269525766,0.21353216720417587,0.07540431305931936,-0.2841787365200907
Pidolic Acid [[M+H]],-0.388889410303913,-0.056689991875217075,-0.11183498662732687,0.19575351968558027,-0.21844541890694538
Proline [[M+NH4]],0.05429283581310429,-0.01888519223257258,0.028855162698315347,-0.10382251390285056,-0.15955823689829196
Spermine [[M+H]],-0.06037579405136767,0.33860278728737697,0.16481345561891225,0.26114534573210824,-0.09481087432577892
Sucrose [[M+Na]],-0.15282747015927212,0.18289057911279885,-0.1386933894733966,-0.06198506812060703,0.11658814856529584
Thymine [[M+H]],0.006191822128794583,0.020170721101826328,-0.08702892142362899,-0.10196065907089995,-0.11488904047994078
Trehalose [[M+Na]],-0.1539776521470291,0.1793180617079149,-0.1389433721438671,-0.0615299837406156,0.1184677223710465
Xanthurenic acid [[M+H]],0.06716240295718394,0.12173704691193762,0.15199049815099772,-0.347911032401683,-0.10855960626354792
d-Desthiobiotin [[M+H]],0.014928242712754551,0.05090269663524198,0.24916650355809414,-0.02901896065116833,-0.1315362993470828
gamma-Glutamylcysteine [[M+H]],0.2078651153425451,-0.019672492217545683,-0.04358017166545253,0.24001601450108273,0.08938105151849604
