Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	11.0	0.028127428127428127	411.433614263922	1223.9876310385844	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	43.0	0.2786324786324786	988.82580272335	753.4572820953965	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	29.0	0.7984459984459983	587.097804956486	487.53562944752974	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	40.0	0.4418026418026417	121.23007592333158	66.17941355493859	0.6931731104144897	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Ademetionine [[M+H]]	38.0	0.5737373737373737	318.8581797698365	221.32798486662006	0.8200539425670315	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenine [[M+H]]	51.0	0.05185702029117142	4945.725323220042	2721.5863473894506	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine phosphate [[M+H]]	41.0	0.3822843822843822	17893.468174465444	14553.847135802553	0.6442199775533107	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	11.0	0.028127428127428127	411.433614263922	1223.9876310385844	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Aminoadipate [[M+Na]]	10.0	0.020668220668220667	347.4495857711122	851.0169540406423	0.11063576945929887	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Argininosuccinic acid [[M+H]]	58.0	0.004662004662004662	523.0760891470179	206.1468243197749	0.045454545454545456	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Cytidine [[M+H]]	21.0	0.2786324786324786	1133.753200700281	1341.1828240746986	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	39.0	0.5053613053613053	2088.0908435248266	1493.6729177593875	0.758041958041958	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	39.0	0.5053613053613053	2139.033371771732	1511.9139457695635	0.758041958041958	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Deoxyadenosine [[M+H]]	41.0	0.3822843822843822	47.794666267920945	11.748901029978045	0.6442199775533107	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glucosamine [[M+H]]	35.0	0.7984459984459983	5230.887676267124	4365.452252027489	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	38.0	0.5737373737373737	9906.995354704675	9390.724439797781	0.8200539425670315	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Glutathione [[M+H]]	52.0	0.037917637917637914	29101.649317914515	20549.47187621126	0.1643097643097643	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Histidine [[M+H]]	55.0	0.014763014763014764	497.72955086905097	177.04226630415974	0.09372797744890769	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	51.0	0.04988344988344988	164.44977213183967	85.892400138852	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Arginine [[M+H]]	58.0	0.004662004662004662	6540.0137235292605	2266.3267097776675	0.045454545454545456	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Citrulline [[M+H]]	20.0	0.23449883449883446	329.7333075005639	567.08392264075	0.5001420454545453	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Glutamine [[M+H]]	9.0	0.014763014763014764	86.83375079975534	259.0330594244741	0.09372797744890769	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Phenylalanine [[M-H2O+H]]	14.0	0.06495726495726495	61.14694159323422	171.20680286048824	0.2146768893756846	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	L-Valine [[M+H]]	25.0	0.5053613053613053	1541.8852513132215	1907.7837398392046	0.758041958041958	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Maltose [[M+Na]]	38.0	0.5737373737373737	2032.4496425638013	1478.2416335044288	0.8200539425670315	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	0.0	0.0001554001554001554	197.54678957608226	1066.4092986324215	0.00707070707070707	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	N2-Acetyl-L-ornithine [[M+H]]	55.0	0.014763014763014764	136.89068239034978	37.625381665874	0.09372797744890769	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Niacin [[M+H]]	43.0	0.2786324786324786	118.63951813890786	85.68514506581823	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Nicotinamide [[M+H]]	41.0	0.3822843822843822	1282.8318365721912	991.4379019635057	0.6442199775533107	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	O-acetyl-L-serine [[M+H]]	3.0	0.0010878010878010878	306.1263098830555	810.5345631457409	0.01746880570409982	True
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Pidolic Acid [[M+H]]	29.0	0.7984459984459983	10002.138404896963	10630.676534453733	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Proline [[M+NH4]]	34.0	0.8784770784770783	59.08893795821333	60.96513744032387	0.9592969696969695	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Spermine [[M+H]]	21.0	0.2786324786324786	22590.71776889223	48579.653936627794	0.547878787878788	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Sucrose [[M+Na]]	41.0	0.3822843822843822	2151.7940730459713	1514.5850421150785	0.6442199775533107	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Thymine [[M+H]]	47.0	0.13038073038073036	160.50859566125143	106.88754029702693	0.3524152415241524	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Trehalose [[M+Na]]	40.0	0.4418026418026417	2170.4688693859107	1514.5850421150785	0.6931731104144897	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	Xanthurenic acid [[M+H]]	14.0	0.06495726495726495	106.77097794650204	238.13807110675856	0.2146768893756846	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	d-Desthiobiotin [[M+H]]	10.5	0.02730954852439286	530.2656372642065	785.3036023427067	0.1360501567398119	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosLow	gamma-Glutamylcysteine [[M+H]]	35.0	0.7984459984459983	671.4239884844089	754.4628907156582	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	11.0	0.054079254079254076	411.433614263922	822.5696263949538	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	48.0	0.020512820512820513	988.82580272335	512.0622847606181	0.11063576945929887	False
