,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.05432569617976826,0.023582616739440978
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],0.11183139924049998,0.04731519813770602
2'-Deoxyuridine [[M+Na]],-0.06490382622671528,0.02912924330064193
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.03127740230827093,0.034307670609611284
Ademetionine [[M+H]],-0.14008399603910748,0.05200669940974388
Adenine [[M+H]],0.07191228823540367,0.03975679430083625
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.05432569617976826,0.023582616739440978
Adenosine phosphate [[M+H]],0.13033730026282825,0.011316730306828105
Adenosine-3'-5'-Diphosphate [[M+H]],-0.04993697982072334,0.023904935819095835
Aminoadipate [[M+Na]],-0.062161536456502575,0.05215126561632195
Cytidine [[M+H]],0.13119478333416812,0.046199015226074634
D-(+)-Melibiose [[M+Na]],-0.023336159036237022,0.018427505853904475
D-(+)-Turanose [[M+Na]],-0.0049481575533362795,0.018126856579602998
Glucosamine [[M+H]],-0.16394153357220176,0.05829252983511274
Glutamic Acid [[M-H2O+H]],-0.6234715730565195,0.049313658413212356
Glutathione [[M+H]],-0.07990292024111306,0.04150791684734351
Histidine [[M+H]],0.25029543760998196,0.036991224328461275
Imidazoleacetic acid [[M+H]],0.2254365220577529,0.05873609943707968
Isomaltose [[M+Na]],-0.01256051829917215,0.018161537416221098
L-Arginine [[M+H]],-0.053567738527390746,0.03281453860475026
L-Citrulline [[M+H]],0.19010421751398043,0.05875909026647161
L-Valine [[M+H]],0.3032679824675873,0.048889480916561555
Maltose [[M+Na]],-0.038000479243736396,0.01714008835344583
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.03855558535189085,0.05110094230563422
Nicotinamide [[M+H]],0.07688723890401354,0.05868252447360858
O-acetyl-L-serine [[M+H]],0.21449614662854694,0.04898076904955032
Palatinose [[M+Na]],-0.014271431755480216,0.017803636538145654
Pidolic Acid [[M+H]],-0.583993910788474,0.03798743896447378
Spermine [[M+H]],0.19585664006092868,0.02353554865237909
Sucrose [[M+Na]],0.011126800322949245,0.01910100608564375
Thymine [[M+H]],0.05694605792781192,0.03320839918301123
Trehalose [[M+Na]],-0.004488452061651628,0.01818568964318486
gamma-Glutamylcysteine [[M+H]],-0.168745212613212,0.04862435449121906
