,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.006722883297147615,0.027256267505726635
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.1976332630204055,0.017611303759932515
2'-Deoxyuridine [[M+Na]],-0.1123942638648629,0.010451896795940139
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.40819204563460104,0.059883601937057794
Ademetionine [[M+H]],0.16832064710434583,0.03666927606001998
Adenine [[M+H]],-0.14275965351925038,0.022002408191271774
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.006722883297147615,0.027256267505726635
Adenosine phosphate [[M+H]],-0.25199019020877267,0.01732431097241679
Adenosine-3'-5'-Diphosphate [[M+H]],0.0005692366749348438,0.02672407014221667
Aminoadipate [[M+Na]],-0.13279929986877845,0.021930473767927287
Cytidine [[M+H]],-0.05281910155632746,0.02747529103948686
D-(+)-Melibiose [[M+Na]],-0.012415574003308151,0.012583663159800682
D-(+)-Turanose [[M+Na]],-0.022071650874202438,0.013519300910990606
Glucosamine [[M+H]],0.002196865583382371,0.016182842060759324
Glutamic Acid [[M-H2O+H]],0.09642005388262563,0.03238039629562836
Glutathione [[M+H]],-0.3659282539119289,0.02886010736114355
Histidine [[M+H]],-0.06008260861410992,0.02524095950581979
Imidazoleacetic acid [[M+H]],0.015176865493044886,0.03055770487889757
Isomaltose [[M+Na]],-0.017453228039737288,0.013071767815141515
L-Arginine [[M+H]],0.005789834917540675,0.024754585002788532
L-Citrulline [[M+H]],0.025186652598517587,0.019632813418778077
L-Valine [[M+H]],0.1189086284511703,0.03157083558768209
Maltose [[M+Na]],0.004387998447973808,0.011402624245233424
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.08102384156617985,0.023433635024063506
Nicotinamide [[M+H]],0.004751456123976439,0.024314821873862445
O-acetyl-L-serine [[M+H]],0.3372158352619597,0.061490243960508395
Palatinose [[M+Na]],-0.019540940220256348,0.01332960997466056
Pidolic Acid [[M+H]],0.30677707361727014,0.022174144021461343
Spermine [[M+H]],0.04257036942207521,0.025917260973437124
Sucrose [[M+Na]],-0.009047138896984634,0.013274030732126579
Thymine [[M+H]],0.04689901321112043,0.030567473167507096
Trehalose [[M+Na]],-0.014366847658197826,0.014114470494896085
gamma-Glutamylcysteine [[M+H]],-0.06879365871420126,0.018378451274495222
