,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.03645624577580034,0.035918423500835094
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.39644944242092633,0.05212011222221168
2'-Deoxyuridine [[M+Na]],-0.018223749644944554,0.03935298178725318
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.12950560395788424,0.0747472821883303
Ademetionine [[M+H]],-0.14294909180707385,0.04600401403093881
Adenine [[M+H]],0.047906884279588974,0.06750514001379308
Adenosine 5'-diphosphate (ADP) [[M+H]],0.03645624577580034,0.035918423500835094
Adenosine phosphate [[M+H]],-0.26291263305104307,0.03192991006818143
Adenosine-3'-5'-Diphosphate [[M+H]],0.06871331236613828,0.03914119055449257
Aminoadipate [[M+Na]],-0.24317709131460538,0.04041443267459103
Cytidine [[M+H]],0.15843699557510213,0.051938789744725336
D-(+)-Melibiose [[M+Na]],0.045441181660647756,0.014593134603135341
D-(+)-Turanose [[M+Na]],0.026339420916113063,0.011680282898904559
Glucosamine [[M+H]],0.02068792723096746,0.04705554572575073
Glutamic Acid [[M-H2O+H]],0.16546102104134308,0.03466397592638907
Glutathione [[M+H]],-0.3350783079431136,0.036458989007129995
Histidine [[M+H]],0.21300025790609442,0.06571543610027847
Imidazoleacetic acid [[M+H]],-0.07515245528755603,0.06334861493970224
Isomaltose [[M+Na]],0.03197871632184931,0.012104993654462064
L-Arginine [[M+H]],-0.18530661132102239,0.06831219055572757
L-Citrulline [[M+H]],0.3510704442121169,0.04399381739782109
L-Valine [[M+H]],0.3549136497426534,0.0627621946001134
Maltose [[M+Na]],0.07491719988299098,0.02327965404904865
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],-0.13277334658565343,0.07495125297102648
Nicotinamide [[M+H]],0.30033752150297643,0.06306050521540693
O-acetyl-L-serine [[M+H]],0.2675961789634439,0.06107789993272312
Palatinose [[M+Na]],0.02960253358271692,0.013008847425633316
Pidolic Acid [[M+H]],0.38392706869507,0.04749202186169415
Spermine [[M+H]],-0.059037724027305574,0.08189342711087882
Sucrose [[M+Na]],0.008650687078898146,0.011880607646883696
Thymine [[M+H]],0.1015894411545691,0.04650214801824415
Trehalose [[M+Na]],0.019579072605524585,0.012077551029281883
gamma-Glutamylcysteine [[M+H]],-0.1945745541600813,0.05735998206050419
