ReplicateName	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	2'-Deoxyuridine [[M+Na]]	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	Ademetionine [[M+H]]	Adenine [[M+H]]	Adenosine 5'-diphosphate (ADP) [[M+H]]	Adenosine phosphate [[M+H]]	Adenosine-3'-5'-Diphosphate [[M+H]]	Alpha-D-Glucose [[M+Na]]	Aminoadipate [[M+Na]]	Argininosuccinic acid [[M+H]]	Cytidine [[M+H]]	D-(+)-Melibiose [[M+K]]	D-(+)-Turanose [[M+Na]]	D-Fructose [[M+Na]]	D-Galactose [[M+Na]]	D-Glucose [[M+Na]]	D-Mannose [[M+Na]]	Galactose [[M+Na]]	Glucosamine [[M+H]]	Glutamic Acid [[M-H2O+H]]	Glutathione [[M+H]]	Histidine [[M+H]]	Imidazoleacetic acid [[M+H]]	Inositol [[M+Na]]	Isomaltose [[M+Na]]	L-Arginine [[M+H]]	L-Citrulline [[M+H]]	L-Valine [[M+H]]	Maltose [[M+K]]	N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]]	N-Acetylputrescine [[M+Na]]	Nicotinamide [[M+H]]	O-acetyl-L-serine [[M+H]]	Palatinose [[M+K]]	Pidolic Acid [[M+H]]	Sucrose [[M+K]]	Thymine [[M+H]]	Trehalose [[M+K]]	gamma-Glutamylcysteine [[M+H]]	Experimental group
Inj00009-Positive-B9.d.DeMP	62.73148148148148	428.2695195195195	74.5995995995996	38.65615615615616	25.43168168168168	1461.134884884885	62.73148148148148	7355.1814314314315	59.34059059059059	1596.7705205205204	547.6288788788788	14.58083083083083	1335.671921921922	677.5	2298.345845845846	1117.6376376376377	1117.6376376376377	1667.301051051051	851.1136136136136	1117.6376376376377	2644.2167167167167	5168.395895895896	11136.702952952954		58.662412412412415	1515.3891391391392	2298.345845845846	1005.7382382382382	344.51451451451453	1058.9752252252251	677.5	495.0700700700701	4.408158158158158	252.28228228228227	331.9682182182182	677.5	6070.372872872873	630.0275275275275	73.24324324324324	677.5	127.49749749749749	Growth with low glutamate supplementation, no spermine treatment.
Inj00011-Positive-F10.d.DeMP	112.83599671658754	360.0565311893887	247.6123261280671		87.36953912430215	2121.1600216097395	112.83599671658754	8714.621788080058	112.83599671658754	1173.0242158661913	42.705290423986256		59.94412325568713		1774.8161983546581	1159.3115079318839	1083.3039268102937	1133.8450503395984	993.5836377543958	1083.3039268102937	1705.4690753725888	4824.914234599915	15886.759829378154	114.79495499291718	5.093291518457076	850.5796835823318	1744.2564492439158	1253.7332968509727	464.66490314539175	946.1768474672184		224.4966184673773	4.701499863191147	1037.072511488914	778.8818106686667		6154.263320917212		10.578374692180082		347.519198220879	Growth with low glutamate supplementation and spermine treatment.
Inj00013-Positive-B12.d.DeMP	231.3537037037037	1108.0888888888887	376.89074074074074	629.3222222222222		4312.412962962962	231.3537037037037	16511.929629629627	231.3537037037037	576.1259259259259	223.32407407407408	93.84629629629629	849.1333333333333	677.5	1454.8685185185184	1028.2944444444445	977.6074074074073	576.1259259259259	932.4407407407407	977.6074074074073	3764.8925925925923	6758.940740740741	25580.39259259259	217.30185185185184	181.1685185185185	446.64814814814815	1442.322222222222	2621.674074074074	230.35	678.0018518518518	662.4444444444445	110.90925925925926	55.705555555555556	960.5444444444444	229.3462962962963	677.5	6477.903703703703	677.5	181.1685185185185	677.5	883.2592592592592	Baseline growth with no supplementation or treatment.
Inj00014-Positive-D8.d.DeMP	163.75	971.377358490566	663.0330188679245	190.93867924528303	73.53301886792453	2893.740566037736	163.75	16945.34433962264	163.75	1358.816037735849	289.188679245283	74.7688679245283	845.938679245283	69.8254716981132	975.7028301886792	1121.5330188679245	1121.5330188679245	1376.117924528302	870.6556603773585	1121.5330188679245	2757.1792452830186	9102.028301886792	34221.89622641509	139.6509433962264	61.17452830188679	1191.3584905660377	975.7028301886792	1757.995283018868	1400.8349056603774	1271.0707547169811	69.8254716981132	1136.3632075471698	65.5	933.683962264151	3056.872641509434	69.8254716981132	10185.25	69.8254716981132	124.82075471698113	69.8254716981132	1139.4528301886792	Growth with low glutamate supplementation and spermine treatment.
Inj00021-Positive-C3.d.DeMP	84.40856547805251	558.3626606373173	558.3626606373173	54.443524733343864	167.55100247393423	4529.785666379687	84.40856547805251	9330.522827943923	84.40856547805251	1175.8113171092714	62.88438128114912	659.2308963835901	327.0831912274535	360.00253176389396	2031.714171056724	1196.4914156513944	1176.655402764052	1147.5344476741238	1078.741466809511	1176.655402764052	3226.9394582259474	4966.177949901219	18260.52701269449	685.3975516817864	68.37093803722253	831.8464127862075	2007.2356870680885	3999.277832350128	105.51070684756563	646.147568734492	348.1853325969666	161.22036006308028		319.4864203344287	252.80365360676726	360.00253176389396	5647.7771161364935	342.2767330135029	68.37093803722253	360.00253176389396	964.3678605867499	Baseline growth with no supplementation or treatment.
Inj00022-Positive-H8.d.DeMP	83.22813900971896	1003.1765021971459	24.413587442850897	426.1280717297611		3225.922668016707	83.22813900971896	15473.775604686949	83.22813900971896	3465.6197083646975				203.07665918371427	828.9522645368008	2756.515964001892	2653.3130716298406	3465.6197083646975	2229.4044169403387	2653.3130716298406	3265.872174741372	7961.048923409651	25642.034774634347		97.65434977140359	2782.0392599648726	828.9522645368008	1887.614192740426	755.7115022082481	2005.2432958741622	203.07665918371427	281.86596411291487	62.14367712725683	942.1425335900186	1983.0491254715705	203.07665918371427	10685.383340327786	203.07665918371427	97.65434977140359	203.07665918371427	15.535919281814207	Growth with high glutamate supplementation and spermine treatment.
Inj00023-Positive-G8.d.DeMP	50.050146771037184	392.7776418786693	168.38062622309198	85.51614481409003	7.62353228962818	2164.751712328767	50.050146771037184	7843.620352250489	50.050146771037184	516.0799902152642		437.1930039138943	34.471624266144815	731.1961839530333	1491.5606653620353	521.0518590998043	517.4058219178082	509.450831702544	485.9173189823875	517.4058219178082	845.880626223092	274.77862035225047	10896.016389432485	160.4256360078278	100.43175146771037	209.81286692759295	1482.942759295499	954.9302837573385	104.07778864970646	829.6391878669276	731.1961839530333		3.646037181996086	412.66511741682973	329.4691780821918	712.9659980430529	682.1404109589041	677.5	72.58928571428571	731.1961839530333	237.9867906066536	Growth with alanine supplementation and spermine treatment.
Inj00024-Positive-G12.d.DeMP	140.30177187153933	974.6096345514951	258.09523809523813	433.66002214839426		2985.3516057585825	140.30177187153933	16896.234772978958	140.30177187153933	1056.389811738649	66.02436323366557	5.2519379844961245	1028.6295681063123	677.5	1516.3095238095239	880.0747508305649	880.0747508305649	1056.389811738649	644.4878183831672	880.0747508305649	3088.8898117386493	519.1915836101883	22550.3211517165	33.7624584717608		921.3399778516058	1516.3095238095239	932.5941306755261	120.04429678848284	2177.3034330011074	677.5	213.82890365448506	123.79568106312293	787.7906976744187	802.0459579180509	677.5	461.4202657807309	677.5		677.5	431.4091915836102	Growth with alanine supplementation, no spermine treatment.
Inj00025-Positive-C12.d.DeMP		706.7482504255722	406.1047853224892	84.21165121997353	22.823718554946097	2454.7302818233406		15032.173255154154		172.35842632873087	13.379421221864954	528.0936258747872	379.3459428787593	445.45602421032726	2097.4210327217706			172.35842632873087			395.87346321165126	849.9867599773029	26362.968980518253	147.96065821827125		172.35842632873087	2063.57896727823	883.041800643087	302.2175146585966	1615.7618687346323	445.45602421032726	387.2161906563269	95.2299981085682	576.1021373179498	594.990731984112	445.45602421032726	831.0981653111406	445.45602421032726		445.45602421032726	778.3675052014376	Growth with alanine supplementation and spermine treatment.
Inj00031-Positive-C10.d.DeMP	374.06563167040065	700.6887929826041		208.01698541671058	47.442470358197156	3046.354010115775	374.06563167040065	11234.741922900765	374.06563167040065	2079.2574989679097	654.158677823603	258.196521372496	1332.0385908263047	186.12046063600422	2035.4644494064971	1455.2065427177781	1455.2065427177781	2241.6567244248154	996.2918775221402	1455.2065427177781	6756.90260524631	9291.425348613073	17742.57155876654	146.88918707057195		2302.784522770954	2035.4644494064971	2227.059041237678	526.4289499361491	1948.7907054828677	186.12046063600422	599.4173658718371	213.49111661188718	387.75095965834214	2376.685293905838	186.12046063600422	11361.559295589022	186.12046063600422		186.12046063600422	141.41505587539535	Growth with high glutamate supplementation, no spermine treatment.
