Molecule List Name	Molecule Name	Molecule Formula	Precursor Ion Formula	Precursor Neutral Formula	Precursor Adduct	Replicate Name	Precursor Mz	Precursor Charge	Total Ion Current Area	Median Peak Area	Total Area	Total Area MS1	Total Background	Total Background MS1	Total Area Ratio	Ratio Dot Product	Total Area Normalized	Max Height	Count Truncated	Collisional Cross Section	Ion Mobility MS1	Ion Mobility Units	Total Area	Normalized Area	Area	Background	Area	Sample Id	Height	Max Height	Explicit Retention Time	Explicit Retention Time Window	Product Mz	Product Charge	Product Ion Formula	Product Neutral Formula	Product Adduct	Molecule List Abundance
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00001-Positive-MAT1_demultiplexed	175.086589	1	292516.59375	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00002-Positive-MAT1_demultiplexed	175.086589	1	1098722.625	1	36	36	0	0	#N/A	#N/A	∞	40	0	137.4	21.46	Drift Time (ms)	12+/-28	3.5680E+1	36	0	12+/-28		40	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00003-Positive-MAT1_demultiplexed	175.086589	1	1042731.1875	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00004-Positive-MAT1_demultiplexed	175.086589	1	1106604.25	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.4	21.46	Drift Time (ms)	12+/-28	#N/A	#N/A	#N/A	12+/-28		#N/A	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00005-Positive-MAT1_demultiplexed	175.086589	1	1068981.625	1	0	0	0	0	#N/A	#N/A	0%	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00006-Positive-MAT1_demultiplexed	175.086589	1	1081334.625	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00007-Positive-MAT1_demultiplexed	175.086589	1	1094416	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00008-Positive-MAT2_demultiplexed	175.086589	1	1094982.5	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00009-Positive-B9_demultiplexed	175.086589	1	1645479.125	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
Other	2-(1H-INDOL-3-YL)ACETAMIDE	C10H10N2O	C10H11N2O	C10H10N2O	[M+H]	Inj00010-Positive-D4_demultiplexed	175.086589	1	1993408.375	1	0	0	0	0	#N/A	#N/A	NaN	0	0	137.4	21.46	Drift Time (ms)	12+/-28	0.0000E+0	0	0	12+/-28		0	9+/-18			175.086589	1	C10H10N2O	C10H10N2O	[M+H]	#N/A
