well	AUC	log_auc	final_value	TV	outlier
A1	20709.810000000005	9.938362780083905	0.5134	0.37425	False
A2	11049.0	9.31009520520368	0.14915	0.14699999999999996	False
A3	54689.94	10.909435059265798	2.02625	1.903	False
A4	60374.31	11.008318962334702	2.18545	2.03925	False
A5	49224.21000000001	10.804140854643146	1.9434	1.83125	False
A6	38048.52	10.546617466370414	1.66745	1.5361	False
A7	38198.340000000004	10.550547338179246	1.6296499999999998	1.5247999999999997	False
A8	60182.399999999994	11.005135229764376	2.0945	1.9526000000000001	False
A9	42289.91999999999	10.652304038788225	1.74065	1.6305	False
A10	11168.88	9.320886618549007	0.14545	0.3054	False
A11	39984.24	10.59624065548269	1.11255	1.5887	True
A12	17755.26	9.78443708908861	0.40505	0.2856	True
B1	70768.35	11.167167145848195	2.36855	2.1938500000000003	False
B2	43751.67	10.686285062508677	1.7904	1.66395	False
B3	16045.709999999997	9.683196803172594	0.43374999999999997	0.32384999999999997	False
B4	45285.35999999999	10.720739080451736	1.86035	1.7254999999999998	False
B5	11292.599999999999	9.331902923013127	0.1583	0.17040000000000005	False
B6	54493.979999999996	10.905845515853077	1.9257499999999999	1.796	False
B7	10320.270000000002	9.241865201580909	0.1446	0.18835000000000007	False
B8	65399.4	11.08826836310657	2.2795	2.1452000000000004	False
B9	48529.71	10.78993146671687	1.75135	1.65725	True
B10	24422.25	10.103249881053372	0.7355499999999999	0.5993499999999999	False
B11	20121.600000000002	9.909549143964421	0.5327999999999999	0.39579999999999993	False
B12	40744.380000000005	10.615073195072098	1.58805	1.4704000000000002	False
C1	60711.450000000004	11.013887591894605	2.1	1.96045	False
C2	52050.54	10.85997044864828	2.0555	1.9148999999999998	False
C3	32254.559999999998	10.381414707608378	0.5504	1.5049999999999997	True
C4	10466.7	9.25595406803208	0.149	0.11909999999999998	False
C5	29080.59	10.27782622033435	0.8296	0.6917500000000001	True
C6	36809.03999999999	10.513498746190548	1.1661000000000001	1.0206000000000002	True
C7	66845.28	11.110135974218384	2.54225	2.3855	False
C8	17719.14	9.78240069030638	0.34240000000000004	0.23229999999999995	True
C9	34456.17	10.447443360579449	1.11455	0.97595	True
C10	64266.090000000004	11.07078739943673	2.35135	2.2165500000000002	False
C11	43803.99	10.687480188128799	1.8125	1.67935	False
C12	52891.08	10.875989983609534	1.8622999999999998	1.7374	False
D1	62738.31	11.046727544834217	2.0831	1.9679500000000005	False
D2	18649.35	9.833566571971302	0.58175	0.4782499999999999	False
D3	10458.36	9.25515693765914	0.14325	0.10669999999999989	False
D4	53876.369999999995	10.894447256335631	2.00655	1.87835	False
D5	62036.64000000001	11.035480457232614	2.20425	2.0509	False
D6	46601.340000000004	10.749384575086575	1.9082	1.7368999999999999	False
D7	44137.05	10.69505484479526	0.8564	1.9078499999999998	True
D8	55221.0	10.91909859471894	2.1033999999999997	1.9705999999999997	False
D9	75643.23000000001	11.233783224147826	2.65035	2.50985	False
D10	31178.070000000007	10.347470242075058	0.77345	0.70325	True
D11	22376.159999999996	10.015751385419334	0.4616	0.42220000000000013	True
D12	31181.489999999998	10.34757992854505	1.3582999999999998	1.24545	False
E1	40720.89000000001	10.614496507591642	1.7398	1.6150499999999999	False
E2	10006.41	9.210981166723368	0.1402	0.09165	False
E3	49835.520000000004	10.816483261800816	2.0012	1.8755999999999997	True
E4	21677.37	9.984024138277965	0.50205	0.38615000000000005	False
E5	68595.95999999999	11.135988919866065	2.2301	2.0942	False
E6	58761.02999999999	10.981234159082447	2.0932500000000003	1.9588500000000002	False
E7	27730.710000000003	10.230295742357054	0.6859999999999999	0.57775	False
E8	28986.840000000004	10.27459721290441	0.7277	0.6034	True
E9	55848.68999999999	10.930401348555293	2.0746	1.9434500000000003	False
E10	50118.39000000001	10.822143285608979	1.9321	1.79435	False
E11	60462.84	11.009784240452207	2.09785	1.9707000000000003	False
E12	11259.3	9.32894973288735	0.1691	0.6065	True
F1	20770.32	9.941280323636404	0.6135999999999999	0.4877999999999999	False
F2	69916.85999999999	11.155062100868484	2.5219500000000004	2.379	False
F3	64279.38	11.070994174518685	2.1674499999999997	2.0337999999999994	False
F4	18885.39	9.846143886296836	0.3821	0.3039499999999999	True
F5	67835.52	11.12484123056409	2.4011	2.2586	True
F6	27170.19	10.20987569543974	0.6866	0.5871500000000001	True
F7	93536.60999999999	11.446108189453597	0.5728500000000001	4.4647499999999996	True
F8	29377.92	10.287998650795542	0.80905	0.7175	False
F9	19747.049999999996	9.890759392134926	0.41364999999999996	0.34535000000000005	True
F10	60044.16	11.002835570505715	2.16725	2.0375	True
F11	62534.880000000005	11.043479760071754	2.27135	2.1537	False
F12	32186.91	10.379315127172076	1.3631	1.28575	True
G1	11271.210000000001	9.330006966044373	0.1519	0.18645000000000003	False
G2	73113.24	11.199764751102009	2.44625	2.2821	False
G3	22354.020000000004	10.014761449684354	0.6409	0.49210000000000004	False
G4	46544.759999999995	10.748169709258427	1.8953	1.7810000000000001	False
G5	46721.25	10.751954372302587	1.8927999999999998	1.77385	True
G6	68174.60999999999	11.129827487140037	2.40375	2.26675	True
G7	37801.56	10.540105650623826	1.4132500000000001	1.3225	False
G8	64324.59	11.07169726326255	2.2453	2.1329499999999997	False
G9	59809.17	10.998914272680985	2.13155	2.02095	False
G10	22260.6	10.0105735786891	0.3808	0.36159999999999987	True
G11	47077.17	10.759543449138452	1.77705	1.63635	False
G12	20442.660000000003	9.925379172885776	0.3423	0.3605000000000001	False
H1	43647.38999999999	10.683898765688504	1.89765	1.7996500000000002	False
H2	54128.37	10.899113726664433	2.1759	2.04405	False
H3	37964.28	10.544400996657807	1.6867	1.5676	False
H4	54165.060000000005	10.899791330123907	2.0374	1.9211	False
H5	19003.65	9.852386345014503	0.56145	0.44495	False
H6	10606.859999999999	9.269256240681683	0.14579999999999999	0.1186999999999999	False
H7	47671.08000000001	10.772080203721549	1.839	1.7254	False
H8	34563.75	10.450560724004916	1.55275	1.46825	True
H9	21911.16	9.994751375094925	0.31275	0.3742	False
H10	51346.8	10.846357896004962	2.0111	1.8811999999999998	False
H11	9663.33	9.176093588404482	0.13445000000000001	0.16715000000000008	False
H12	46277.399999999994	10.742408999975797	1.92935	1.8275	True
