well	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000	25200	26400	27600	28800	30000	31200	32400	33600	34800	36000	37200	38400	39600	40800	42000	43200	44400	45600	46800	48000	49200	50400	51600	52800	54000	55200	56400	57600	58800	60000	61200	62400	63600	64800	66000	67200	68400	69600	70800	72000	Summary
A1	0.03264688764191019	0.029730157732590193	0.026327060080202025	0.024174457682538453	0.023726163082382852	0.023675189079910133	0.02393326704832612	0.022820617314209354	0.023283107771040028	0.02713825415342538	0.03330977487774136	0.03941491245789683	0.04390091903055727	0.04625528432126879	0.048592547707184304	0.050226708951066824	0.05167975547117913	0.053079979641972835	0.05450245965564759	0.057026765507551806	0.061588215579426814	0.06641314457338343	0.07159698640858822	0.0763169832554105	0.08099418791932153	0.0854056237778263	0.0902488970296399	0.0958623340563331	0.1013854831243122	0.10708367747827176	0.11227829801835543	0.11718377550707411	0.12226293652195785	0.12802282502939574	0.13376921906143366	0.14031637521240511	0.14708480540274843	0.15376069799643033	0.16107865967381443	0.16882726954169963	0.17807267309371722	0.18812887282509383	0.19828925130664377	0.20365858622707422	0.205249601139343	0.19623333333333698	0.22178994606225344	0.23127583852256645	0.2460588721210857	0.25709402084957755	0.2703398729053675	0.28270924433370576	0.2937938988348562	0.301870103897157	0.31084260862338375	0.3192155147451931	0.32818130317902927	0.3389468110932732	0.3501107574191062	0.3610533427777281	0.3718563738491217	Formic acid treatment without glutamate supplementation.
A2	0.015338856298497695	0.013636567393822956	0.012416588080157978	0.013365916923959173	0.014242965875615854	0.013415207366521218	0.011689341737948217	0.011529505448878184	0.01219841658057581	0.012825831912240841	0.011488733515469878	0.009417963989783937	0.008001297599102253	0.006314597423628457	0.006239115114149861	0.006954605975138448	0.007279038683063167	0.008146727994330465	0.008159033690948753	0.00735513495157101	0.007215843687018515	0.0068716174657804585	0.007628935350342295	0.008422050590058287	0.008892775873087925	0.008644237815943565	0.008506143983836553	0.00864536329366887	0.00871601100820505	0.007853444839720683	0.007242695509173178	0.005845192454784555	0.004748226276065021	0.0031168943932672363	0.0015880396288646009	0.002273470425481904	0.0046269163077482765	0.007163994175962177	0.009258069743266555	0.010000000000000002	0.009090888497698155	0.006850434514435467	0.0054349576439657946	0.005419567339259657	0.006302352440300291	0.0065906849716282235	0.006315671748930557	0.005504019177962496	0.0056396786804090195	0.007060717108108274	0.0071200917429324025	0.007357103295403496	0.008004013158973339	0.008168620573711835	0.008376795473927	0.006523274948268843	0.003934711359580303	0.0026036618017437874	0.004172090479659052	0.0074125827593588735	0.01088292950076576	Media control
A3	0.056439409322726335	0.05265115289476041	0.04914006509344314	0.05057019713672554	0.05120506857475256	0.04695819727804078	0.04381758660096905	0.04129854229755363	0.04655756143465173	0.052680480151983296	0.05452207933152754	0.054160523781081465	0.05704463196066476	0.06234382331435858	0.06690850081830357	0.07114118275936025	0.07381522294423928	0.08119169155491056	0.08963764133835687	0.09973670989662076	0.11231425607407228	0.1279797983969339	0.14490847443229207	0.16101126431769125	0.17697083575051717	0.19419669705197093	0.21353120216479352	0.23565203409719843	0.2592681455366303	0.2844761441556226	0.31223198620419146	0.34267648408940765	0.37580812128555696	0.4120795930974727	0.45001291165415497	0.49254158375864154	0.5403359244214746	0.5929048235612887	0.6487541050684387	0.706087874934773	0.76737716488098	0.8339781320499727	0.9045625416059446	0.9774268392039747	1.0507527376885197	1.1208820557345098	1.1901600665759975	1.2594236018247051	1.3275617087104201	1.394770813112045	1.4595138308549016	1.5194377703032855	1.5738545775057924	1.6174189293284058	1.6655098989239652	1.7096585230561943	1.7570883478224946	1.7878881438285321	1.817967467132353	1.8547092319362366	1.892129593951518	Low glutamate supplementation without formic acid treatment.
A4	0.07024739130071447	0.06500936007410586	0.0599185147105735	0.05745143631424853	0.05667621978178955	0.05540723407330807	0.055592545196216696	0.05470699518862069	0.060925466966634395	0.06932471004548847	0.07716232800493919	0.08202582406637188	0.08073673431539984	0.07967829433641026	0.0816874560409761	0.08972869177368685	0.1036185426267614	0.11819264281973549	0.12895935791904267	0.14098757018824914	0.15307681902617842	0.1681870402756295	0.18542934796856694	0.20264646534063488	0.2231417707350735	0.24625155222702536	0.27127066328964095	0.29818919399722593	0.32646140647969224	0.35794498801569236	0.39216809823014875	0.4280428718712953	0.46672624892822384	0.5084808815819305	0.5535491523603763	0.6034902064112205	0.6557893836072752	0.7118936497359553	0.7726029568607768	0.8363735382717459	0.9057495148556616	0.9798648311080775	1.0541290673667316	1.1276954689307128	1.1981889376146992	1.2636994505643342	1.3259935389265993	1.3850820752131423	1.4495441359628929	1.513597067892147	1.5800626837545309	1.641789322050298	1.7000907483854064	1.7590832307517437	1.8048030172618674	1.848620687228684	1.888396193196085	1.925563961346904	1.9642941885112217	2.0094948283628637	2.0551902946302905	High glutamate supplementation without formic acid treatment.
A5	0.0796819345143661	0.08137689106466797	0.08309820361383263	0.08665649560004587	0.0873708392196397	0.08481248698420249	0.07983595669825816	0.07816428502423951	0.07732085084299685	0.08016097395765573	0.08004757080469864	0.07742724252162765	0.0745335270915621	0.07427664915430218	0.07822919545348134	0.0823494289559333	0.08664537743380428	0.09239076915025918	0.10041988706512842	0.10943664556761852	0.11597602773899993	0.12246905717939137	0.1308784360779244	0.14157285626259034	0.15488756139637147	0.16935337896898597	0.18432379577029137	0.20140145747757074	0.22084411271632456	0.24298005663098268	0.2675936624031693	0.29489923799544754	0.3235605037010377	0.35477192042694283	0.38729215503733294	0.4202445297278452	0.4534006355073247	0.48796760014175244	0.5257799299887767	0.5672736575837091	0.6136319374170409	0.6624689409544235	0.7139439662990388	0.7690513925409974	0.8267818663481497	0.8900799757355605	0.957452204872563	1.0271768119803932	1.0973174425687369	1.1683969901680782	1.2377016777238645	1.3069706778480132	1.3713630021407561	1.4317855271024271	1.4916896227541037	1.5517368567417469	1.6092339002008282	1.6624969380196704	1.7124704134488935	1.7679767206586838	1.8237993768982452	Negative control with arginine supplementation without formic acid treatment.
A6	0.022085881018121048	0.017871309014347588	0.013491457257807385	0.012383503537283957	0.012234297642239931	0.01035435377942897	0.00922355268148086	0.009178693690290785	0.01082197638156053	0.014346826097407714	0.016988708767624667	0.019764755565861533	0.021905564320431767	0.024576917022232782	0.027800770163593606	0.032140830945251976	0.037438447824686784	0.04258957543884192	0.04793345735756249	0.05376331569647143	0.05960017657203287	0.06705803769942145	0.07580406491974201	0.08657541179528386	0.0991238765951824	0.111108893341553	0.12211279145565769	0.13260576726363654	0.14429965097090328	0.15780526472058884	0.1739963247473777	0.1925033657498729	0.21188966735455175	0.2326077062978297	0.2527615541664709	0.2743030515165108	0.29725048873380827	0.3216415683492081	0.3475540783677458	0.37442706191453284	0.4050424789400738	0.43757676844666266	0.47340434811832194	0.5115995115025502	0.5516526153664786	0.6026331507952655	0.6573894649803063	0.7006125799133457	0.7688396536807397	0.83679264002019	0.9027017374489537	0.9683130165256051	1.0345625140498393	1.1004225209923748	1.167400003020899	1.233486003837907	1.3000014228650554	1.3624854512088849	1.4243729643095686	1.4857807576760267	1.547590025060208	High glutamate supplementation with formic acid treatment.
A7	0.04430763892822382	0.049119232642425424	0.053006610400139466	0.05436480566245155	0.05087287722327739	0.04607140641036108	0.04518757808057935	0.046772391655887924	0.048789901239929295	0.04973227000830297	0.04871094630263915	0.04778346248891796	0.04611384353403487	0.046221533441880853	0.04742822596812396	0.04986555952942379	0.055138790395864695	0.05888528118512124	0.06232214867865212	0.06637709804301833	0.06784265365037895	0.07101970923557444	0.0749691901803188	0.07834810768382929	0.0857936431286419	0.09408746883322378	0.10398956552338434	0.11590331039947657	0.12775599070055463	0.14112991452089663	0.15616696801693447	0.17266406646747415	0.19107689323199767	0.21126905055244824	0.23214182712579692	0.2552897389854048	0.28022461171184393	0.3072915465106606	0.337008631988409	0.3667856153745557	0.3991224252904294	0.4333566898863202	0.4701114792560727	0.5095593842807782	0.5508256944995357	0.5952246419158992	0.6433073167438094	0.6983360162627187	0.7588143231220743	0.8202197725756932	0.879577900651465	0.9376641498527665	1.000742456142367	1.0647537607858366	1.1324792257159249	1.1998916716024777	1.264938859291783	1.328560042890695	1.3887750883634475	1.4495507803075722	1.5109479714500522	Negative control with arginine supplementation without formic acid treatment.
A8	0.037646696272120916	0.03622404098233444	0.03535787520013182	0.037137099701243584	0.04231390678604776	0.04485023312382555	0.05065503388921812	0.056776507207376335	0.060656224419155996	0.06436317118257434	0.06727315256755152	0.07373071639463866	0.08125840239086594	0.09083918050961876	0.09987343415405399	0.11046199597380753	0.12351803825964534	0.13528844844674748	0.1478150143414711	0.1635432586668941	0.1778923986004288	0.19470282988235058	0.2133769053491387	0.2312364994326123	0.2536549859531211	0.276901262762692	0.30203781565765014	0.3303380288934855	0.35792662494420313	0.3869600414198271	0.41790627500928224	0.45203250051532123	0.4906117206946746	0.5323078837358702	0.5755477222286703	0.6235816429452677	0.6748611680178499	0.7304945470682931	0.7899580502090828	0.8503929391322504	0.9153632196543193	0.9824298012543642	1.051279030280149	1.119375632501805	1.187877473066445	1.252437933723266	1.3139583735424099	1.371730034252121	1.4318442963741422	1.491690276593413	1.548983864229215	1.6048898565635799	1.65478190413894	1.7037352453639698	1.7508065437066112	1.7945808879507443	1.8330064563130604	1.86244690234466	1.8916003179756196	1.930530886554018	1.9689654834872679	Baseline condition with no supplementation or treatment.
A9	0.033802891438942474	0.038097683019784466	0.042312641930389264	0.04526980843460263	0.04493244823502861	0.04468199644239987	0.04640900392748139	0.049751585267494736	0.0542728803068355	0.057136455151795135	0.056789343264863436	0.057659125597620084	0.057286538893420065	0.061064377448456955	0.06472488624636702	0.06683920548913952	0.06786853272363225	0.07012870696026803	0.07424746014817858	0.07845626862747657	0.08015546475327606	0.08220826066038614	0.08791502926213354	0.09545100803678144	0.10580289981220448	0.11656232129035322	0.1285540210298081	0.14276719811925753	0.15648232831016742	0.17124259981144047	0.18738754277553818	0.20724040245157213	0.23086231644167723	0.2555442728739735	0.2801686312598537	0.307139858150505	0.33665525534345736	0.3695356462847899	0.4037078120562027	0.4378923242864623	0.4742603500166811	0.515459069779929	0.5638530099852045	0.616438735961917	0.6725965901497823	0.7255426329791503	0.7797853255230547	0.8342655377435381	0.889092582828869	0.9510410655856335	1.0154471867815202	1.0794023184888428	1.14570522392375	1.2125955570860965	1.2782076100850421	1.3437670223174734	1.4045220319921536	1.4615421635954133	1.5162860285949613	1.5729394728991108	1.628911139993096	Negative control with arginine supplementation without formic acid treatment.
A10	0.017386963262462644	0.016923279998956618	0.01694811819305956	0.01589424622189651	0.013950424128458486	0.010403565746826323	0.008438902240474623	0.01028073277620207	0.012958686583480015	0.012191520810048203	0.01057692645206412	0.008039822475490756	0.008984941179453188	0.011321149288043064	0.01186707356320851	0.01236712313495859	0.010338841370003224	0.008295823660655541	0.008127647291026482	0.008290892973700899	0.010169688618944685	0.012257101281887853	0.013793759878273476	0.015026723012124548	0.013219146853155988	0.011338938994846098	0.009464533575485847	0.008065582769399676	0.008107308354817993	0.009022710803497747	0.009256795402638785	0.009638308988446918	0.008220093947225964	0.006939648436396563	0.006128454746148049	0.005487792653040088	0.004500378818650458	0.003624913233513899	0.0040844513846005235	0.005451387045588233	0.00665202939222704	0.008303504253216173	0.009058069039199732	0.009318806634000112	0.007662742326201764	0.006368983788838794	0.005655847897824959	0.005494011822026058	0.005513051054893475	0.005097940977915338	0.007262279727756938	0.010662916586477071	0.013307944563618567	0.015410724502260123	0.014391091853750336	0.013246208258969517	0.010904865360591745	0.0086308045463452	0.008051050049872542	0.008370385476866082	0.009206520922869652	Media control
