	mu	AUC	FinalOD	Summary
A1	0.13456051148097317	10115.255372440286	0.36875006054415294	Formic acid treatment without glutamate supplementation.
A2	0.0	470.70347690784126	0.0	Media control
A3	0.2605632145370128	44005.34191209666	1.883466670151217	Low glutamate supplementation without formic acid treatment.
A4	0.2471918762915428	49758.01991713504	2.0388492148240083	High glutamate supplementation without formic acid treatment.
A5	0.22988820770377533	38657.43427050744	1.8064253192495134	Negative control with arginine supplementation without formic acid treatment.
A6	0.2304248087544897	27500.74641682575	1.5488085653121346	High glutamate supplementation with formic acid treatment.
A7	0.23697159121859132	27529.517782296127	1.5038130130364433	Negative control with arginine supplementation without formic acid treatment.
A8	0.22999761848058745	49495.20235322397	1.9502411758040652	Baseline condition with no supplementation or treatment.
A9	0.23503005572555544	31667.33959564795	1.6145327960275992	Negative control with arginine supplementation without formic acid treatment.
A10	0.0	574.9976360673121	0.0	Media control
B1	0.25247955832013524	60196.4270324527	2.2193319796936857	High glutamate supplementation without formic acid treatment.
B2	0.22827713090856427	33212.977688252366	1.6720931268197792	High glutamate supplementation with formic acid treatment.
B3	0.20122495587483144	5447.278860641957	0.29129646341200205	Formic acid treatment without glutamate supplementation.
B4	0.24399640159691274	34749.89047132389	1.7529729020474383	Negative control with arginine supplementation without formic acid treatment.
B5	0.0	650.6809974520285	0.0	Media control
B6	0.24295221597725106	43810.714902583044	1.7926123493544175	Negative control with arginine supplementation and formic acid treatment.
B7	0.0	710.3760000000015	0.0	Media control
B8	0.24438646557623364	54672.08530757338	2.1524087634618003	High glutamate supplementation without formic acid treatment.
B10	0.14499020911165236	13912.805764580746	0.5912879337188826	Low glutamate supplementation with formic acid treatment.
B11	0.147625997721664	9602.879933359629	0.3900153333939629	Formic acid treatment without glutamate supplementation.
B12	0.2293588956619477	30224.46408989267	1.466528742814595	Baseline condition with no supplementation or treatment.
C1	0.2546191252839674	50167.25311858311	1.9600730522815935	Low glutamate supplementation without formic acid treatment.
C2	0.24437794390850132	41571.87287392486	1.9095582717899162	Negative control with arginine supplementation without formic acid treatment.
C4	0.0	623.6283503940997	0.0	Media control
C7	0.08260385655781363	56404.0798258114	2.321460435724908	High glutamate supplementation without formic acid treatment.
C10	0.21227297991041044	53643.669461841615	2.187988659211031	High glutamate supplementation without formic acid treatment.
C11	0.19312795977750152	33435.22265609712	1.6733416615244776	High glutamate supplementation with formic acid treatment.
C12	0.24800959956788707	42207.34854341393	1.7191918603445324	Negative control with arginine supplementation and formic acid treatment.
D1	0.22977585053334681	52231.56474856469	1.9496559985891544	Negative control with arginine supplementation and formic acid treatment.
D2	0.1982985319031771	8196.465694193503	0.4367412220050778	Low glutamate supplementation with formic acid treatment.
D3	0.0	633.2879999999992	0.0	Media control
D4	0.23626839707682393	43282.17961049705	1.8659838803655675	Baseline condition with no supplementation or treatment.
D5	0.20866423411375026	51616.06039600632	2.0591301915283298	Baseline condition with no supplementation or treatment.
D6	0.20465930694968704	36199.84629502475	1.7844696274288405	Negative control with arginine supplementation without formic acid treatment.
D8	0.17680463204292488	44623.660876946306	1.9559888401158414	High glutamate supplementation with formic acid treatment.
D9	0.20799405297179321	65084.037005696206	2.5093864241974297	High glutamate supplementation without formic acid treatment.
D12	0.22261321681179935	20792.493833409753	1.2265849762293546	High glutamate supplementation with formic acid treatment.
E1	0.21365171856197304	30435.899638231327	1.6432379616679524	High glutamate supplementation with formic acid treatment.
E2	0.0	719.9999999999997	0.0	Media control
E4	0.09780626269392126	10996.803102722519	0.34978742934241525	Formic acid treatment without glutamate supplementation.
E5	0.1992873907097604	57930.942841712815	2.0885456668461777	Negative control with arginine supplementation and formic acid treatment.
E6	0.19889034909465017	48111.9624893852	1.9820573721758719	Baseline condition with no supplementation or treatment.
E7	0.19047259086702858	17188.454848019013	0.5390829938585423	Low glutamate supplementation with formic acid treatment.
E9	0.18296211846976454	45373.26882937955	1.9599386313193996	High glutamate supplementation with formic acid treatment.
E10	0.17507589446470953	39825.76201629184	1.8323131041492118	Negative control with arginine supplementation without formic acid treatment.
E11	0.1777641210728484	49879.44527728864	1.9651730540033878	Low glutamate supplementation without formic acid treatment.
F1	0.16348063530018642	10173.873581271317	0.46930846803348236	Low glutamate supplementation with formic acid treatment.
F2	0.25037616098127347	59487.16029185886	2.3662826231793304	High glutamate supplementation without formic acid treatment.
F3	0.23810056297147333	53831.281275946145	2.0116083793215704	Negative control with arginine supplementation and formic acid treatment.
F8	0.11534613724699991	18953.53811591664	0.6656707983346689	Low glutamate supplementation with formic acid treatment.
F11	0.18796035712872594	52132.81280323756	2.1286300258784268	Baseline condition with no supplementation or treatment.
G1	0.0	693.7683611909424	0.0	Media control
G2	0.22704173927029636	62649.15789008872	2.2943166817433167	Baseline condition with no supplementation or treatment.
G3	0.1457328679525639	11865.94875863779	0.4955675887804003	Low glutamate supplementation with formic acid treatment.
G4	0.2050008201720674	36280.47242270132	1.785635991868034	Negative control with arginine supplementation and formic acid treatment.
G7	0.15589103464780468	27765.419126253717	1.263777694429933	High glutamate supplementation with formic acid treatment.
G8	0.17033400056427128	53994.370888857986	2.099709527808346	Negative control with arginine supplementation and formic acid treatment.
