,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],-0.18848117384782437,0.1471935156258147
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.04480605780738069,0.04739644173512473
2'-Deoxyuridine [[M+Na]],-0.1146336002364371,0.17625987413774263
5'-Deoxy-5'-Methylthioadenosine [[M+H]],0.11340977830720966,0.09840103125280025
ATP [[M+H]],-0.12491167017234532,0.04249950335462963
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],-0.13995624416186483,0.14184085045833458
Ademetionine [[M+H]],0.004995818479378698,0.008653011431675394
Adenine [[M+H]],-0.0830187170185338,0.08045195588476421
Adenosine 5'-diphosphate (ADP) [[M+H]],-0.18848117384782437,0.1471935156258147
Adenosine phosphate [[M+H]],-0.055554761194519096,0.05272286223732125
Adenosine-3'-5'-Diphosphate [[M+H]],-0.1801331160155281,0.15682869307442854
Aminoadipate [[M+Na]],-0.3045380593356744,0.168073359933918
Argininosuccinic acid [[M+H]],0.002733965874485808,0.06924638552041738
Biotin [[M+H]],-0.16895445423125655,0.0802289004044601
Choline [[M+H]],-0.3315886235537356,0.15280663310769532
Cytidine [[M+H]],-0.2613141752063067,0.11427041380242421
D-(+)-Melibiose [[M+Na]],0.2312942328473262,0.06762018717353892
D-(+)-Turanose [[M+Na]],0.2339962290228321,0.06508798580078376
Glucosamine [[M+H]],-0.18990590014079797,0.1178978477868961
Glutamic Acid [[M-H2O+H]],0.1607945330506361,0.07087931897609176
Glutathione [[M+H]],-0.042230201003932454,0.07314485375265721
Guanosine-5'-Diphosphate [[M+H]],0.1592545389781869,0.0790407166073188
Histidine [[M+H]],-0.029052790192716695,0.0448952695830286
Isomaltose [[M+Na]],0.2339962290228321,0.06508798580078376
L-Arginine [[M+H]],-0.2549807679191005,0.1253971227784028
L-Citrulline [[M+H]],0.10463744295292977,0.061416887975148673
L-Glutamine [[M+H]],-0.18274128935081002,0.05588936286115192
L-Valine [[M+H]],-0.03876379634735177,0.06714086476786614
Linoleic acid [[M+Na]],-0.018036714518897025,0.08501719591112217
Maltose [[M+Na]],0.2312942328473262,0.06762018717353892
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.37303146377576973,0.1882851533088909
N2-Acetyl-L-ornithine [[M+H]],-0.1253130130064319,0.08080283858231371
Nicotinamide [[M+H]],0.005084132001965556,0.008805974939791215
O-acetyl-L-serine [[M+H]],0.06126644276817247,0.19705817397597275
Palatinose [[M+Na]],0.2312942328473262,0.06762018717353892
Pidolic Acid [[M+H]],0.20274527768284578,0.08283147730135595
Proline [[M+NH4]],-0.026621229578318403,0.046109322189602876
Sucrose [[M+Na]],0.2328279495096364,0.06953897029312898
Thymine [[M+H]],-0.011171871555837272,0.019350249150343717
Trehalose [[M+Na]],0.23196386404851244,0.0679790464109016
d-Desthiobiotin [[M+H]],-0.013501135154193275,0.08060879681761368
gamma-Glutamylcysteine [[M+H]],0.002797986619158656,0.004846254983280663
