Feature,Mean_Coefficient,Std_Coefficient
2'-Deoxyguanosine-5'-Diphosphate [[M+H]],0.09635033287902092,0.13056698665048458
2'-Deoxyguanosine-5'-Monophosphate [[M+H]],-0.4902929349139106,0.33401814099242866
2'-Deoxyuridine [[M+Na]],-0.03676670371825699,0.10361837991717687
5'-Deoxy-5'-Methylthioadenosine [[M+H]],-0.08567339139851694,0.14713514630973384
ATP [[M+H]],0.4065522291158393,0.3604861075922463
Acetyl coenzyme A (Acetyl-CoA) [[M+H]],0.6237664936010814,0.5857388246284344
Ademetionine [[M+H]],0.24561050275019305,0.24038032741551363
Adenine [[M+H]],0.2654327864808783,0.2615200212074926
Adenosine 5'-diphosphate (ADP) [[M+H]],0.09551072151610365,0.12944327463874689
Adenosine phosphate [[M+H]],-0.6585004038528488,0.5404078902478359
Adenosine-3'-5'-Diphosphate [[M+H]],0.14858483569932662,0.1659973622262133
Aminoadipate [[M+Na]],-0.12128014426323627,0.10637615576974677
Argininosuccinic acid [[M+H]],-0.42356001122374254,0.3066776254674987
Biotin [[M+H]],0.2180908538348163,0.20736680502442112
Choline [[M+H]],-0.0942570266862472,0.11827983475684728
Cytidine [[M+H]],0.11240851747999611,0.20987524201147617
D-(+)-Melibiose [[M+K]],-0.034609642637029314,0.03145024839644053
D-(+)-Turanose [[M+Na]],-0.0839456493422365,0.0934598713070166
Deoxyadenosine [[M+H]],0.2276293322279584,0.247786281649315
Glucosamine [[M+H]],-0.03425267810451095,0.05790404079775256
Glutamic Acid [[M+H]],0.3856084692197763,0.32203458732524776
Glutathione [[M+H]],-0.5544796256014681,0.5049795630103618
Guanosine-5'-Diphosphate [[M+H]],0.04020073378137344,0.07094173675709747
Histidine [[M+H]],-0.2618863617588676,0.15573557144951827
Imidazoleacetic acid [[M+H]],0.028207150218370853,0.03494967397789756
Isomaltose [[M+Na]],-0.08888389745052033,0.09811345385317058
L-Arginine [[M+H]],0.05313599247546893,0.06337373517867224
L-Citrulline [[M+H]],-0.2655125137913127,0.16714760718090166
L-Glutamine [[M+H]],0.12143021924941241,0.15058841575722973
L-Lysine [[M+H]],0.2501499572023223,0.18604287375813883
L-Threonine [[M+NH4]],0.2801209235385082,0.25650564648644125
L-Valine [[M+H]],0.6285444769512765,0.6414848084027613
Linoleic acid [[M+Na]],0.17856236771443218,0.27376411297608727
Maltose [[M+K]],-0.006513180457369117,0.024464358630966677
N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],0.14310705983105051,0.16062775641675983
N2-Acetyl-L-ornithine [[M+H]],0.042371226118940376,0.04985015726789523
Nicotinamide [[M+H]],0.4425167148194742,0.36490872173036554
O-acetyl-L-serine [[M+H]],0.2275603648029462,0.10073997470500397
Oleic acid [[M+Na]],0.5837248810607767,0.4261052499371453
P-Hydroxybenzoic Acid [[M-H2O+H]],0.34242966779701356,0.2678684060616527
Palatinose [[M+K]],-0.006907677268460685,0.023181385172648367
Phenylethyl alcohol [[M+H]],0.22378361652554074,0.1494534656359364
Pidolic Acid [[M+H]],0.1489963791150071,0.1715935702211306
Proline [[M+NH4]],0.3252369036765125,0.3956573097150781
Sucrose [[M+K]],0.002328688439373777,0.058303434954028656
Thymine [[M+H]],-0.17576383112641475,0.14502711123242565
Trehalose [[M+K]],-0.006513180457369117,0.024464358630966677
d-Desthiobiotin [[M+Na]],0.2750732736320769,0.15091362847302758
gamma-Glutamylcysteine [[M+H]],0.05026709802507896,0.2012590121047026
