Group1,Group2,Feature,U_stat,p_raw,p_corrected,significant
NegHigh,None,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],98.0,0.8094071206269623,0.9313725771597922,False
NegHigh,None,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],103.0,0.9825066254106022,0.9943440546324166,False
NegHigh,None,2'-Deoxyuridine [[M+Na]],74.0,0.19578268776318253,0.47900230404196115,False
NegHigh,None,5'-Deoxy-5'-Methylthioadenosine [[M+H]],156.0,0.023919212950054506,0.12301309517170889,False
NegHigh,None,ATP [[M+H]],94.0,0.6769691371486106,0.8524500791917297,False
NegHigh,None,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],90.0,0.5538411043800002,0.7975311903072003,False
NegHigh,None,Ademetionine [[M+H]],135.0,0.18105508532112158,0.47033677751883296,False
NegHigh,None,Adenine [[M+H]],108.0,0.8779560333245068,0.9563512089028031,False
NegHigh,None,Adenosine 5'-diphosphate (ADP) [[M+H]],98.0,0.8094071206269623,0.9313725771597922,False
NegHigh,None,Adenosine phosphate [[M+H]],97.0,0.7756105425420374,0.9176237404722697,False
NegHigh,None,Adenosine-3'-5'-Diphosphate [[M+H]],94.0,0.6769691371486106,0.8524500791917297,False
NegHigh,None,Aminoadipate [[M+Na]],129.0,0.2826452015163323,0.5437144334512652,False
NegHigh,None,Argininosuccinic acid [[M+H]],82.0,0.34576409348166126,0.5927384459685622,False
NegHigh,None,Biotin [[M+H]],124.0,0.39247831468762173,0.6439263665719505,False
NegHigh,None,Choline [[M+H]],109.0,0.8435630017436775,0.9466896966005643,False
NegHigh,None,Cytidine [[M+H]],137.0,0.15409382444616215,0.4363106040498074,False
NegHigh,None,D-(+)-Melibiose [[M+Na]],59.0,0.050945931227816973,0.20707055918403028,False
NegHigh,None,D-(+)-Turanose [[M+Na]],50.0,0.018940077211875038,0.10155105228494701,False
NegHigh,None,Glucosamine [[M+H]],186.0,0.00035155357457581423,0.005211264752535599,True
NegHigh,None,Glutamic Acid [[M-H2O+H]],30.0,0.0012677222213569846,0.014521181808270915,True
NegHigh,None,Glutathione [[M+H]],110.0,0.8094071206269623,0.9313725771597922,False
NegHigh,None,Guanosine-5'-Diphosphate [[M+H]],57.0,0.041409018574614806,0.18972859419641694,False
NegHigh,None,Histidine [[M+H]],48.0,0.014927393820174256,0.08549325551554347,False
NegHigh,None,Isomaltose [[M+Na]],50.0,0.018940077211875038,0.10155105228494701,False
NegHigh,None,L-Arginine [[M+H]],208.0,5.658190325651859e-06,0.00033381269336176656,True
NegHigh,None,L-Citrulline [[M+H]],174.0,0.002305412339505392,0.022344765752129184,True
NegHigh,None,L-Glutamine [[M+H]],15.0,0.00010403565470498049,0.0018726417846896487,True
NegHigh,None,L-Valine [[M+H]],105.0,0.9825066254106022,0.9943440546324166,False
NegHigh,None,Linoleic acid [[M+Na]],87.5,0.4823598512482894,0.7268534270516972,False
NegHigh,None,Maltose [[M+Na]],59.0,0.050945931227816973,0.20707055918403028,False
NegHigh,None,N-(5-Amino-5-Carboxypentyl)Glutamic Acid [[M+H]],99.0,0.8434868788070808,0.9466896966005643,False
NegHigh,None,N2-Acetyl-L-ornithine [[M+H]],207.0,6.959533921566163e-06,0.00033381269336176656,True
NegHigh,None,Nicotinamide [[M+H]],140.0,0.11952320595669236,0.368158076762122,False
NegHigh,None,O-acetyl-L-serine [[M+H]],31.0,0.0014346391488476945,0.01571865502215735,True
NegHigh,None,Palatinose [[M+Na]],59.0,0.050945931227816973,0.20707055918403028,False
NegHigh,None,Pidolic Acid [[M+H]],24.0,0.0004897411386413879,0.006856375940979431,True
NegHigh,None,Proline [[M+NH4]],67.0,0.10928393555738852,0.36293219853435793,False
NegHigh,None,Sucrose [[M+Na]],59.0,0.050945931227816973,0.20707055918403028,False
NegHigh,None,Thymine [[M+H]],91.0,0.5835811785439937,0.8157567995336884,False
NegHigh,None,Trehalose [[M+Na]],59.0,0.050945931227816973,0.20707055918403028,False
NegHigh,None,d-Desthiobiotin [[M+H]],93.0,0.6451893343147646,0.8380809909655704,False
NegHigh,None,gamma-Glutamylcysteine [[M+H]],55.0,0.03343124376031458,0.16518967505096616,False
NegHigh,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],80.0,0.19037440994809907,0.47033677751883296,False
NegHigh,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],142.0,0.22007405924801815,0.49962759396847367,False
NegHigh,PosHigh,2'-Deoxyuridine [[M+Na]],115.0,0.9172277768877938,0.9752801678300592,False
NegHigh,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],142.0,0.22007405924801815,0.49962759396847367,False
NegHigh,PosHigh,ATP [[M+H]],82.0,0.22007405924801815,0.49962759396847367,False
NegHigh,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],139.0,0.2706270984355722,0.5413421958218362,False
NegHigh,PosHigh,Ademetionine [[M+H]],125.0,0.6033201802180682,0.8157567995336884,False
NegHigh,PosHigh,Adenine [[M+H]],151.0,0.10945574241512382,0.36293219853435793,False
NegHigh,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],80.0,0.19037440994809907,0.47033677751883296,False
